Time,ForceReading
0.0,4.0
0.001,10.0
0.002,13.0
0.003,24.0
0.004,29.0
0.005,34.0
0.006,42.0
0.007,44.0
0.008,52.0
0.009,57.0
0.01,62.0
0.011,67.0
0.012,69.0
0.013,72.0
0.014,72.0
0.015,79.0
0.016,92.0
0.017,104.0
0.018,111.0
0.019,118.0
0.02,131.0
0.021,140.0
0.022,149.0
0.023,154.0
0.024,157.0
0.025,159.0
0.026,170.0
0.027,182.0
0.028,185.0
0.029,192.0
0.03,202.0
0.031,206.0
0.032,212.0
0.033,214.0
0.034,220.0
0.035,223.0
0.036,229.0
0.037,234.0
0.038,239.0
0.039,241.0
0.04,246.0
0.041,252.0
0.042,259.0
0.043,271.0
0.044,284.0
0.045,295.0
0.046,305.0
0.047,314.0
0.048,322.0
0.049,328.0
0.05,335.0
0.051,341.0
0.052,348.0
0.053,356.0
0.054,363.0
0.055,369.0
0.056,377.0
0.057,383.0
0.058,390.0
0.059,396.0
0.06,402.0
0.061,407.0
0.062,413.0
0.063,419.0
0.064,425.0
0.065,430.0
0.066,436.0
0.067,441.0
0.068,444.0
0.069,449.0
0.07,452.0
0.071,456.0
0.072,459.0
0.073,464.0
0.074,470.0
0.075,474.0
0.076,480.0
0.077,485.0
0.078,490.0
0.079,495.0
0.08,499.0
0.081,502.0
0.082,506.0
0.083,509.0
0.084,513.0
0.085,515.0
0.086,519.0
0.087,522.0
0.088,524.0
0.089,527.0
0.09,530.0
0.091,533.0
0.092,537.0
0.093,539.0
0.094,543.0
0.095,547.0
0.096,552.0
0.097,558.0
0.098,562.0
0.099,564.0
0.1,567.0
0.101,571.0
0.102,574.0
0.103,576.0
0.104,578.0
0.105,582.0
0.106,584.0
0.107,586.0
0.108,591.0
0.109,593.0
0.11,596.0
0.111,600.0
0.112,604.0
0.113,607.0
0.114,611.0
0.115,613.0
0.116,616.0
0.117,619.0
0.118,621.0
0.119,622.0
0.12,624.0
0.121,628.0
0.122,630.0
0.123,633.0
0.124,635.0
0.125,637.0
0.126,639.0
0.127,642.0
0.128,643.0
0.129,646.0
0.13,648.0
0.131,650.0
0.132,652.0
0.133,653.0
0.134,655.0
0.135,657.0
0.136,660.0
0.137,662.0
0.138,664.0
0.139,667.0
0.14,670.0
0.141,671.0
0.142,673.0
0.143,676.0
0.144,678.0
0.145,679.0
0.146,681.0
0.147,684.0
0.148,684.0
0.149,685.0
0.15,688.0
0.151,688.0
0.152,690.0
0.153,691.0
0.154,694.0
0.155,695.0
0.156,695.0
0.157,699.0
0.158,701.0
0.159,702.0
0.16,704.0
0.161,705.0
0.162,706.0
0.163,708.0
0.164,708.0
0.165,712.0
0.166,712.0
0.167,714.0
0.168,715.0
0.169,717.0
0.17,719.0
0.171,721.0
0.172,723.0
0.173,724.0
0.174,726.0
0.175,727.0
0.176,728.0
0.177,729.0
0.178,731.0
0.179,732.0
0.18,736.0
0.181,736.0
0.182,738.0
0.183,739.0
0.184,741.0
0.185,741.0
0.186,743.0
0.187,743.0
0.188,745.0
0.189,745.0
0.19,747.0
0.191,747.0
0.192,749.0
0.193,749.0
0.194,750.0
0.195,751.0
0.196,752.0
0.197,754.0
0.198,752.0
0.199,756.0
0.2,757.0
0.201,757.0
0.202,759.0
0.203,760.0
0.204,761.0
0.205,762.0
0.206,764.0
0.207,764.0
0.208,766.0
0.209,766.0
0.21,768.0
0.211,769.0
0.212,769.0
0.213,770.0
