Time,ForceReading
0.0,8.0
0.001,3.0
0.002,4.0
0.003,18.0
0.004,28.0
0.005,34.0
0.006,39.0
0.007,41.0
0.008,43.0
0.009,45.0
0.01,47.0
0.011,48.0
0.012,49.0
0.013,51.0
0.014,53.0
0.015,56.0
0.016,56.0
0.017,58.0
0.018,61.0
0.019,65.0
0.02,66.0
0.021,70.0
0.022,71.0
0.023,75.0
0.024,81.0
0.025,85.0
0.026,88.0
0.027,91.0
0.028,93.0
0.029,97.0
0.03,100.0
0.031,103.0
0.032,107.0
0.033,109.0
0.034,113.0
0.035,112.0
0.036,120.0
0.037,123.0
0.038,124.0
0.039,131.0
0.04,132.0
0.041,138.0
0.042,141.0
0.043,141.0
0.044,147.0
0.045,146.0
0.046,147.0
0.047,149.0
0.048,148.0
0.049,150.0
0.05,151.0
0.051,153.0
0.052,153.0
0.053,153.0
0.054,156.0
0.055,156.0
0.056,157.0
0.057,157.0
0.058,157.0
0.059,159.0
0.06,165.0
0.061,167.0
0.062,170.0
0.063,174.0
0.064,178.0
0.065,181.0
0.066,183.0
0.067,185.0
0.068,186.0
0.069,188.0
0.07,190.0
0.071,190.0
0.072,194.0
0.073,192.0
0.074,193.0
0.075,196.0
0.076,195.0
0.077,196.0
0.078,197.0
0.079,197.0
0.08,197.0
0.081,198.0
0.082,199.0
0.083,198.0
0.084,208.0
0.085,207.0
0.086,208.0
0.087,209.0
0.088,210.0
0.089,210.0
0.09,212.0
0.091,212.0
0.092,211.0
0.093,213.0
0.094,215.0
0.095,214.0
0.096,214.0
0.097,215.0
0.098,215.0
0.099,214.0
0.1,215.0
0.101,216.0
0.102,215.0
0.103,216.0
0.104,215.0
0.105,219.0
0.106,221.0
0.107,220.0
0.108,221.0
0.109,221.0
0.11,220.0
0.111,221.0
0.112,223.0
0.113,222.0
0.114,223.0
0.115,223.0
0.116,222.0
0.117,223.0
0.118,222.0
0.119,223.0
0.12,224.0
0.121,223.0
0.122,224.0
0.123,224.0
0.124,224.0
0.125,222.0
0.126,224.0
0.127,224.0
0.128,225.0
0.129,225.0
0.13,226.0
0.131,228.0
0.132,234.0
0.133,235.0
0.134,241.0
0.135,242.0
0.136,242.0
0.137,243.0
0.138,244.0
0.139,244.0
0.14,246.0
0.141,247.0
0.142,244.0
0.143,245.0
0.144,244.0
0.145,243.0
0.146,249.0
0.147,244.0
0.148,248.0
0.149,250.0
0.15,250.0
0.151,251.0
0.152,253.0
0.153,253.0
0.154,253.0
0.155,255.0
0.156,254.0
0.157,252.0
0.158,252.0
0.159,251.0
0.16,252.0
0.161,252.0
0.162,252.0
0.163,252.0
0.164,252.0
0.165,253.0
0.166,254.0
0.167,254.0
0.168,255.0
0.169,257.0
0.17,257.0
0.171,257.0
0.172,259.0
0.173,260.0
0.174,263.0
0.175,263.0
0.176,266.0
0.177,266.0
0.178,268.0
0.179,268.0
0.18,269.0
0.181,273.0
0.182,275.0
0.183,279.0
0.184,279.0
0.185,282.0
0.186,282.0
0.187,284.0
0.188,289.0
0.189,292.0
0.19,294.0
0.191,296.0
0.192,299.0
0.193,300.0
0.194,302.0
0.195,307.0
0.196,308.0
0.197,309.0
0.198,312.0
0.199,313.0
0.2,312.0
0.201,316.0
0.202,314.0
0.203,319.0
0.204,321.0
0.205,324.0
0.206,326.0
0.207,332.0
0.208,338.0
0.209,342.0
0.21,347.0
0.211,350.0
0.212,354.0
0.213,356.0
0.214,358.0
0.215,360.0
0.216,363.0
0.217,366.0
0.218,367.0
0.219,370.0
0.22,372.0
0.221,374.0
0.222,375.0
0.223,377.0
0.224,380.0
0.225,380.0
0.226,382.0
0.227,384.0
0.228,386.0
0.229,387.0
0.23,389.0
0.231,392.0
0.232,396.0
0.233,401.0
0.234,403.0
0.235,405.0
0.236,409.0
0.237,410.0
0.238,414.0
0.239,416.0
0.24,418.0
0.241,420.0
0.242,422.0
0.243,423.0
0.244,426.0
0.245,428.0
0.246,430.0
0.247,431.0
0.248,434.0
0.249,435.0
0.25,436.0
0.251,437.0
0.252,442.0
0.253,442.0
0.254,444.0
0.255,444.0
0.256,448.0
0.257,448.0
0.258,450.0
0.259,451.0
0.26,455.0
0.261,455.0
0.262,457.0
0.263,460.0
0.264,461.0
0.265,464.0
0.266,467.0
0.267,472.0
0.268,477.0
0.269,480.0
0.27,482.0
0.271,485.0
0.272,487.0
0.273,489.0
0.274,493.0
0.275,493.0
0.276,497.0
0.277,500.0
0.278,501.0
0.279,502.0
0.28,508.0
0.281,510.0
0.282,513.0
0.283,515.0
0.284,516.0
0.285,518.0
0.286,520.0
0.287,522.0
0.288,524.0
0.289,525.0
0.29,529.0
0.291,531.0
0.292,532.0
0.293,533.0
0.294,535.0
0.295,538.0
0.296,540.0
0.297,542.0
0.298,544.0
0.299,546.0
0.3,548.0
0.301,550.0
0.302,552.0
0.303,552.0
0.304,556.0
0.305,558.0
0.306,560.0
0.307,562.0
0.308,564.0
0.309,566.0
0.31,568.0
0.311,572.0
0.312,574.0
0.313,576.0
0.314,578.0
0.315,582.0
0.316,584.0
0.317,586.0
0.318,588.0
0.319,591.0
0.32,594.0
0.321,596.0
0.322,598.0
0.323,597.0
0.324,599.0
0.325,601.0
0.326,601.0
0.327,604.0
0.328,607.0
0.329,608.0
0.33,608.0
0.331,610.0
0.332,612.0
0.333,615.0
0.334,618.0
0.335,621.0
0.336,623.0
0.337,623.0
0.338,624.0
0.339,627.0
0.34,629.0
0.341,631.0
0.342,633.0
0.343,635.0
0.344,636.0
0.345,637.0
0.346,639.0
0.347,641.0
0.348,643.0
0.349,645.0
0.35,645.0
0.351,647.0
0.352,649.0
0.353,650.0
0.354,652.0
0.355,654.0
0.356,657.0
0.357,657.0
0.358,659.0
0.359,661.0
0.36,661.0
0.361,664.0
0.362,666.0
0.363,667.0
0.364,667.0
0.365,668.0
0.366,670.0
0.367,674.0
0.368,675.0
0.369,677.0
0.37,680.0
0.371,680.0
0.372,682.0
0.373,683.0
0.374,684.0
0.375,687.0
0.376,688.0
0.377,689.0
0.378,691.0
0.379,692.0
0.38,694.0
0.381,695.0
0.382,696.0
0.383,698.0
0.384,701.0
0.385,701.0
0.386,703.0
0.387,703.0
0.388,704.0
0.389,706.0
0.39,706.0
0.391,709.0
0.392,710.0
0.393,711.0
0.394,712.0
0.395,714.0
0.396,716.0
0.397,718.0
0.398,719.0
0.399,720.0
0.4,720.0
0.401,722.0
0.402,723.0
0.403,725.0
0.404,725.0
0.405,727.0
0.406,727.0
0.407,730.0
0.408,731.0
0.409,733.0
0.41,736.0
0.411,735.0
0.412,738.0
0.413,738.0
0.414,741.0
0.415,741.0
0.416,744.0
0.417,745.0
0.418,746.0
0.419,747.0
0.42,747.0
0.421,748.0
0.422,749.0
0.423,751.0
0.424,753.0
0.425,753.0
0.426,754.0
0.427,756.0
0.428,755.0
0.429,757.0
0.43,759.0
0.431,759.0
0.432,760.0
0.433,760.0
0.434,762.0
0.435,763.0
0.436,765.0
0.437,765.0
0.438,767.0
0.439,768.0
0.44,768.0
0.441,768.0
0.442,770.0
0.443,769.0
0.444,770.0
0.445,772.0
0.446,771.0
0.447,772.0
0.448,773.0
0.449,773.0
0.45,773.0
0.451,775.0
0.452,776.0
0.453,776.0
0.454,776.0
0.455,779.0
0.456,778.0
0.457,781.0
0.458,780.0
0.459,781.0
0.46,783.0
0.461,783.0
0.462,784.0
0.463,786.0
0.464,787.0
0.465,786.0
0.466,787.0
0.467,789.0
0.468,790.0
0.469,790.0
0.47,791.0
0.471,792.0
0.472,792.0
0.473,795.0
0.474,794.0
0.475,796.0
0.476,797.0
0.477,796.0
0.478,798.0
0.479,798.0
0.48,800.0
0.481,801.0
0.482,801.0
0.483,801.0
0.484,801.0
0.485,802.0
0.486,804.0
0.487,803.0
0.488,805.0
0.489,805.0
0.49,805.0
0.491,805.0
0.492,807.0
0.493,806.0
0.494,807.0
0.495,807.0
0.496,810.0
0.497,810.0
0.498,810.0
0.499,811.0
0.5,811.0
0.501,811.0
0.502,811.0
0.503,812.0
0.504,812.0
0.505,814.0
0.506,815.0
0.507,816.0
0.508,814.0
0.509,815.0
0.51,817.0
0.511,817.0
0.512,818.0
0.513,817.0
0.514,819.0
0.515,819.0
0.516,819.0
0.517,820.0
0.518,821.0
0.519,821.0
0.52,821.0
0.521,822.0
0.522,823.0
0.523,823.0
0.524,824.0
0.525,825.0
0.526,825.0
0.527,825.0
0.528,827.0
0.529,825.0
0.53,827.0
0.531,826.0
0.532,828.0
0.533,828.0
0.534,829.0
0.535,829.0
0.536,828.0
0.537,830.0
0.538,830.0
0.539,831.0
0.54,831.0
0.541,831.0
0.542,832.0
0.543,833.0
0.544,833.0
0.545,834.0
0.546,833.0
0.547,835.0
0.548,836.0
0.549,836.0
0.55,835.0
0.551,838.0
0.552,837.0
0.553,838.0
0.554,837.0
0.555,838.0
0.556,839.0
0.557,841.0
0.558,840.0
0.559,841.0
0.56,842.0
0.561,841.0
0.562,842.0
0.563,843.0
0.564,842.0
0.565,844.0
0.566,843.0
0.567,844.0
0.568,844.0
0.569,845.0
0.57,845.0
0.571,845.0
0.572,846.0
0.573,846.0
0.574,846.0
0.575,847.0
0.576,847.0
0.577,848.0
0.578,848.0
0.579,848.0
0.58,848.0
0.581,850.0
0.582,849.0
0.583,850.0
0.584,851.0
0.585,850.0
0.586,852.0
0.587,850.0
0.588,851.0
0.589,852.0
0.59,853.0
0.591,853.0
0.592,852.0
0.593,853.0
0.594,854.0
0.595,853.0
0.596,854.0
0.597,855.0
0.598,854.0
0.599,856.0
