Time,ForceReading
0.0,19.0
0.001,27.0
0.002,31.0
0.003,37.0
0.004,40.0
0.005,49.0
0.006,56.0
0.007,61.0
0.008,66.0
0.009,70.0
0.01,71.0
0.011,81.0
0.012,85.0
0.013,90.0
0.014,93.0
0.015,99.0
0.016,101.0
0.017,104.0
0.018,107.0
0.019,111.0
0.02,117.0
0.021,119.0
0.022,126.0
0.023,129.0
0.024,134.0
0.025,139.0
0.026,147.0
0.027,153.0
0.028,157.0
0.029,163.0
0.03,165.0
0.031,170.0
0.032,173.0
0.033,175.0
0.034,176.0
0.035,180.0
0.036,183.0
0.037,184.0
0.038,188.0
0.039,198.0
0.04,202.0
0.041,206.0
0.042,210.0
0.043,214.0
0.044,218.0
0.045,224.0
0.046,228.0
0.047,232.0
0.048,235.0
0.049,239.0
0.05,241.0
0.051,245.0
0.052,252.0
0.053,258.0
0.054,264.0
0.055,265.0
0.056,274.0
0.057,280.0
0.058,284.0
0.059,289.0
0.06,292.0
0.061,297.0
0.062,301.0
0.063,305.0
0.064,310.0
0.065,314.0
0.066,319.0
0.067,322.0
0.068,325.0
0.069,329.0
0.07,332.0
0.071,335.0
0.072,339.0
0.073,342.0
0.074,345.0
0.075,346.0
0.076,349.0
0.077,352.0
0.078,354.0
0.079,358.0
0.08,361.0
0.081,362.0
0.082,364.0
0.083,367.0
0.084,369.0
0.085,373.0
0.086,376.0
0.087,381.0
0.088,388.0
0.089,392.0
0.09,397.0
0.091,402.0
0.092,404.0
0.093,407.0
0.094,412.0
0.095,416.0
0.096,419.0
0.097,423.0
0.098,429.0
0.099,436.0
0.1,438.0
0.101,442.0
0.102,447.0
0.103,454.0
0.104,457.0
0.105,460.0
0.106,464.0
0.107,469.0
0.108,472.0
0.109,476.0
0.11,479.0
0.111,483.0
0.112,488.0
0.113,492.0
0.114,494.0
0.115,498.0
0.116,502.0
0.117,505.0
0.118,509.0
0.119,512.0
0.12,517.0
0.121,520.0
0.122,525.0
0.123,527.0
0.124,531.0
0.125,532.0
0.126,535.0
0.127,538.0
0.128,540.0
0.129,542.0
0.13,543.0
0.131,548.0
0.132,550.0
0.133,552.0
0.134,554.0
0.135,558.0
0.136,558.0
0.137,558.0
0.138,562.0
0.139,564.0
0.14,566.0
0.141,568.0
0.142,570.0
0.143,573.0
0.144,575.0
0.145,577.0
0.146,581.0
0.147,584.0
0.148,585.0
0.149,591.0
0.15,593.0
0.151,597.0
0.152,600.0
0.153,603.0
0.154,605.0
0.155,608.0
0.156,610.0
0.157,611.0
0.158,613.0
0.159,616.0
0.16,618.0
0.161,621.0
0.162,622.0
0.163,623.0
0.164,626.0
0.165,628.0
0.166,631.0
0.167,631.0
0.168,634.0
0.169,635.0
0.17,637.0
0.171,639.0
0.172,641.0
0.173,642.0
0.174,644.0
0.175,646.0
0.176,648.0
0.177,650.0
0.178,654.0
0.179,656.0
0.18,657.0
0.181,660.0
0.182,663.0
0.183,666.0
0.184,667.0
0.185,668.0
0.186,671.0
0.187,671.0
0.188,674.0
0.189,675.0
0.19,676.0
0.191,677.0
0.192,679.0
0.193,680.0
0.194,681.0
0.195,683.0
0.196,685.0
0.197,687.0
0.198,687.0
0.199,690.0
0.2,690.0
0.201,692.0
0.202,694.0
0.203,695.0
0.204,696.0
0.205,700.0
0.206,701.0
0.207,702.0
0.208,703.0
0.209,703.0
0.21,705.0
0.211,707.0
0.212,708.0
0.213,710.0
0.214,710.0
0.215,710.0
0.216,712.0
0.217,712.0
0.218,713.0
0.219,714.0
0.22,716.0
0.221,718.0
0.222,718.0
0.223,720.0
0.224,720.0
0.225,721.0
0.226,722.0
0.227,723.0
0.228,723.0
0.229,725.0
0.23,726.0
0.231,726.0
0.232,727.0
0.233,728.0
0.234,729.0
0.235,729.0
0.236,730.0
0.237,731.0
0.238,732.0
0.239,733.0
0.24,735.0
0.241,735.0
0.242,737.0
0.243,738.0
0.244,739.0
0.245,740.0
0.246,740.0
0.247,741.0
0.248,741.0
0.249,742.0
0.25,743.0
0.251,744.0
0.252,743.0
0.253,745.0
0.254,746.0
0.255,746.0
0.256,746.0
0.257,747.0
0.258,748.0
0.259,750.0
0.26,750.0
0.261,751.0
0.262,751.0
0.263,753.0
0.264,752.0
0.265,753.0
0.266,754.0
0.267,753.0
0.268,754.0
0.269,755.0
0.27,756.0
0.271,756.0
0.272,756.0
0.273,757.0
0.274,758.0
0.275,758.0
0.276,759.0
0.277,759.0
0.278,759.0
0.279,759.0
0.28,760.0
0.281,761.0
0.282,762.0
0.283,763.0
0.284,763.0
0.285,763.0
0.286,763.0
0.287,764.0
0.288,764.0
0.289,765.0
0.29,764.0
0.291,765.0
0.292,765.0
0.293,767.0
0.294,766.0
0.295,767.0
0.296,767.0
0.297,768.0
0.298,768.0
0.299,768.0
0.3,770.0
0.301,769.0
0.302,771.0
0.303,771.0
0.304,771.0
0.305,773.0
0.306,774.0
0.307,773.0
0.308,773.0
0.309,775.0
0.31,775.0
0.311,775.0
0.312,776.0
0.313,776.0
0.314,778.0
0.315,778.0
0.316,778.0
0.317,780.0
0.318,779.0
