Time,ForceReading
0.0,6.0
0.001,5.0
0.002,8.0
0.003,7.0
0.004,6.0
0.005,7.0
0.006,7.0
0.007,1.0
0.008,0.0
0.009,0.0
0.01,1.0
0.011,0.0
0.012,0.0
0.013,1.0
0.014,8.0
0.015,7.0
0.016,7.0
0.017,6.0
0.018,9.0
0.019,10.0
0.02,11.0
0.021,14.0
0.022,23.0
0.023,27.0
0.024,32.0
0.025,33.0
0.026,34.0
0.027,41.0
0.028,43.0
0.029,44.0
0.03,43.0
0.031,45.0
0.032,48.0
0.033,48.0
0.034,51.0
0.035,54.0
0.036,64.0
0.037,75.0
0.038,88.0
0.039,97.0
0.04,102.0
0.041,108.0
0.042,110.0
0.043,111.0
0.044,112.0
0.045,110.0
0.046,111.0
0.047,108.0
0.048,105.0
0.049,107.0
0.05,108.0
0.051,110.0
0.052,110.0
0.053,111.0
0.054,111.0
0.055,110.0
0.056,114.0
0.057,114.0
0.058,112.0
0.059,112.0
0.06,112.0
0.061,112.0
0.062,111.0
0.063,113.0
0.064,112.0
0.065,113.0
0.066,112.0
0.067,112.0
0.068,113.0
0.069,111.0
0.07,111.0
0.071,111.0
0.072,112.0
0.073,112.0
0.074,113.0
0.075,113.0
0.076,112.0
0.077,112.0
0.078,113.0
0.079,113.0
0.08,111.0
0.081,113.0
0.082,114.0
0.083,114.0
0.084,114.0
0.085,115.0
0.086,115.0
0.087,115.0
0.088,116.0
0.089,116.0
0.09,117.0
0.091,116.0
0.092,116.0
0.093,117.0
0.094,118.0
0.095,118.0
0.096,116.0
0.097,117.0
0.098,117.0
0.099,117.0
0.1,117.0
0.101,118.0
0.102,118.0
0.103,119.0
0.104,119.0
0.105,120.0
0.106,119.0
0.107,121.0
0.108,120.0
0.109,121.0
0.11,121.0
0.111,123.0
0.112,124.0
0.113,126.0
0.114,127.0
0.115,132.0
0.116,132.0
0.117,132.0
0.118,132.0
0.119,132.0
0.12,133.0
0.121,133.0
0.122,133.0
0.123,135.0
0.124,135.0
0.125,136.0
0.126,138.0
0.127,139.0
0.128,141.0
0.129,148.0
0.13,165.0
0.131,189.0
0.132,207.0
0.133,221.0
0.134,234.0
0.135,243.0
0.136,250.0
0.137,256.0
0.138,259.0
0.139,263.0
0.14,270.0
0.141,272.0
0.142,273.0
0.143,275.0
0.144,274.0
0.145,269.0
0.146,263.0
0.147,260.0
0.148,266.0
0.149,278.0
0.15,286.0
0.151,290.0
0.152,294.0
0.153,296.0
0.154,299.0
0.155,302.0
0.156,307.0
0.157,310.0
0.158,317.0
0.159,325.0
0.16,337.0
0.161,350.0
0.162,358.0
0.163,366.0
0.164,368.0
0.165,372.0
0.166,377.0
0.167,378.0
0.168,380.0
0.169,382.0
0.17,385.0
0.171,389.0
0.172,393.0
0.173,398.0
0.174,402.0
0.175,407.0
0.176,414.0
0.177,421.0
0.178,423.0
0.179,428.0
0.18,435.0
0.181,438.0
0.182,444.0
0.183,449.0
0.184,453.0
0.185,458.0
0.186,465.0
0.187,469.0
0.188,478.0
0.189,482.0
0.19,488.0
0.191,493.0
0.192,495.0
0.193,497.0
0.194,499.0
0.195,503.0
0.196,507.0
0.197,512.0
0.198,514.0
0.199,517.0
0.2,520.0
0.201,526.0
0.202,528.0
0.203,531.0
0.204,534.0
0.205,538.0
0.206,539.0
0.207,543.0
0.208,547.0
0.209,548.0
0.21,550.0
0.211,552.0
0.212,555.0
0.213,557.0
0.214,559.0
0.215,561.0
0.216,564.0
0.217,569.0
0.218,569.0
0.219,572.0
0.22,575.0
0.221,577.0
0.222,580.0
0.223,582.0
0.224,585.0
0.225,587.0
0.226,591.0
0.227,594.0
0.228,595.0
0.229,598.0
0.23,600.0
0.231,601.0
0.232,603.0
0.233,605.0
0.234,608.0
0.235,609.0
0.236,611.0
0.237,614.0
0.238,616.0
0.239,617.0
0.24,620.0
0.241,622.0
0.242,624.0
0.243,627.0
0.244,627.0
0.245,630.0
0.246,631.0
0.247,634.0
0.248,635.0
0.249,638.0
0.25,640.0
0.251,642.0
0.252,644.0
0.253,644.0
0.254,645.0
0.255,646.0
0.256,651.0
0.257,651.0
0.258,653.0
0.259,655.0
0.26,656.0
0.261,657.0
0.262,659.0
0.263,661.0
0.264,661.0
0.265,662.0
0.266,664.0
0.267,667.0
0.268,667.0
0.269,669.0
0.27,670.0
0.271,671.0
0.272,673.0
0.273,675.0
0.274,677.0
0.275,678.0
0.276,680.0
0.277,681.0
0.278,684.0
0.279,685.0
0.28,687.0
0.281,687.0
0.282,688.0
0.283,690.0
0.284,691.0
0.285,693.0
0.286,693.0
0.287,695.0
0.288,695.0
0.289,695.0
0.29,697.0
0.291,698.0
0.292,700.0
0.293,700.0
0.294,700.0
0.295,700.0
0.296,701.0
0.297,702.0
0.298,703.0
0.299,704.0
0.3,706.0
0.301,706.0
0.302,707.0
0.303,707.0
0.304,710.0
0.305,711.0
0.306,713.0
0.307,713.0
0.308,713.0
0.309,715.0
0.31,716.0
0.311,717.0
0.312,718.0
0.313,719.0
0.314,720.0
0.315,721.0
0.316,721.0
