Time,ForceReading
0.0,9.0
0.001,23.0
0.002,26.0
0.003,28.0
0.004,30.0
0.005,32.0
0.006,33.0
0.007,34.0
0.008,37.0
0.009,44.0
0.01,58.0
0.011,72.0
0.012,82.0
0.013,89.0
0.014,93.0
0.015,99.0
0.016,105.0
0.017,114.0
0.018,120.0
0.019,131.0
0.02,136.0
0.021,146.0
0.022,151.0
0.023,156.0
0.024,161.0
0.025,166.0
0.026,170.0
0.027,178.0
0.028,184.0
0.029,191.0
0.03,194.0
0.031,197.0
0.032,198.0
0.033,198.0
0.034,196.0
0.035,194.0
0.036,196.0
0.037,197.0
0.038,197.0
0.039,200.0
0.04,205.0
0.041,214.0
0.042,220.0
0.043,229.0
0.044,240.0
0.045,248.0
0.046,257.0
0.047,265.0
0.048,273.0
0.049,285.0
0.05,292.0
0.051,300.0
0.052,309.0
0.053,315.0
0.054,321.0
0.055,328.0
0.056,333.0
0.057,337.0
0.058,343.0
0.059,350.0
0.06,360.0
0.061,372.0
0.062,382.0
0.063,390.0
0.064,396.0
0.065,397.0
0.066,399.0
0.067,400.0
0.068,399.0
0.069,399.0
0.07,398.0
0.071,396.0
0.072,395.0
0.073,394.0
0.074,395.0
0.075,395.0
0.076,397.0
0.077,399.0
0.078,401.0
0.079,403.0
0.08,405.0
0.081,406.0
0.082,407.0
0.083,407.0
0.084,408.0
0.085,408.0
0.086,408.0
0.087,408.0
0.088,407.0
0.089,407.0
0.09,406.0
0.091,406.0
0.092,406.0
0.093,407.0
0.094,406.0
0.095,406.0
0.096,407.0
0.097,408.0
0.098,409.0
0.099,409.0
0.1,410.0
0.101,412.0
0.102,412.0
0.103,413.0
0.104,413.0
0.105,413.0
0.106,413.0
0.107,413.0
0.108,412.0
0.109,413.0
0.11,413.0
0.111,413.0
0.112,413.0
0.113,414.0
0.114,413.0
0.115,414.0
0.116,415.0
0.117,414.0
0.118,417.0
0.119,417.0
0.12,417.0
0.121,418.0
0.122,418.0
0.123,420.0
0.124,422.0
0.125,423.0
0.126,422.0
0.127,423.0
0.128,423.0
0.129,423.0
0.13,422.0
0.131,423.0
0.132,423.0
0.133,423.0
0.134,423.0
0.135,425.0
0.136,425.0
0.137,427.0
0.138,429.0
0.139,431.0
0.14,433.0
0.141,434.0
0.142,434.0
0.143,436.0
0.144,435.0
0.145,436.0
0.146,438.0
0.147,439.0
0.148,441.0
0.149,441.0
0.15,443.0
0.151,444.0
0.152,443.0
0.153,447.0
0.154,448.0
0.155,450.0
0.156,452.0
0.157,453.0
0.158,456.0
0.159,462.0
0.16,466.0
0.161,470.0
0.162,473.0
0.163,472.0
0.164,472.0
0.165,470.0
0.166,465.0
0.167,462.0
0.168,461.0
0.169,461.0
0.17,463.0
0.171,467.0
0.172,475.0
0.173,484.0
0.174,490.0
0.175,497.0
0.176,504.0
0.177,510.0
0.178,518.0
0.179,524.0
0.18,530.0
0.181,535.0
0.182,539.0
0.183,544.0
0.184,549.0
0.185,554.0
0.186,559.0
0.187,565.0
0.188,571.0
0.189,576.0
0.19,584.0
0.191,592.0
0.192,599.0
0.193,605.0
0.194,610.0
0.195,618.0
0.196,621.0
0.197,626.0
0.198,631.0
0.199,637.0
0.2,640.0
0.201,643.0
0.202,646.0
0.203,648.0
0.204,650.0
0.205,654.0
0.206,657.0
0.207,661.0
0.208,665.0
0.209,669.0
0.21,672.0
0.211,676.0
0.212,682.0
0.213,685.0
0.214,689.0
0.215,693.0
0.216,697.0
0.217,702.0
0.218,706.0
0.219,710.0
0.22,714.0
0.221,717.0
0.222,721.0
0.223,723.0
0.224,728.0
0.225,731.0
0.226,734.0
0.227,737.0
0.228,740.0
0.229,743.0
0.23,746.0
0.231,748.0
0.232,751.0
0.233,754.0
0.234,757.0
0.235,759.0
0.236,761.0
0.237,763.0
0.238,765.0
0.239,767.0
0.24,769.0
0.241,770.0
0.242,774.0
0.243,776.0
0.244,778.0
0.245,780.0
0.246,782.0
0.247,783.0
0.248,786.0
0.249,788.0
0.25,789.0
0.251,792.0
0.252,793.0
0.253,794.0
0.254,796.0
0.255,798.0
0.256,801.0
0.257,801.0
0.258,804.0
0.259,805.0
0.26,806.0
0.261,808.0
0.262,808.0
0.263,811.0
0.264,812.0
0.265,814.0
0.266,815.0
0.267,815.0
0.268,817.0
0.269,818.0
0.27,819.0
0.271,819.0
0.272,821.0
0.273,823.0
0.274,823.0
0.275,824.0
0.276,827.0
0.277,826.0
0.278,828.0
0.279,829.0
0.28,830.0
0.281,832.0
0.282,831.0
0.283,833.0
0.284,833.0
0.285,835.0
0.286,836.0
0.287,836.0
0.288,837.0
0.289,837.0
0.29,838.0
0.291,840.0
0.292,841.0
0.293,841.0
0.294,842.0
0.295,842.0
0.296,842.0
0.297,844.0
0.298,844.0
0.299,845.0
0.3,846.0
0.301,847.0
0.302,848.0
0.303,847.0
0.304,848.0
0.305,849.0
0.306,849.0
0.307,850.0
0.308,851.0
0.309,853.0
0.31,852.0
0.311,854.0
0.312,854.0
0.313,854.0
0.314,855.0
0.315,855.0
0.316,856.0
0.317,857.0
0.318,857.0
0.319,858.0
0.32,859.0
0.321,860.0
0.322,859.0
0.323,861.0
0.324,860.0
0.325,861.0
0.326,862.0
0.327,862.0
0.328,863.0
0.329,863.0
0.33,863.0
0.331,865.0
0.332,864.0
0.333,864.0
0.334,865.0
0.335,866.0
0.336,866.0
0.337,867.0
0.338,867.0
0.339,868.0
0.34,868.0
0.341,869.0
0.342,869.0
0.343,871.0
0.344,870.0
0.345,871.0
0.346,871.0
0.347,871.0
0.348,872.0
0.349,872.0
0.35,873.0
0.351,873.0
0.352,873.0
0.353,874.0
0.354,873.0
0.355,874.0
0.356,875.0
0.357,874.0
0.358,875.0
0.359,875.0
0.36,876.0
0.361,878.0
0.362,877.0
0.363,878.0
0.364,878.0
0.365,879.0
0.366,879.0
0.367,879.0
0.368,881.0
0.369,880.0
0.37,880.0
0.371,881.0
0.372,882.0
0.373,881.0
0.374,883.0
0.375,884.0
0.376,884.0
0.377,884.0
0.378,885.0
0.379,885.0
0.38,886.0
0.381,886.0
0.382,886.0
0.383,887.0
0.384,888.0
0.385,888.0
0.386,889.0
0.387,888.0
0.388,889.0
0.389,889.0
0.39,888.0
0.391,890.0
0.392,889.0
0.393,889.0
0.394,890.0
0.395,890.0
0.396,890.0
0.397,891.0
0.398,890.0
0.399,891.0
0.4,892.0
0.401,891.0
0.402,893.0
0.403,892.0
0.404,894.0
0.405,894.0
0.406,894.0
0.407,894.0
0.408,894.0
0.409,894.0
0.41,895.0
0.411,895.0
0.412,895.0
0.413,896.0
0.414,896.0
0.415,896.0
0.416,896.0
0.417,897.0
0.418,897.0
0.419,898.0
0.42,897.0
0.421,898.0
0.422,898.0
0.423,898.0
0.424,898.0
0.425,900.0
0.426,899.0
0.427,900.0
0.428,899.0
0.429,900.0
0.43,900.0
0.431,901.0
0.432,900.0
0.433,900.0
0.434,901.0
0.435,902.0
0.436,902.0
0.437,901.0
0.438,902.0
0.439,901.0
0.44,903.0
0.441,903.0
0.442,903.0
0.443,903.0
0.444,904.0
0.445,905.0
0.446,905.0
0.447,904.0
0.448,905.0
0.449,905.0
0.45,906.0
0.451,905.0
0.452,905.0
0.453,906.0
0.454,905.0
0.455,907.0
0.456,905.0
0.457,907.0
0.458,906.0
0.459,907.0
0.46,907.0
0.461,907.0
0.462,909.0
0.463,907.0
0.464,907.0
0.465,908.0
0.466,908.0
0.467,909.0
0.468,908.0
0.469,909.0
0.47,909.0
0.471,909.0
0.472,909.0
0.473,909.0
0.474,909.0
0.475,909.0
0.476,909.0
0.477,911.0
0.478,909.0
0.479,911.0
0.48,911.0
0.481,911.0
0.482,911.0
0.483,911.0
0.484,912.0
0.485,911.0
0.486,911.0
0.487,912.0
0.488,912.0
0.489,912.0
0.49,911.0
0.491,912.0
0.492,912.0
0.493,913.0
0.494,912.0
0.495,913.0
0.496,912.0
0.497,913.0
0.498,913.0
0.499,913.0
0.5,913.0
0.501,913.0
0.502,914.0
0.503,913.0
0.504,914.0
0.505,914.0
0.506,914.0
0.507,915.0
0.508,914.0
0.509,915.0
0.51,914.0
0.511,914.0
0.512,914.0
0.513,915.0
0.514,915.0
0.515,915.0
0.516,915.0
0.517,915.0
0.518,916.0
0.519,915.0
0.52,916.0
0.521,915.0
0.522,915.0
0.523,915.0
0.524,915.0
0.525,916.0
0.526,916.0
0.527,918.0
0.528,917.0
0.529,918.0
0.53,918.0
0.531,917.0
0.532,918.0
0.533,918.0
0.534,918.0
0.535,918.0
0.536,918.0
0.537,919.0
0.538,919.0
0.539,919.0
0.54,918.0
0.541,919.0
0.542,919.0
0.543,919.0
0.544,919.0
0.545,920.0
0.546,921.0
0.547,919.0
0.548,920.0
0.549,921.0
0.55,921.0
0.551,921.0
0.552,920.0
0.553,922.0
0.554,922.0
0.555,922.0
0.556,921.0
0.557,921.0
0.558,921.0
0.559,922.0
0.56,923.0
0.561,922.0
0.562,923.0
0.563,923.0
0.564,923.0
0.565,923.0
0.566,923.0
0.567,923.0
0.568,923.0
0.569,923.0
0.57,925.0
0.571,924.0
0.572,924.0
0.573,925.0
0.574,924.0
0.575,925.0
0.576,925.0
0.577,924.0
0.578,926.0
0.579,925.0
0.58,925.0
0.581,925.0
0.582,925.0
0.583,926.0
0.584,926.0
0.585,926.0
0.586,926.0
0.587,926.0
0.588,926.0
0.589,926.0
0.59,927.0
0.591,927.0
0.592,927.0
0.593,927.0
0.594,928.0
0.595,928.0
0.596,927.0
0.597,928.0
0.598,928.0
0.599,929.0
0.6,927.0
0.601,928.0
0.602,929.0
0.603,929.0
0.604,928.0
0.605,928.0
0.606,929.0
0.607,928.0
0.608,929.0
0.609,929.0
0.61,930.0
0.611,929.0
0.612,929.0
0.613,930.0
0.614,930.0
0.615,930.0
0.616,931.0
0.617,931.0
0.618,930.0
0.619,930.0
0.62,931.0
0.621,930.0
0.622,930.0
0.623,930.0
0.624,931.0
0.625,931.0
0.626,931.0
0.627,931.0
0.628,931.0
0.629,930.0
0.63,931.0
0.631,931.0
0.632,932.0
0.633,931.0
0.634,931.0
0.635,931.0
0.636,931.0
0.637,930.0
0.638,931.0
0.639,932.0
0.64,930.0
0.641,931.0
0.642,930.0
0.643,931.0
0.644,931.0
0.645,931.0
0.646,930.0
0.647,930.0
0.648,932.0
0.649,931.0
0.65,931.0
0.651,931.0
0.652,932.0
0.653,931.0
0.654,932.0
0.655,931.0
0.656,931.0
0.657,931.0
0.658,932.0
0.659,930.0
0.66,932.0
0.661,931.0
0.662,932.0
0.663,931.0
0.664,932.0
0.665,933.0
