Time,ForceReading
0.0,9.0
0.001,16.0
0.002,21.0
0.003,24.0
0.004,35.0
0.005,38.0
0.006,42.0
0.007,43.0
0.008,46.0
0.009,50.0
0.01,54.0
0.011,54.0
0.012,52.0
0.013,60.0
0.014,62.0
0.015,64.0
0.016,66.0
0.017,71.0
0.018,78.0
0.019,87.0
0.02,90.0
0.021,96.0
0.022,99.0
0.023,101.0
0.024,103.0
0.025,107.0
0.026,110.0
0.027,118.0
0.028,120.0
0.029,126.0
0.03,135.0
0.031,142.0
0.032,146.0
0.033,151.0
0.034,158.0
0.035,162.0
0.036,164.0
0.037,167.0
0.038,170.0
0.039,173.0
0.04,176.0
0.041,181.0
0.042,186.0
0.043,195.0
0.044,206.0
0.045,211.0
0.046,217.0
0.047,221.0
0.048,226.0
0.049,233.0
0.05,235.0
0.051,244.0
0.052,254.0
0.053,259.0
0.054,263.0
0.055,265.0
0.056,270.0
0.057,270.0
0.058,275.0
0.059,278.0
0.06,285.0
0.061,289.0
0.062,297.0
0.063,301.0
0.064,305.0
0.065,310.0
0.066,313.0
0.067,317.0
0.068,321.0
0.069,322.0
0.07,326.0
0.071,329.0
0.072,333.0
0.073,336.0
0.074,339.0
0.075,346.0
0.076,351.0
0.077,356.0
0.078,361.0
0.079,365.0
0.08,368.0
0.081,371.0
0.082,373.0
0.083,376.0
0.084,377.0
0.085,378.0
0.086,383.0
0.087,387.0
0.088,387.0
0.089,390.0
0.09,392.0
0.091,392.0
0.092,394.0
0.093,397.0
0.094,400.0
0.095,404.0
0.096,409.0
0.097,416.0
0.098,418.0
0.099,424.0
0.1,431.0
0.101,432.0
0.102,435.0
0.103,439.0
0.104,443.0
0.105,445.0
0.106,447.0
0.107,448.0
0.108,451.0
0.109,451.0
0.11,455.0
0.111,454.0
0.112,456.0
0.113,460.0
0.114,464.0
0.115,467.0
0.116,469.0
0.117,473.0
0.118,474.0
0.119,477.0
0.12,478.0
0.121,483.0
0.122,482.0
0.123,485.0
0.124,487.0
0.125,489.0
0.126,492.0
0.127,494.0
0.128,494.0
0.129,495.0
0.13,500.0
0.131,503.0
0.132,506.0
0.133,508.0
0.134,511.0
0.135,513.0
0.136,514.0
0.137,517.0
0.138,517.0
0.139,518.0
0.14,520.0
0.141,521.0
0.142,523.0
0.143,524.0
0.144,525.0
0.145,525.0
0.146,526.0
0.147,526.0
0.148,527.0
0.149,527.0
0.15,529.0
0.151,530.0
0.152,531.0
0.153,533.0
0.154,535.0
0.155,539.0
0.156,542.0
0.157,543.0
0.158,546.0
0.159,548.0
0.16,549.0
0.161,551.0
0.162,553.0
0.163,555.0
0.164,558.0
0.165,559.0
0.166,561.0
0.167,561.0
0.168,564.0
0.169,566.0
0.17,567.0
0.171,570.0
0.172,571.0
0.173,572.0
0.174,574.0
0.175,576.0
0.176,577.0
0.177,579.0
0.178,581.0
0.179,582.0
0.18,584.0
0.181,585.0
0.182,586.0
0.183,587.0
0.184,589.0
0.185,591.0
0.186,593.0
0.187,594.0
0.188,596.0
0.189,597.0
0.19,601.0
0.191,602.0
0.192,603.0
0.193,602.0
0.194,605.0
0.195,606.0
0.196,607.0
0.197,608.0
0.198,609.0
0.199,610.0
0.2,613.0
0.201,614.0
0.202,615.0
0.203,615.0
0.204,617.0
0.205,618.0
0.206,618.0
0.207,619.0
0.208,620.0
0.209,622.0
0.21,621.0
0.211,623.0
0.212,624.0
0.213,626.0
0.214,628.0
0.215,628.0
0.216,629.0
0.217,630.0
0.218,632.0
0.219,632.0
0.22,634.0
0.221,634.0
0.222,636.0
0.223,636.0
0.224,638.0
0.225,638.0
0.226,641.0
0.227,640.0
0.228,642.0
0.229,643.0
0.23,643.0
0.231,644.0
0.232,645.0
0.233,647.0
0.234,649.0
0.235,651.0
0.236,652.0
0.237,653.0
0.238,653.0
0.239,654.0
0.24,655.0
0.241,657.0
0.242,657.0
0.243,658.0
0.244,659.0
0.245,660.0
0.246,661.0
0.247,661.0
0.248,663.0
0.249,663.0
0.25,665.0
0.251,664.0
0.252,667.0
0.253,666.0
0.254,667.0
0.255,667.0
0.256,669.0
0.257,669.0
0.258,671.0
0.259,672.0
0.26,672.0
0.261,672.0
0.262,672.0
0.263,674.0
0.264,676.0
0.265,677.0
0.266,676.0
0.267,677.0
0.268,679.0
0.269,677.0
0.27,677.0
0.271,678.0
0.272,679.0
0.273,679.0
0.274,680.0
0.275,681.0
0.276,682.0
0.277,684.0
0.278,684.0
0.279,683.0
0.28,685.0
0.281,687.0
0.282,685.0
0.283,687.0
0.284,687.0
0.285,688.0
0.286,689.0
0.287,690.0
0.288,690.0
0.289,691.0
0.29,694.0
0.291,693.0
0.292,695.0
0.293,695.0
0.294,694.0
0.295,696.0
0.296,696.0
0.297,698.0
0.298,697.0
0.299,696.0
0.3,698.0
0.301,698.0
0.302,698.0
0.303,699.0
0.304,699.0
0.305,701.0
0.306,701.0
0.307,702.0
0.308,701.0
0.309,703.0
0.31,703.0
0.311,703.0
0.312,704.0
0.313,705.0
0.314,707.0
0.315,707.0
0.316,708.0
0.317,708.0
0.318,709.0
0.319,709.0
0.32,711.0
0.321,711.0
0.322,711.0
0.323,712.0
0.324,712.0
0.325,715.0
0.326,714.0
0.327,715.0
0.328,715.0
0.329,716.0
0.33,717.0
0.331,716.0
0.332,717.0
0.333,717.0
0.334,717.0
0.335,717.0
0.336,717.0
0.337,719.0
0.338,719.0
0.339,719.0
0.34,719.0
0.341,721.0
0.342,721.0
0.343,721.0
0.344,721.0
0.345,722.0
0.346,722.0
0.347,722.0
0.348,722.0
0.349,723.0
0.35,723.0
0.351,724.0
0.352,725.0
0.353,726.0
0.354,724.0
0.355,727.0
0.356,728.0
0.357,727.0
0.358,728.0
0.359,728.0
0.36,728.0
0.361,729.0
0.362,730.0
0.363,729.0
0.364,729.0
0.365,730.0
0.366,732.0
0.367,731.0
0.368,732.0
0.369,731.0
0.37,733.0
0.371,732.0
0.372,733.0
0.373,732.0
0.374,733.0
0.375,734.0
0.376,735.0
0.377,735.0
0.378,735.0
0.379,736.0
0.38,735.0
0.381,735.0
0.382,737.0
0.383,736.0
0.384,735.0
0.385,736.0
0.386,737.0
0.387,738.0
0.388,738.0
0.389,738.0
0.39,740.0
0.391,739.0
0.392,738.0
0.393,739.0
0.394,739.0
0.395,739.0
0.396,741.0
0.397,740.0
0.398,741.0
0.399,741.0
0.4,741.0
0.401,743.0
0.402,743.0
0.403,742.0
0.404,743.0
0.405,742.0
0.406,742.0
0.407,744.0
0.408,743.0
0.409,743.0
0.41,743.0
0.411,744.0
0.412,743.0
0.413,745.0
0.414,744.0
0.415,745.0
0.416,744.0
0.417,744.0
0.418,745.0
0.419,746.0
0.42,746.0
0.421,747.0
0.422,746.0
0.423,746.0
0.424,747.0
0.425,747.0
0.426,747.0
0.427,747.0
0.428,747.0
0.429,748.0
0.43,748.0
0.431,749.0
0.432,750.0
0.433,750.0
0.434,750.0
0.435,751.0
0.436,750.0
0.437,750.0
0.438,750.0
0.439,751.0
0.44,750.0
0.441,751.0
0.442,751.0
0.443,751.0
0.444,751.0
0.445,751.0
0.446,751.0
0.447,753.0
0.448,751.0
0.449,753.0
0.45,753.0
0.451,752.0
0.452,752.0
0.453,751.0
0.454,752.0
0.455,753.0
0.456,754.0
0.457,754.0
0.458,753.0
0.459,754.0
0.46,753.0
0.461,753.0
0.462,753.0
0.463,754.0
0.464,755.0
0.465,754.0
0.466,754.0
0.467,754.0
0.468,753.0
0.469,755.0
0.47,755.0
0.471,754.0
0.472,757.0
0.473,755.0
0.474,756.0
0.475,756.0
0.476,755.0
0.477,757.0
0.478,756.0
0.479,757.0
0.48,758.0
0.481,757.0
0.482,757.0
0.483,758.0
0.484,759.0
0.485,758.0
0.486,757.0
0.487,758.0
0.488,760.0
0.489,760.0
0.49,760.0
0.491,761.0
0.492,760.0
0.493,759.0
0.494,761.0
0.495,760.0
0.496,761.0
0.497,762.0
0.498,761.0
0.499,760.0
0.5,761.0
0.501,760.0
0.502,761.0
0.503,761.0
0.504,762.0
0.505,761.0
0.506,762.0
0.507,761.0
0.508,761.0
0.509,761.0
0.51,761.0
0.511,762.0
0.512,761.0
0.513,762.0
0.514,763.0
0.515,762.0
0.516,763.0
0.517,763.0
0.518,763.0
0.519,763.0
0.52,763.0
0.521,763.0
0.522,763.0
0.523,763.0
0.524,764.0
0.525,766.0
0.526,765.0
0.527,765.0
0.528,765.0
0.529,764.0
0.53,765.0
0.531,764.0
0.532,764.0
0.533,766.0
0.534,765.0
0.535,765.0
0.536,765.0
0.537,765.0
0.538,765.0
0.539,764.0
0.54,766.0
0.541,765.0
0.542,765.0
0.543,766.0
0.544,767.0
0.545,766.0
0.546,766.0
0.547,766.0
0.548,766.0
0.549,767.0
0.55,767.0
0.551,766.0
0.552,767.0
0.553,767.0
0.554,766.0
0.555,766.0
0.556,766.0
0.557,767.0
0.558,768.0
0.559,767.0
0.56,767.0
0.561,768.0
0.562,768.0
0.563,766.0
0.564,767.0
0.565,767.0
0.566,768.0
0.567,767.0
0.568,768.0
0.569,767.0
0.57,767.0
0.571,767.0
0.572,767.0
0.573,767.0
0.574,767.0
0.575,767.0
0.576,768.0
0.577,767.0
0.578,767.0
0.579,767.0
0.58,767.0
0.581,768.0
0.582,767.0
0.583,767.0
0.584,768.0
0.585,767.0
0.586,768.0
0.587,769.0
0.588,769.0
0.589,769.0
0.59,768.0
0.591,768.0
0.592,767.0
0.593,767.0
0.594,767.0
0.595,767.0
0.596,768.0
0.597,768.0
0.598,767.0
0.599,767.0
0.6,768.0
0.601,769.0
0.602,767.0
0.603,767.0
0.604,767.0
0.605,768.0
0.606,768.0
0.607,766.0
0.608,767.0
0.609,767.0
0.61,767.0
0.611,767.0
0.612,766.0
0.613,767.0
0.614,767.0
0.615,766.0
0.616,765.0
0.617,766.0
0.618,765.0
0.619,765.0
0.62,766.0
0.621,765.0
0.622,764.0
0.623,764.0
0.624,763.0
0.625,765.0
0.626,766.0
0.627,764.0
0.628,764.0
0.629,765.0
0.63,763.0
0.631,764.0
0.632,764.0
0.633,764.0
0.634,764.0
0.635,764.0
0.636,763.0
0.637,763.0
0.638,763.0
0.639,762.0
0.64,765.0
0.641,763.0
0.642,763.0
0.643,763.0
0.644,765.0
0.645,765.0
0.646,765.0
0.647,763.0
0.648,763.0
0.649,763.0
0.65,763.0
0.651,763.0
0.652,763.0
0.653,762.0
0.654,762.0
0.655,764.0
0.656,762.0
0.657,764.0
0.658,763.0
0.659,762.0
0.66,762.0
0.661,761.0
0.662,762.0
0.663,761.0
0.664,761.0
0.665,762.0
0.666,761.0
0.667,763.0
0.668,761.0
0.669,761.0
0.67,762.0
0.671,761.0
0.672,762.0
0.673,762.0
0.674,762.0
0.675,760.0
0.676,760.0
