Time,ForceReading
0.0,8.0
0.001,15.0
0.002,28.0
0.003,34.0
0.004,39.0
0.005,40.0
0.006,42.0
0.007,54.0
0.008,73.0
0.009,80.0
0.01,80.0
0.011,78.0
0.012,79.0
0.013,74.0
0.014,64.0
0.015,65.0
0.016,73.0
0.017,77.0
0.018,79.0
0.019,85.0
0.02,86.0
0.021,94.0
0.022,104.0
0.023,109.0
0.024,113.0
0.025,121.0
0.026,131.0
0.027,141.0
0.028,147.0
0.029,151.0
0.03,154.0
0.031,157.0
0.032,158.0
0.033,163.0
0.034,172.0
0.035,179.0
0.036,184.0
0.037,190.0
0.038,200.0
0.039,211.0
0.04,224.0
0.041,238.0
0.042,254.0
0.043,261.0
0.044,267.0
0.045,271.0
0.046,278.0
0.047,285.0
0.048,294.0
0.049,304.0
0.05,312.0
0.051,322.0
0.052,331.0
0.053,339.0
0.054,345.0
0.055,350.0
0.056,356.0
0.057,364.0
0.058,367.0
0.059,370.0
0.06,375.0
0.061,381.0
0.062,385.0
0.063,390.0
0.064,394.0
0.065,400.0
0.066,404.0
0.067,407.0
0.068,412.0
0.069,417.0
0.07,419.0
0.071,424.0
0.072,428.0
0.073,431.0
0.074,433.0
0.075,439.0
0.076,444.0
0.077,450.0
0.078,454.0
0.079,456.0
0.08,460.0
0.081,464.0
0.082,467.0
0.083,470.0
0.084,472.0
0.085,477.0
0.086,481.0
0.087,485.0
0.088,489.0
0.089,493.0
0.09,497.0
0.091,501.0
0.092,508.0
0.093,513.0
0.094,517.0
0.095,522.0
0.096,526.0
0.097,531.0
0.098,534.0
0.099,539.0
0.1,544.0
0.101,547.0
0.102,552.0
0.103,554.0
0.104,559.0
0.105,562.0
0.106,566.0
0.107,572.0
0.108,576.0
0.109,579.0
0.11,580.0
0.111,585.0
0.112,587.0
0.113,592.0
0.114,595.0
0.115,598.0
0.116,602.0
0.117,604.0
0.118,607.0
0.119,609.0
0.12,612.0
0.121,615.0
0.122,617.0
0.123,620.0
0.124,622.0
0.125,625.0
0.126,628.0
0.127,631.0
