Time,ForceReading
0.0,13.0
0.001,13.0
0.002,15.0
0.003,14.0
0.004,16.0
0.005,18.0
0.006,17.0
0.007,18.0
0.008,19.0
0.009,20.0
0.01,21.0
0.011,20.0
0.012,20.0
0.013,22.0
0.014,22.0
0.015,22.0
0.016,22.0
0.017,22.0
0.018,21.0
0.019,21.0
0.02,21.0
0.021,21.0
0.022,20.0
0.023,21.0
0.024,21.0
0.025,22.0
0.026,24.0
0.027,24.0
0.028,23.0
0.029,25.0
0.03,25.0
0.031,31.0
0.032,31.0
0.033,33.0
0.034,34.0
0.035,36.0
0.036,36.0
0.037,36.0
0.038,43.0
0.039,50.0
0.04,53.0
0.041,54.0
0.042,58.0
0.043,60.0
0.044,67.0
0.045,74.0
0.046,76.0
0.047,79.0
0.048,83.0
0.049,84.0
0.05,87.0
0.051,89.0
0.052,91.0
0.053,92.0
0.054,90.0
0.055,90.0
0.056,96.0
0.057,97.0
0.058,96.0
0.059,101.0
0.06,103.0
0.061,105.0
0.062,107.0
0.063,107.0
0.064,110.0
0.065,110.0
0.066,112.0
0.067,115.0
0.068,115.0
0.069,116.0
0.07,115.0
0.071,116.0
0.072,115.0
0.073,115.0
0.074,115.0
0.075,113.0
0.076,115.0
0.077,116.0
0.078,114.0
0.079,115.0
0.08,114.0
0.081,120.0
0.082,120.0
0.083,119.0
0.084,120.0
0.085,119.0
0.086,117.0
0.087,116.0
0.088,116.0
0.089,116.0
0.09,116.0
0.091,115.0
0.092,116.0
0.093,117.0
0.094,116.0
0.095,116.0
0.096,117.0
0.097,117.0
0.098,117.0
0.099,117.0
0.1,117.0
0.101,116.0
0.102,117.0
0.103,118.0
0.104,116.0
0.105,116.0
0.106,117.0
0.107,116.0
0.108,117.0
0.109,117.0
0.11,117.0
0.111,117.0
0.112,117.0
0.113,118.0
0.114,117.0
0.115,119.0
0.116,117.0
0.117,117.0
0.118,117.0
0.119,116.0
0.12,117.0
0.121,116.0
0.122,115.0
0.123,116.0
0.124,115.0
0.125,115.0
0.126,115.0
0.127,115.0
0.128,115.0
0.129,116.0
0.13,115.0
0.131,116.0
0.132,116.0
0.133,116.0
0.134,116.0
0.135,116.0
0.136,116.0
0.137,116.0
0.138,116.0
0.139,116.0
0.14,116.0
0.141,117.0
0.142,117.0
0.143,118.0
0.144,120.0
0.145,120.0
0.146,122.0
0.147,122.0
0.148,122.0
0.149,121.0
0.15,123.0
0.151,123.0
0.152,125.0
0.153,127.0
0.154,128.0
0.155,128.0
0.156,129.0
0.157,129.0
0.158,130.0
0.159,131.0
0.16,131.0
0.161,131.0
0.162,133.0
0.163,135.0
0.164,134.0
0.165,134.0
0.166,134.0
0.167,135.0
0.168,136.0
0.169,135.0
0.17,136.0
0.171,136.0
0.172,136.0
0.173,139.0
0.174,138.0
0.175,139.0
0.176,138.0
0.177,136.0
0.178,140.0
0.179,141.0
0.18,141.0
0.181,143.0
0.182,142.0
0.183,143.0
0.184,142.0
0.185,142.0
0.186,143.0
0.187,144.0
0.188,144.0
0.189,144.0
0.19,142.0
0.191,144.0
0.192,148.0
0.193,148.0
0.194,148.0
0.195,149.0
0.196,150.0
0.197,151.0
0.198,152.0
0.199,152.0
0.2,152.0
0.201,152.0
0.202,150.0
0.203,149.0
0.204,154.0
0.205,157.0
0.206,155.0
0.207,154.0
0.208,156.0
0.209,157.0
0.21,156.0
0.211,155.0
0.212,156.0
0.213,156.0
0.214,156.0
0.215,156.0
0.216,154.0
0.217,155.0
0.218,156.0
0.219,156.0
0.22,158.0
0.221,159.0
0.222,159.0
0.223,159.0
0.224,159.0
0.225,158.0
0.226,160.0
0.227,161.0
0.228,161.0
0.229,160.0
0.23,160.0
0.231,156.0
0.232,156.0
0.233,156.0
0.234,159.0
0.235,156.0
0.236,156.0
0.237,157.0
0.238,157.0
0.239,158.0
0.24,158.0
0.241,159.0
0.242,157.0
0.243,158.0
0.244,157.0
0.245,157.0
0.246,159.0
0.247,159.0
0.248,158.0
0.249,159.0
0.25,159.0
0.251,159.0
0.252,158.0
0.253,159.0
0.254,160.0
0.255,161.0
0.256,160.0
0.257,160.0
0.258,161.0
0.259,160.0
0.26,159.0
0.261,160.0
0.262,160.0
0.263,156.0
0.264,158.0
0.265,157.0
0.266,157.0
0.267,158.0
0.268,157.0
0.269,156.0
0.27,157.0
0.271,155.0
0.272,156.0
0.273,159.0
0.274,158.0
0.275,161.0
0.276,163.0
0.277,165.0
0.278,165.0
0.279,167.0
0.28,167.0
0.281,171.0
0.282,173.0
0.283,174.0
0.284,180.0
0.285,184.0
0.286,186.0
0.287,191.0
0.288,193.0
0.289,195.0
0.29,198.0
0.291,199.0
0.292,200.0
0.293,202.0
0.294,205.0
0.295,206.0
0.296,207.0
0.297,207.0
0.298,209.0
0.299,210.0
0.3,210.0
0.301,210.0
0.302,212.0
0.303,212.0
0.304,213.0
0.305,214.0
0.306,214.0
0.307,214.0
0.308,216.0
0.309,217.0
0.31,218.0
0.311,218.0
0.312,217.0
0.313,220.0
0.314,220.0
0.315,220.0
0.316,220.0
0.317,220.0
0.318,221.0
0.319,219.0
0.32,221.0
0.321,222.0
0.322,222.0
0.323,223.0
0.324,223.0
0.325,224.0
0.326,226.0
0.327,227.0
0.328,228.0
0.329,227.0
0.33,229.0
0.331,229.0
0.332,230.0
0.333,230.0
