Time,ForceReading
0.0,4.0
0.001,0.0
0.002,0.0
0.003,0.0
0.004,0.0
0.005,3.0
0.006,25.0
0.007,32.0
0.008,34.0
0.009,37.0
0.01,35.0
0.011,36.0
0.012,35.0
0.013,35.0
0.014,31.0
0.015,30.0
0.016,30.0
0.017,31.0
0.018,36.0
0.019,37.0
0.02,39.0
0.021,39.0
0.022,44.0
0.023,44.0
0.024,44.0
0.025,44.0
0.026,44.0
0.027,43.0
0.028,39.0
0.029,40.0
0.03,39.0
0.031,40.0
0.032,38.0
0.033,39.0
0.034,38.0
0.035,40.0
0.036,41.0
0.037,41.0
0.038,41.0
0.039,43.0
0.04,44.0
0.041,42.0
0.042,43.0
0.043,43.0
0.044,48.0
0.045,48.0
0.046,49.0
0.047,49.0
0.048,48.0
0.049,48.0
0.05,48.0
0.051,47.0
0.052,48.0
0.053,48.0
0.054,49.0
0.055,49.0
0.056,50.0
0.057,51.0
0.058,49.0
0.059,54.0
0.06,56.0
0.061,57.0
0.062,58.0
0.063,58.0
0.064,58.0
0.065,58.0
0.066,58.0
0.067,58.0
0.068,58.0
0.069,60.0
0.07,65.0
0.071,66.0
0.072,66.0
0.073,68.0
0.074,70.0
0.075,70.0
0.076,70.0
0.077,71.0
0.078,73.0
0.079,71.0
0.08,79.0
0.081,85.0
0.082,89.0
0.083,94.0
0.084,98.0
0.085,104.0
0.086,113.0
0.087,117.0
0.088,122.0
0.089,128.0
0.09,132.0
0.091,134.0
0.092,137.0
0.093,140.0
0.094,139.0
0.095,141.0
0.096,141.0
0.097,141.0
0.098,142.0
0.099,144.0
0.1,144.0
0.101,146.0
0.102,148.0
0.103,150.0
0.104,151.0
0.105,154.0
0.106,159.0
0.107,165.0
0.108,169.0
0.109,179.0
0.11,182.0
0.111,188.0
0.112,194.0
0.113,203.0
0.114,214.0
0.115,222.0
0.116,233.0
0.117,253.0
0.118,274.0
0.119,290.0
0.12,303.0
0.121,316.0
0.122,324.0
0.123,333.0
0.124,342.0
0.125,351.0
0.126,361.0
0.127,368.0
0.128,376.0
0.129,385.0
0.13,398.0
0.131,406.0
0.132,412.0
0.133,419.0
0.134,424.0
0.135,430.0
0.136,435.0
0.137,442.0
0.138,449.0
0.139,454.0
0.14,458.0
0.141,465.0
0.142,471.0
0.143,476.0
0.144,482.0
0.145,488.0
0.146,492.0
0.147,500.0
0.148,506.0
0.149,513.0
0.15,519.0
0.151,525.0
0.152,529.0
0.153,532.0
0.154,537.0
0.155,544.0
0.156,547.0
0.157,552.0
0.158,556.0
0.159,560.0
0.16,567.0
0.161,572.0
0.162,577.0
0.163,582.0
0.164,585.0
0.165,590.0
0.166,594.0
0.167,597.0
0.168,603.0
0.169,609.0
0.17,615.0
0.171,618.0
0.172,621.0
0.173,626.0
0.174,630.0
0.175,636.0
0.176,639.0
0.177,642.0
0.178,647.0
0.179,651.0
0.18,654.0
0.181,658.0
0.182,659.0
0.183,662.0
0.184,665.0
0.185,667.0
0.186,670.0
0.187,673.0
0.188,673.0
0.189,676.0
0.19,677.0
0.191,678.0
0.192,680.0
0.193,684.0
0.194,685.0
0.195,687.0
0.196,690.0
0.197,692.0
0.198,694.0
0.199,694.0
0.2,697.0
0.201,699.0
0.202,700.0
0.203,701.0
0.204,702.0
0.205,704.0
0.206,706.0
0.207,707.0
0.208,709.0
0.209,711.0
0.21,712.0
0.211,714.0
0.212,715.0
0.213,716.0
0.214,717.0
0.215,720.0
0.216,720.0
0.217,722.0
0.218,723.0
0.219,724.0
0.22,724.0
0.221,726.0
0.222,728.0
0.223,728.0
0.224,728.0
0.225,730.0
0.226,732.0
0.227,731.0
0.228,733.0
0.229,734.0
0.23,735.0
0.231,736.0
0.232,737.0
0.233,739.0
0.234,739.0
0.235,741.0
0.236,743.0
0.237,744.0
0.238,746.0
0.239,746.0
0.24,749.0
0.241,750.0
0.242,750.0
0.243,751.0
0.244,752.0
0.245,755.0
0.246,755.0
0.247,757.0
0.248,756.0
0.249,759.0
0.25,759.0
0.251,760.0
0.252,761.0
0.253,763.0
0.254,764.0
0.255,765.0
0.256,765.0
0.257,766.0
0.258,767.0
0.259,769.0
0.26,769.0
0.261,770.0
0.262,771.0
0.263,773.0
0.264,772.0
0.265,773.0
0.266,774.0
0.267,775.0
0.268,775.0
0.269,778.0
0.27,776.0
0.271,779.0
0.272,780.0
0.273,780.0
0.274,781.0
0.275,783.0
0.276,784.0
0.277,785.0
0.278,786.0
0.279,787.0
0.28,788.0
0.281,789.0
0.282,789.0
0.283,792.0
0.284,792.0
0.285,792.0
0.286,793.0
0.287,795.0
0.288,795.0
0.289,796.0
0.29,797.0
0.291,798.0
0.292,797.0
0.293,798.0
0.294,800.0
0.295,800.0
0.296,800.0
0.297,801.0
0.298,801.0
0.299,803.0
0.3,801.0
0.301,803.0
0.302,803.0
0.303,804.0
0.304,804.0
0.305,806.0
0.306,807.0
0.307,807.0
0.308,809.0
0.309,809.0
0.31,809.0
0.311,809.0
0.312,811.0
0.313,812.0
0.314,813.0
0.315,813.0
0.316,813.0
0.317,813.0
0.318,815.0
0.319,814.0
0.32,815.0
0.321,816.0
0.322,816.0
0.323,818.0
0.324,817.0
0.325,818.0
0.326,819.0
0.327,821.0
0.328,819.0
0.329,820.0
0.33,821.0
0.331,823.0
0.332,822.0
0.333,823.0
0.334,823.0
0.335,825.0
0.336,823.0
0.337,824.0
0.338,826.0
0.339,826.0
0.34,826.0
0.341,826.0
0.342,828.0
0.343,827.0
0.344,828.0
0.345,828.0
0.346,828.0
0.347,830.0
0.348,830.0
0.349,829.0
0.35,830.0
0.351,831.0
0.352,831.0
0.353,830.0
0.354,832.0
0.355,831.0
0.356,832.0
0.357,833.0
0.358,832.0
0.359,832.0
0.36,833.0
0.361,834.0
0.362,834.0
0.363,834.0
0.364,835.0
0.365,835.0
0.366,835.0
0.367,835.0
0.368,836.0
0.369,837.0
0.37,836.0
0.371,837.0
0.372,837.0
0.373,838.0
0.374,837.0
0.375,839.0
0.376,839.0
0.377,839.0
0.378,840.0
0.379,840.0
0.38,840.0
0.381,840.0
0.382,840.0
0.383,840.0
0.384,840.0
0.385,841.0
0.386,841.0
0.387,842.0
0.388,843.0
0.389,843.0
0.39,843.0
0.391,842.0
0.392,843.0
0.393,842.0
0.394,843.0
0.395,844.0
0.396,843.0
0.397,843.0
0.398,844.0
0.399,845.0
0.4,845.0
0.401,845.0
0.402,845.0
0.403,844.0
0.404,845.0
0.405,845.0
0.406,846.0
0.407,846.0
0.408,845.0
0.409,847.0
0.41,847.0
0.411,846.0
0.412,848.0
0.413,847.0
0.414,848.0
0.415,847.0
0.416,848.0
0.417,848.0
0.418,849.0
0.419,849.0
0.42,850.0
0.421,850.0
0.422,849.0
0.423,850.0
0.424,851.0
0.425,850.0
0.426,850.0
0.427,850.0
0.428,851.0
0.429,851.0
0.43,851.0
0.431,852.0
0.432,852.0
0.433,852.0
0.434,853.0
0.435,852.0
0.436,852.0
0.437,853.0
0.438,854.0
0.439,854.0
0.44,854.0
0.441,855.0
0.442,855.0
0.443,855.0
0.444,855.0
0.445,855.0
0.446,856.0
0.447,856.0
0.448,856.0
0.449,856.0
0.45,856.0
0.451,858.0
0.452,857.0
0.453,857.0
0.454,857.0
0.455,857.0
0.456,858.0
0.457,859.0
0.458,858.0
0.459,860.0
0.46,859.0
0.461,860.0
0.462,859.0
0.463,860.0
0.464,860.0
0.465,860.0
0.466,862.0
0.467,862.0
0.468,861.0
0.469,861.0
0.47,862.0
0.471,864.0
0.472,863.0
0.473,863.0
0.474,864.0
0.475,863.0
0.476,863.0
0.477,864.0
0.478,865.0
0.479,864.0
0.48,866.0
0.481,865.0
0.482,866.0
0.483,865.0
0.484,865.0
0.485,865.0
0.486,866.0
0.487,867.0
0.488,866.0
0.489,866.0
0.49,866.0
0.491,867.0
0.492,867.0
0.493,867.0
0.494,867.0
0.495,868.0
0.496,867.0
0.497,868.0
0.498,868.0
0.499,868.0
0.5,868.0
0.501,869.0
0.502,869.0
0.503,870.0
0.504,870.0
0.505,870.0
0.506,870.0
0.507,870.0
0.508,871.0
0.509,871.0
0.51,871.0
0.511,871.0
0.512,871.0
0.513,871.0
0.514,871.0
0.515,871.0
0.516,872.0
0.517,871.0
0.518,871.0
0.519,872.0
0.52,873.0
0.521,872.0
0.522,872.0
0.523,874.0
0.524,873.0
0.525,874.0
0.526,875.0
0.527,873.0
0.528,873.0
0.529,874.0
0.53,874.0
0.531,874.0
0.532,875.0
0.533,874.0
0.534,875.0
0.535,875.0
0.536,875.0
0.537,875.0
0.538,875.0
0.539,876.0
0.54,876.0
0.541,876.0
0.542,877.0
0.543,876.0
0.544,877.0
0.545,877.0
0.546,877.0
0.547,877.0
0.548,876.0
0.549,877.0
0.55,878.0
0.551,877.0
0.552,877.0
0.553,877.0
0.554,878.0
0.555,878.0
0.556,878.0
0.557,879.0
0.558,879.0
0.559,880.0
0.56,878.0
0.561,879.0
0.562,878.0
0.563,879.0
0.564,879.0
0.565,879.0
0.566,879.0
0.567,879.0
0.568,879.0
0.569,879.0
0.57,879.0
0.571,880.0
0.572,879.0
0.573,879.0
0.574,881.0
0.575,880.0
0.576,880.0
0.577,879.0
0.578,880.0
0.579,881.0
0.58,880.0
0.581,880.0
0.582,881.0
0.583,880.0
0.584,881.0
0.585,880.0
0.586,881.0
0.587,880.0
0.588,881.0
0.589,879.0
0.59,881.0
0.591,880.0
0.592,880.0
0.593,879.0
0.594,880.0
0.595,881.0
0.596,881.0
0.597,881.0
0.598,881.0
0.599,881.0
0.6,881.0
0.601,881.0
0.602,882.0
0.603,880.0
0.604,881.0
0.605,881.0
0.606,882.0
0.607,881.0
0.608,880.0
0.609,881.0
0.61,882.0
0.611,881.0
0.612,881.0
0.613,881.0
0.614,881.0
0.615,882.0
0.616,881.0
0.617,881.0
0.618,881.0
0.619,882.0
0.62,881.0
0.621,880.0
0.622,880.0
0.623,881.0
0.624,881.0
0.625,881.0
0.626,881.0
0.627,881.0
0.628,881.0
0.629,881.0
0.63,881.0
0.631,882.0
0.632,882.0
0.633,881.0
0.634,881.0
0.635,881.0
0.636,882.0
0.637,882.0
0.638,883.0
0.639,881.0
0.64,881.0
0.641,881.0
0.642,881.0
0.643,881.0
0.644,881.0
0.645,881.0
0.646,881.0
0.647,882.0
0.648,881.0
0.649,882.0
0.65,881.0
0.651,881.0
0.652,883.0
0.653,882.0
0.654,882.0
0.655,882.0
0.656,882.0
0.657,882.0
0.658,882.0
0.659,881.0
0.66,881.0
0.661,883.0
0.662,882.0
0.663,882.0
0.664,881.0
0.665,882.0
0.666,881.0
0.667,882.0
0.668,881.0
0.669,882.0
0.67,882.0
0.671,881.0
0.672,881.0
0.673,881.0
0.674,881.0
0.675,882.0
0.676,883.0
0.677,882.0
0.678,883.0
0.679,883.0
0.68,882.0
0.681,882.0
0.682,882.0
0.683,882.0
0.684,882.0
0.685,881.0
0.686,883.0
0.687,883.0
0.688,882.0
0.689,882.0
0.69,884.0
0.691,883.0
0.692,881.0
0.693,882.0
0.694,883.0
0.695,883.0
0.696,883.0
0.697,882.0
0.698,883.0
0.699,881.0
0.7,882.0
0.701,882.0
0.702,882.0
0.703,882.0
0.704,883.0
0.705,882.0
0.706,882.0
0.707,883.0
0.708,883.0
0.709,882.0
0.71,883.0
0.711,883.0
0.712,882.0
0.713,883.0
0.714,883.0
0.715,882.0
0.716,884.0
0.717,884.0
0.718,883.0
0.719,884.0
0.72,883.0
0.721,882.0
0.722,883.0
0.723,884.0
0.724,883.0
0.725,883.0
0.726,883.0
0.727,883.0
0.728,882.0
0.729,883.0
0.73,883.0
0.731,883.0
0.732,882.0
0.733,882.0
0.734,883.0
0.735,883.0
0.736,883.0
0.737,883.0
0.738,883.0
0.739,883.0
0.74,883.0
0.741,882.0
0.742,883.0
0.743,884.0
0.744,883.0
0.745,883.0
0.746,883.0
0.747,884.0
0.748,883.0
0.749,883.0
0.75,883.0
0.751,883.0
0.752,882.0
0.753,884.0
0.754,882.0
0.755,882.0
0.756,882.0
0.757,883.0
0.758,883.0
0.759,883.0
0.76,883.0
0.761,884.0
0.762,883.0
0.763,883.0
0.764,883.0
0.765,883.0
0.766,884.0
0.767,883.0
0.768,884.0
0.769,884.0
0.77,883.0
0.771,883.0
0.772,883.0
0.773,883.0
0.774,884.0
0.775,884.0
0.776,883.0
0.777,883.0
0.778,883.0
0.779,884.0
0.78,884.0
0.781,883.0
0.782,884.0
0.783,883.0
0.784,883.0
0.785,883.0
0.786,883.0
0.787,883.0
0.788,883.0
0.789,884.0
0.79,882.0
0.791,883.0
0.792,883.0
0.793,883.0
0.794,883.0
0.795,885.0
0.796,883.0
0.797,883.0
0.798,884.0
0.799,885.0
0.8,883.0
0.801,884.0
0.802,884.0
0.803,884.0
0.804,883.0
0.805,883.0
0.806,883.0
0.807,884.0
0.808,885.0
0.809,883.0
0.81,884.0
0.811,884.0
0.812,884.0
0.813,883.0
0.814,883.0
0.815,883.0
0.816,884.0
0.817,885.0
0.818,884.0
0.819,884.0
0.82,883.0
0.821,884.0
0.822,883.0
0.823,884.0
0.824,883.0
0.825,884.0
0.826,885.0
0.827,884.0
0.828,884.0
0.829,885.0
0.83,883.0
0.831,883.0
0.832,884.0
0.833,884.0
0.834,884.0
0.835,883.0
0.836,884.0
0.837,884.0
0.838,884.0
0.839,884.0
0.84,884.0
0.841,883.0
0.842,884.0
0.843,884.0
0.844,884.0
0.845,884.0
0.846,884.0
0.847,883.0
0.848,885.0
0.849,885.0
0.85,884.0
0.851,883.0
0.852,884.0
0.853,884.0
0.854,884.0
0.855,885.0
0.856,884.0
0.857,883.0
0.858,884.0
0.859,884.0
0.86,884.0
0.861,885.0
0.862,884.0
0.863,884.0
0.864,883.0
0.865,885.0
0.866,884.0
0.867,884.0
0.868,885.0
0.869,884.0
0.87,884.0
0.871,884.0
0.872,884.0
0.873,884.0
0.874,885.0
0.875,884.0
0.876,884.0
0.877,885.0
0.878,884.0
0.879,884.0
0.88,884.0
0.881,884.0
0.882,884.0
0.883,884.0
0.884,885.0
0.885,886.0
0.886,885.0
0.887,884.0
0.888,886.0
0.889,885.0
0.89,885.0
0.891,884.0
0.892,885.0
0.893,884.0
0.894,885.0
0.895,884.0
0.896,884.0
0.897,885.0
0.898,884.0
