Time,ForceReading
0.0,24.0
0.001,30.0
0.002,37.0
0.003,44.0
0.004,52.0
0.005,59.0
0.006,67.0
0.007,72.0
0.008,76.0
0.009,81.0
0.01,87.0
0.011,90.0
0.012,96.0
0.013,108.0
0.014,118.0
0.015,125.0
0.016,138.0
0.017,145.0
0.018,158.0
0.019,168.0
0.02,174.0
0.021,179.0
0.022,183.0
0.023,188.0
0.024,191.0
0.025,196.0
0.026,200.0
0.027,207.0
0.028,210.0
0.029,215.0
0.03,219.0
0.031,223.0
0.032,225.0
0.033,229.0
0.034,231.0
0.035,233.0
0.036,236.0
0.037,237.0
0.038,242.0
0.039,244.0
0.04,249.0
0.041,251.0
0.042,252.0
0.043,254.0
0.044,256.0
0.045,257.0
0.046,258.0
0.047,260.0
0.048,259.0
0.049,261.0
0.05,261.0
0.051,261.0
0.052,262.0
0.053,263.0
0.054,263.0
0.055,264.0
0.056,265.0
0.057,265.0
0.058,264.0
0.059,264.0
0.06,265.0
0.061,265.0
0.062,264.0
0.063,265.0
0.064,267.0
0.065,268.0
0.066,268.0
0.067,268.0
0.068,269.0
0.069,268.0
0.07,271.0
0.071,272.0
0.072,277.0
0.073,283.0
0.074,294.0
0.075,298.0
0.076,300.0
0.077,302.0
0.078,307.0
0.079,314.0
0.08,319.0
0.081,322.0
0.082,326.0
0.083,330.0
0.084,332.0
0.085,340.0
0.086,348.0
0.087,352.0
0.088,355.0
0.089,358.0
0.09,361.0
0.091,363.0
0.092,365.0
0.093,367.0
0.094,370.0
0.095,371.0
0.096,373.0
0.097,376.0
0.098,377.0
0.099,378.0
0.1,380.0
0.101,381.0
0.102,383.0
0.103,386.0
0.104,388.0
0.105,390.0
0.106,391.0
0.107,392.0
0.108,393.0
0.109,393.0
0.11,394.0
0.111,394.0
0.112,395.0
0.113,395.0
0.114,395.0
0.115,396.0
0.116,395.0
0.117,396.0
0.118,395.0
0.119,396.0
0.12,396.0
0.121,397.0
0.122,397.0
0.123,399.0
0.124,399.0
0.125,399.0
0.126,400.0
0.127,400.0
0.128,402.0
0.129,403.0
0.13,404.0
0.131,404.0
0.132,404.0
0.133,406.0
0.134,406.0
0.135,405.0
0.136,405.0
0.137,407.0
0.138,406.0
0.139,407.0
0.14,407.0
0.141,408.0
0.142,409.0
0.143,410.0
0.144,409.0
0.145,410.0
0.146,409.0
0.147,410.0
0.148,410.0
0.149,411.0
0.15,411.0
0.151,411.0
0.152,411.0
0.153,411.0
0.154,411.0
0.155,411.0
0.156,412.0
0.157,412.0
0.158,412.0
0.159,412.0
0.16,412.0
0.161,413.0
0.162,414.0
0.163,416.0
0.164,417.0
0.165,418.0
0.166,418.0
0.167,419.0
0.168,419.0
0.169,419.0
0.17,420.0
0.171,420.0
0.172,420.0
0.173,420.0
0.174,421.0
0.175,420.0
0.176,421.0
0.177,421.0
0.178,422.0
0.179,424.0
0.18,424.0
0.181,424.0
0.182,425.0
0.183,426.0
0.184,427.0
0.185,428.0
0.186,428.0
0.187,428.0
0.188,430.0
0.189,433.0
0.19,436.0
0.191,438.0
0.192,441.0
0.193,444.0
0.194,447.0
0.195,448.0
0.196,452.0
0.197,455.0
0.198,457.0
0.199,458.0
0.2,459.0
0.201,459.0
0.202,462.0
0.203,466.0
0.204,468.0
0.205,469.0
0.206,472.0
0.207,471.0
0.208,473.0
0.209,475.0
0.21,476.0
0.211,475.0
0.212,476.0
0.213,479.0
0.214,482.0
0.215,483.0
0.216,485.0
0.217,486.0
0.218,489.0
0.219,492.0
0.22,494.0
0.221,496.0
0.222,499.0
0.223,499.0
0.224,501.0
0.225,503.0
0.226,504.0
0.227,503.0
0.228,505.0
0.229,508.0
0.23,509.0
0.231,510.0
0.232,511.0
0.233,512.0
0.234,512.0
0.235,513.0
0.236,515.0
0.237,516.0
0.238,518.0
0.239,520.0
0.24,522.0
0.241,523.0
0.242,525.0
0.243,526.0
0.244,528.0
0.245,527.0
0.246,528.0
0.247,529.0
0.248,528.0
0.249,530.0
0.25,531.0
0.251,534.0
0.252,538.0
0.253,539.0
0.254,540.0
0.255,542.0
0.256,541.0
0.257,543.0
0.258,544.0
0.259,548.0
0.26,550.0
0.261,552.0
0.262,554.0
0.263,555.0
0.264,556.0
0.265,557.0
0.266,559.0
0.267,560.0
0.268,560.0
0.269,562.0
0.27,562.0
0.271,563.0
0.272,564.0
0.273,565.0
0.274,567.0
0.275,570.0
0.276,572.0
0.277,576.0
0.278,579.0
0.279,579.0
0.28,583.0
0.281,585.0
0.282,588.0
0.283,591.0
0.284,593.0
0.285,593.0
0.286,596.0
0.287,596.0
0.288,598.0
0.289,600.0
0.29,601.0
0.291,601.0
0.292,604.0
0.293,605.0
0.294,605.0
0.295,607.0
0.296,609.0
0.297,611.0
0.298,612.0
0.299,613.0
0.3,615.0
0.301,615.0
0.302,615.0
0.303,617.0
0.304,618.0
0.305,618.0
0.306,620.0
0.307,620.0
0.308,620.0
0.309,620.0
0.31,619.0
0.311,619.0
0.312,622.0
0.313,621.0
0.314,619.0
0.315,619.0
0.316,618.0
0.317,618.0
0.318,619.0
0.319,619.0
0.32,620.0
0.321,621.0
0.322,621.0
0.323,623.0
0.324,624.0
