Time,ForceReading
0.0,0.0
0.001,0.0
0.002,3.0
0.003,3.0
0.004,2.0
0.005,2.0
0.006,9.0
0.007,13.0
0.008,18.0
0.009,29.0
0.01,40.0
0.011,48.0
0.012,57.0
0.013,62.0
0.014,72.0
0.015,79.0
0.016,86.0
0.017,99.0
0.018,110.0
0.019,115.0
0.02,119.0
0.021,120.0
0.022,122.0
0.023,121.0
0.024,123.0
0.025,123.0
0.026,126.0
0.027,131.0
0.028,137.0
0.029,142.0
0.03,146.0
0.031,154.0
0.032,177.0
0.033,189.0
0.034,202.0
0.035,212.0
0.036,225.0
0.037,235.0
0.038,243.0
0.039,250.0
0.04,255.0
0.041,260.0
0.042,264.0
0.043,277.0
0.044,289.0
0.045,295.0
0.046,301.0
0.047,312.0
0.048,321.0
0.049,333.0
0.05,345.0
0.051,356.0
0.052,365.0
0.053,373.0
0.054,379.0
0.055,389.0
0.056,398.0
0.057,407.0
0.058,422.0
0.059,432.0
0.06,441.0
0.061,447.0
0.062,457.0
0.063,466.0
0.064,476.0
0.065,482.0
0.066,492.0
0.067,499.0
0.068,510.0
0.069,524.0
0.07,533.0
0.071,540.0
0.072,547.0
0.073,552.0
0.074,561.0
0.075,567.0
0.076,577.0
0.077,583.0
0.078,587.0
0.079,591.0
0.08,596.0
0.081,599.0
0.082,603.0
0.083,606.0
0.084,613.0
0.085,620.0
0.086,624.0
0.087,628.0
0.088,632.0
0.089,635.0
0.09,639.0
0.091,645.0
0.092,648.0
0.093,652.0
0.094,656.0
0.095,660.0
0.096,665.0
0.097,668.0
0.098,673.0
0.099,677.0
0.1,680.0
0.101,684.0
0.102,688.0
0.103,692.0
0.104,695.0
0.105,697.0
0.106,700.0
0.107,704.0
0.108,705.0
0.109,708.0
0.11,711.0
0.111,713.0
0.112,718.0
0.113,721.0
0.114,724.0
0.115,726.0
0.116,728.0
0.117,731.0
0.118,732.0
0.119,733.0
0.12,736.0
0.121,738.0
0.122,741.0
0.123,742.0
0.124,744.0
0.125,746.0
0.126,748.0
0.127,749.0
0.128,750.0
0.129,752.0
0.13,754.0
0.131,755.0
0.132,758.0
0.133,759.0
0.134,762.0
0.135,763.0
0.136,764.0
0.137,767.0
0.138,768.0
0.139,769.0
0.14,771.0
0.141,773.0
0.142,774.0
0.143,776.0
0.144,777.0
0.145,779.0
0.146,781.0
0.147,782.0
0.148,783.0
0.149,784.0
0.15,786.0
0.151,788.0
0.152,789.0
0.153,789.0
0.154,790.0
0.155,792.0
0.156,793.0
0.157,793.0
