Time,ForceReading
0.0,12.0
0.001,15.0
0.002,16.0
0.003,18.0
0.004,18.0
0.005,18.0
0.006,18.0
0.007,28.0
0.008,32.0
0.009,39.0
0.01,47.0
0.011,51.0
0.012,55.0
0.013,59.0
0.014,65.0
0.015,72.0
0.016,78.0
0.017,86.0
0.018,91.0
0.019,94.0
0.02,94.0
0.021,96.0
0.022,96.0
0.023,97.0
0.024,98.0
0.025,100.0
0.026,100.0
0.027,97.0
0.028,98.0
0.029,98.0
0.03,96.0
0.031,98.0
0.032,97.0
0.033,100.0
0.034,101.0
0.035,113.0
0.036,116.0
0.037,130.0
0.038,133.0
0.039,140.0
0.04,145.0
0.041,149.0
0.042,156.0
0.043,161.0
0.044,167.0
0.045,175.0
0.046,178.0
0.047,185.0
0.048,194.0
0.049,197.0
0.05,203.0
0.051,211.0
0.052,222.0
0.053,234.0
0.054,248.0
0.055,259.0
0.056,266.0
0.057,275.0
0.058,279.0
0.059,288.0
0.06,293.0
0.061,295.0
0.062,296.0
0.063,296.0
0.064,291.0
0.065,286.0
0.066,278.0
0.067,272.0
0.068,272.0
0.069,273.0
0.07,274.0
0.071,280.0
0.072,283.0
0.073,284.0
0.074,288.0
0.075,288.0
0.076,288.0
0.077,287.0
0.078,288.0
0.079,286.0
0.08,284.0
0.081,284.0
0.082,284.0
0.083,283.0
0.084,284.0
0.085,284.0
0.086,285.0
0.087,285.0
0.088,285.0
0.089,285.0
0.09,285.0
0.091,286.0
0.092,286.0
0.093,286.0
0.094,286.0
0.095,286.0
0.096,289.0
0.097,289.0
0.098,289.0
0.099,289.0
0.1,290.0
0.101,289.0
0.102,287.0
0.103,286.0
0.104,288.0
0.105,288.0
0.106,286.0
0.107,285.0
0.108,287.0
0.109,289.0
0.11,288.0
0.111,290.0
0.112,290.0
0.113,291.0
0.114,293.0
0.115,291.0
0.116,290.0
0.117,291.0
0.118,291.0
0.119,291.0
0.12,292.0
0.121,292.0
0.122,294.0
0.123,295.0
0.124,296.0
0.125,296.0
0.126,298.0
0.127,304.0
0.128,307.0
0.129,308.0
0.13,311.0
0.131,314.0
0.132,316.0
0.133,322.0
0.134,326.0
0.135,329.0
0.136,327.0
0.137,338.0
0.138,338.0
0.139,344.0
0.14,345.0
0.141,346.0
0.142,348.0
0.143,351.0
0.144,350.0
0.145,355.0
0.146,356.0
0.147,362.0
0.148,366.0
0.149,372.0
0.15,378.0
0.151,383.0
0.152,388.0
0.153,391.0
0.154,395.0
0.155,398.0
0.156,400.0
0.157,403.0
0.158,406.0
0.159,414.0
0.16,420.0
0.161,424.0
0.162,427.0
0.163,432.0
0.164,437.0
0.165,441.0
0.166,448.0
0.167,451.0
0.168,453.0
0.169,456.0
0.17,460.0
0.171,463.0
0.172,469.0
0.173,472.0
0.174,477.0
0.175,483.0
0.176,487.0
0.177,489.0
0.178,493.0
0.179,493.0
0.18,497.0
0.181,500.0
0.182,503.0
0.183,506.0
0.184,510.0
0.185,514.0
0.186,517.0
0.187,522.0
0.188,526.0
0.189,530.0
0.19,536.0
0.191,538.0
0.192,543.0
0.193,547.0
0.194,551.0
0.195,554.0
0.196,557.0
0.197,559.0
0.198,564.0
0.199,566.0
0.2,572.0
0.201,575.0
0.202,578.0
0.203,583.0
0.204,586.0
0.205,596.0
0.206,600.0
0.207,605.0
0.208,609.0
0.209,613.0
0.21,617.0
0.211,619.0
0.212,622.0
0.213,624.0
0.214,627.0
0.215,628.0
0.216,629.0
0.217,631.0
0.218,635.0
0.219,636.0
0.22,639.0
0.221,642.0
0.222,642.0
0.223,645.0
0.224,649.0
0.225,653.0
0.226,654.0
0.227,657.0
0.228,661.0
0.229,663.0
0.23,666.0
0.231,670.0
0.232,674.0
0.233,675.0
0.234,678.0
0.235,681.0
0.236,683.0
0.237,686.0
0.238,688.0
0.239,690.0
0.24,693.0
0.241,694.0
0.242,696.0
0.243,699.0
0.244,701.0
0.245,703.0
0.246,704.0
0.247,705.0
0.248,708.0
0.249,710.0
0.25,711.0
0.251,713.0
0.252,713.0
0.253,715.0
0.254,717.0
0.255,718.0
0.256,721.0
0.257,724.0
0.258,724.0
0.259,728.0
0.26,728.0
0.261,730.0
0.262,732.0
0.263,733.0
0.264,735.0
0.265,738.0
0.266,740.0
0.267,740.0
0.268,742.0
0.269,742.0
0.27,743.0
0.271,745.0
0.272,749.0
0.273,750.0
0.274,752.0
0.275,752.0
0.276,752.0
0.277,754.0
0.278,753.0
0.279,755.0
0.28,756.0
0.281,757.0
0.282,758.0
0.283,760.0
0.284,760.0
0.285,760.0
0.286,761.0
0.287,764.0
0.288,764.0
0.289,765.0
0.29,766.0
0.291,767.0
0.292,769.0
0.293,769.0
0.294,771.0
0.295,772.0
0.296,772.0
0.297,773.0
0.298,773.0
0.299,775.0
0.3,777.0
0.301,777.0
0.302,778.0
0.303,781.0
0.304,781.0
0.305,781.0
0.306,782.0
0.307,783.0
0.308,785.0
0.309,785.0
0.31,788.0
0.311,788.0
0.312,789.0
0.313,790.0
0.314,791.0
0.315,792.0
0.316,795.0
0.317,794.0
0.318,796.0
0.319,796.0
0.32,798.0
0.321,799.0
0.322,799.0
0.323,800.0
0.324,800.0
0.325,802.0
0.326,801.0
0.327,801.0
0.328,803.0
