Time,ForceReading
0.0,0.0
0.001,0.0
0.002,30.0
0.003,33.0
0.004,35.0
0.005,48.0
0.006,49.0
0.007,76.0
0.008,93.0
0.009,104.0
0.01,111.0
0.011,114.0
0.012,118.0
0.013,123.0
0.014,126.0
0.015,130.0
0.016,132.0
0.017,132.0
0.018,134.0
0.019,136.0
0.02,138.0
0.021,139.0
0.022,139.0
0.023,141.0
0.024,142.0
0.025,154.0
0.026,164.0
0.027,169.0
0.028,176.0
0.029,191.0
0.03,199.0
0.031,205.0
0.032,213.0
0.033,214.0
0.034,216.0
0.035,218.0
0.036,219.0
0.037,219.0
0.038,219.0
0.039,220.0
0.04,217.0
0.041,217.0
0.042,217.0
0.043,217.0
0.044,217.0
0.045,218.0
0.046,218.0
0.047,219.0
0.048,222.0
0.049,225.0
0.05,228.0
0.051,232.0
0.052,238.0
0.053,242.0
0.054,245.0
0.055,247.0
0.056,250.0
0.057,253.0
0.058,256.0
0.059,258.0
0.06,260.0
0.061,260.0
0.062,262.0
0.063,263.0
0.064,265.0
0.065,268.0
0.066,272.0
0.067,275.0
0.068,279.0
0.069,286.0
0.07,295.0
0.071,308.0
0.072,324.0
0.073,332.0
0.074,346.0
0.075,362.0
0.076,375.0
0.077,381.0
0.078,389.0
0.079,396.0
0.08,402.0
0.081,407.0
0.082,409.0
0.083,409.0
0.084,406.0
0.085,402.0
0.086,395.0
0.087,389.0
0.088,384.0
0.089,384.0
0.09,385.0
0.091,388.0
0.092,390.0
0.093,393.0
0.094,397.0
0.095,401.0
0.096,404.0
0.097,406.0
0.098,408.0
0.099,409.0
0.1,410.0
0.101,410.0
0.102,411.0
0.103,409.0
0.104,409.0
0.105,408.0
0.106,407.0
0.107,406.0
0.108,406.0
0.109,407.0
0.11,406.0
0.111,407.0
0.112,408.0
0.113,408.0
0.114,408.0
0.115,410.0
0.116,413.0
0.117,413.0
0.118,413.0
0.119,414.0
0.12,414.0
0.121,413.0
0.122,415.0
0.123,413.0
0.124,413.0
0.125,413.0
0.126,413.0
0.127,414.0
0.128,414.0
0.129,413.0
0.13,414.0
0.131,415.0
0.132,415.0
0.133,416.0
0.134,416.0
0.135,416.0
0.136,416.0
0.137,417.0
0.138,417.0
0.139,417.0
0.14,418.0
0.141,418.0
0.142,418.0
0.143,419.0
0.144,419.0
0.145,421.0
0.146,422.0
0.147,424.0
0.148,425.0
0.149,425.0
0.15,425.0
0.151,425.0
0.152,425.0
0.153,429.0
0.154,432.0
0.155,436.0
0.156,439.0
0.157,443.0
