Time,ForceReading
0.0,0.0
0.001,0.0
0.002,7.0
0.003,16.0
0.004,24.0
0.005,28.0
0.006,30.0
0.007,32.0
0.008,31.0
0.009,32.0
0.01,31.0
0.011,40.0
0.012,42.0
0.013,44.0
0.014,48.0
0.015,50.0
0.016,59.0
0.017,63.0
0.018,69.0
0.019,77.0
0.02,80.0
0.021,82.0
0.022,87.0
0.023,98.0
0.024,104.0
0.025,113.0
0.026,123.0
0.027,128.0
0.028,134.0
0.029,138.0
0.03,141.0
0.031,142.0
0.032,144.0
0.033,145.0
0.034,146.0
0.035,146.0
0.036,146.0
0.037,147.0
0.038,146.0
0.039,148.0
0.04,148.0
0.041,149.0
0.042,151.0
0.043,151.0
0.044,151.0
0.045,152.0
0.046,153.0
0.047,153.0
0.048,154.0
0.049,153.0
0.05,155.0
0.051,155.0
0.052,155.0
0.053,157.0
0.054,158.0
0.055,159.0
0.056,160.0
0.057,162.0
0.058,162.0
0.059,166.0
0.06,169.0
0.061,172.0
0.062,175.0
0.063,179.0
0.064,182.0
0.065,189.0
0.066,195.0
0.067,201.0
0.068,204.0
0.069,210.0
0.07,214.0
0.071,219.0
0.072,222.0
0.073,223.0
0.074,224.0
0.075,225.0
0.076,225.0
0.077,223.0
0.078,224.0
0.079,224.0
0.08,224.0
0.081,224.0
0.082,224.0
0.083,225.0
0.084,224.0
0.085,225.0
0.086,225.0
0.087,225.0
0.088,225.0
0.089,226.0
0.09,225.0
0.091,225.0
0.092,225.0
0.093,225.0
0.094,225.0
0.095,225.0
0.096,225.0
0.097,224.0
0.098,226.0
0.099,225.0
0.1,225.0
0.101,226.0
0.102,227.0
0.103,226.0
0.104,226.0
0.105,227.0
0.106,226.0
0.107,226.0
0.108,226.0
0.109,226.0
0.11,225.0
0.111,226.0
0.112,225.0
0.113,225.0
0.114,226.0
0.115,226.0
0.116,226.0
0.117,226.0
0.118,227.0
0.119,227.0
0.12,227.0
0.121,228.0
0.122,227.0
0.123,227.0
0.124,228.0
0.125,227.0
0.126,227.0
0.127,228.0
0.128,229.0
0.129,229.0
0.13,229.0
0.131,229.0
0.132,230.0
0.133,229.0
0.134,231.0
0.135,231.0
0.136,231.0
0.137,233.0
0.138,233.0
0.139,235.0
0.14,233.0
0.141,233.0
0.142,234.0
0.143,235.0
0.144,235.0
0.145,236.0
0.146,237.0
0.147,238.0
0.148,239.0
0.149,238.0
0.15,239.0
0.151,242.0
0.152,243.0
0.153,245.0
0.154,248.0
0.155,250.0
0.156,251.0
0.157,252.0
