Time,ForceReading
0.0,25.0
0.001,49.0
0.002,53.0
0.003,60.0
0.004,65.0
0.005,73.0
0.006,85.0
0.007,93.0
0.008,100.0
0.009,108.0
0.01,119.0
0.011,129.0
0.012,137.0
0.013,144.0
0.014,152.0
0.015,157.0
0.016,171.0
0.017,180.0
0.018,187.0
0.019,193.0
0.02,199.0
0.021,203.0
0.022,217.0
0.023,224.0
0.024,228.0
0.025,234.0
0.026,240.0
0.027,247.0
0.028,251.0
0.029,257.0
0.03,263.0
0.031,268.0
0.032,278.0
0.033,286.0
0.034,292.0
0.035,302.0
0.036,308.0
0.037,314.0
0.038,321.0
0.039,327.0
0.04,334.0
0.041,340.0
0.042,351.0
0.043,358.0
0.044,366.0
0.045,374.0
0.046,382.0
0.047,386.0
0.048,395.0
0.049,399.0
0.05,403.0
0.051,407.0
0.052,413.0
0.053,420.0
0.054,423.0
0.055,429.0
0.056,433.0
0.057,437.0
0.058,442.0
0.059,443.0
0.06,447.0
0.061,452.0
0.062,456.0
0.063,461.0
0.064,465.0
0.065,469.0
0.066,471.0
0.067,474.0
0.068,479.0
0.069,483.0
0.07,492.0
0.071,497.0
0.072,503.0
0.073,507.0
0.074,512.0
0.075,517.0
0.076,523.0
0.077,527.0
0.078,530.0
0.079,535.0
0.08,541.0
0.081,546.0
0.082,553.0
0.083,560.0
0.084,566.0
0.085,570.0
0.086,576.0
0.087,581.0
0.088,585.0
0.089,589.0
0.09,591.0
0.091,595.0
0.092,600.0
0.093,599.0
0.094,604.0
0.095,608.0
0.096,610.0
0.097,616.0
0.098,617.0
0.099,621.0
0.1,624.0
0.101,626.0
0.102,627.0
0.103,630.0
0.104,631.0
0.105,634.0
0.106,636.0
0.107,638.0
0.108,640.0
0.109,641.0
0.11,643.0
0.111,645.0
0.112,646.0
0.113,650.0
0.114,651.0
0.115,654.0
0.116,654.0
0.117,655.0
0.118,657.0
0.119,659.0
0.12,662.0
0.121,665.0
0.122,667.0
0.123,668.0
0.124,668.0
0.125,672.0
0.126,672.0
0.127,675.0
0.128,676.0
0.129,677.0
0.13,679.0
0.131,682.0
0.132,683.0
0.133,685.0
0.134,688.0
0.135,688.0
0.136,690.0
0.137,692.0
0.138,693.0
0.139,695.0
0.14,695.0
0.141,697.0
0.142,699.0
0.143,698.0
0.144,699.0
0.145,701.0
0.146,703.0
0.147,703.0
0.148,705.0
0.149,706.0
0.15,708.0
0.151,710.0
0.152,711.0
0.153,711.0
0.154,712.0
0.155,715.0
0.156,717.0
0.157,719.0
0.158,721.0
0.159,721.0
0.16,722.0
0.161,725.0
0.162,725.0
0.163,726.0
0.164,728.0
0.165,729.0
0.166,731.0
0.167,729.0
0.168,730.0
0.169,732.0
0.17,734.0
0.171,734.0
0.172,734.0
0.173,736.0
0.174,737.0
0.175,738.0
0.176,737.0
0.177,738.0
0.178,739.0
0.179,740.0
0.18,741.0
0.181,742.0
0.182,743.0
0.183,744.0
0.184,745.0
0.185,746.0
0.186,748.0
0.187,749.0
0.188,749.0
0.189,750.0
0.19,751.0
0.191,753.0
0.192,753.0
0.193,754.0
0.194,754.0
0.195,756.0
0.196,756.0
0.197,759.0
0.198,758.0
0.199,760.0
0.2,761.0
0.201,760.0
0.202,762.0
0.203,764.0
0.204,763.0
0.205,765.0
0.206,765.0
0.207,766.0
0.208,766.0
0.209,768.0
0.21,767.0
0.211,767.0
0.212,768.0
0.213,768.0
0.214,769.0
0.215,770.0
0.216,770.0
0.217,771.0
0.218,772.0
0.219,772.0
0.22,772.0
0.221,775.0
0.222,775.0
0.223,775.0
0.224,776.0
0.225,777.0
0.226,777.0
0.227,779.0
0.228,778.0
0.229,779.0
0.23,781.0
0.231,782.0
0.232,781.0
0.233,781.0
0.234,782.0
0.235,783.0
0.236,783.0
0.237,786.0
0.238,784.0
0.239,786.0
0.24,786.0
0.241,788.0
0.242,788.0
0.243,789.0
0.244,789.0
0.245,789.0
0.246,792.0
0.247,790.0
0.248,793.0
0.249,792.0
0.25,793.0
0.251,793.0
0.252,792.0
0.253,794.0
0.254,796.0
0.255,795.0
0.256,795.0
0.257,797.0
0.258,798.0
0.259,797.0
0.26,797.0
0.261,798.0
0.262,798.0
0.263,799.0
0.264,800.0
0.265,800.0
0.266,801.0
0.267,800.0
0.268,802.0
0.269,803.0
0.27,803.0
