Time,ForceReading
0.0,0.0
0.001,0.0
0.002,9.0
0.003,19.0
0.004,30.0
0.005,37.0
0.006,40.0
0.007,40.0
0.008,44.0
0.009,49.0
0.01,51.0
0.011,44.0
0.012,46.0
0.013,55.0
0.014,75.0
0.015,89.0
0.016,95.0
0.017,99.0
0.018,99.0
0.019,102.0
0.02,105.0
0.021,108.0
0.022,110.0
0.023,117.0
0.024,123.0
0.025,124.0
0.026,136.0
0.027,145.0
0.028,155.0
0.029,161.0
0.03,172.0
0.031,181.0
0.032,184.0
0.033,178.0
0.034,192.0
0.035,195.0
0.036,207.0
0.037,212.0
0.038,214.0
0.039,222.0
0.04,227.0
0.041,229.0
0.042,235.0
0.043,235.0
0.044,236.0
0.045,238.0
0.046,241.0
0.047,244.0
0.048,245.0
0.049,252.0
0.05,253.0
0.051,253.0
0.052,255.0
0.053,254.0
0.054,256.0
0.055,260.0
0.056,263.0
0.057,263.0
0.058,265.0
0.059,273.0
0.06,273.0
0.061,279.0
0.062,283.0
0.063,280.0
0.064,297.0
0.065,302.0
0.066,309.0
0.067,313.0
0.068,320.0
0.069,321.0
0.07,326.0
0.071,330.0
0.072,335.0
0.073,341.0
0.074,343.0
0.075,346.0
0.076,349.0
0.077,352.0
0.078,356.0
0.079,362.0
0.08,369.0
0.081,374.0
0.082,378.0
0.083,381.0
0.084,384.0
0.085,387.0
0.086,391.0
0.087,399.0
0.088,407.0
0.089,414.0
0.09,425.0
0.091,435.0
0.092,443.0
0.093,448.0
0.094,453.0
0.095,460.0
0.096,465.0
0.097,469.0
0.098,474.0
0.099,478.0
0.1,483.0
0.101,488.0
0.102,493.0
0.103,496.0
0.104,501.0
0.105,507.0
0.106,511.0
0.107,515.0
0.108,519.0
0.109,520.0
0.11,528.0
0.111,532.0
0.112,535.0
0.113,533.0
0.114,535.0
0.115,540.0
0.116,544.0
0.117,547.0
0.118,548.0
0.119,552.0
0.12,555.0
0.121,559.0
0.122,563.0
0.123,566.0
0.124,570.0
0.125,574.0
0.126,578.0
0.127,581.0
0.128,585.0
0.129,589.0
0.13,593.0
0.131,597.0
0.132,602.0
0.133,606.0
0.134,609.0
0.135,612.0
0.136,615.0
0.137,617.0
0.138,621.0
0.139,622.0
0.14,626.0
0.141,628.0
0.142,634.0
0.143,637.0
0.144,641.0
0.145,645.0
0.146,649.0
0.147,652.0
0.148,655.0
0.149,659.0
0.15,664.0
0.151,668.0
0.152,671.0
0.153,675.0
0.154,678.0
0.155,682.0
0.156,685.0
0.157,688.0
