Time,ForceReading
0.0,18.0
0.001,30.0
0.002,54.0
0.003,66.0
0.004,77.0
0.005,86.0
0.006,100.0
0.007,112.0
0.008,124.0
0.009,135.0
0.01,142.0
0.011,145.0
0.012,149.0
0.013,153.0
0.014,157.0
0.015,169.0
0.016,185.0
0.017,192.0
0.018,209.0
0.019,217.0
0.02,227.0
0.021,234.0
0.022,237.0
0.023,244.0
0.024,252.0
0.025,258.0
0.026,271.0
0.027,284.0
0.028,296.0
0.029,308.0
0.03,320.0
0.031,326.0
0.032,334.0
0.033,340.0
0.034,346.0
0.035,353.0
0.036,355.0
0.037,359.0
0.038,359.0
0.039,361.0
0.04,362.0
0.041,362.0
0.042,364.0
0.043,366.0
0.044,366.0
0.045,367.0
0.046,367.0
0.047,369.0
0.048,370.0
0.049,372.0
0.05,376.0
0.051,381.0
0.052,385.0
0.053,390.0
0.054,393.0
0.055,394.0
0.056,396.0
0.057,400.0
0.058,402.0
0.059,405.0
0.06,408.0
0.061,410.0
0.062,413.0
0.063,416.0
0.064,419.0
0.065,420.0
0.066,422.0
0.067,427.0
0.068,430.0
0.069,434.0
0.07,437.0
0.071,441.0
0.072,446.0
0.073,453.0
0.074,459.0
0.075,463.0
0.076,469.0
0.077,473.0
0.078,478.0
0.079,479.0
0.08,480.0
0.081,480.0
0.082,480.0
0.083,482.0
0.084,481.0
0.085,482.0
0.086,481.0
0.087,481.0
0.088,480.0
0.089,481.0
0.09,482.0
0.091,482.0
0.092,483.0
0.093,485.0
0.094,486.0
0.095,487.0
0.096,487.0
0.097,488.0
0.098,487.0
0.099,487.0
0.1,487.0
0.101,486.0
0.102,487.0
0.103,487.0
0.104,487.0
0.105,487.0
0.106,487.0
0.107,488.0
0.108,487.0
0.109,488.0
0.11,488.0
0.111,488.0
0.112,489.0
0.113,488.0
0.114,489.0
0.115,488.0
0.116,489.0
0.117,489.0
0.118,488.0
0.119,489.0
0.12,490.0
0.121,489.0
0.122,490.0
0.123,490.0
0.124,490.0
0.125,491.0
0.126,491.0
0.127,492.0
0.128,490.0
0.129,491.0
0.13,491.0
0.131,492.0
0.132,491.0
0.133,492.0
0.134,492.0
0.135,493.0
0.136,491.0
0.137,491.0
0.138,493.0
0.139,492.0
0.14,493.0
0.141,493.0
0.142,493.0
0.143,493.0
0.144,494.0
0.145,494.0
0.146,495.0
0.147,495.0
0.148,494.0
0.149,495.0
0.15,495.0
0.151,496.0
0.152,496.0
0.153,497.0
0.154,497.0
0.155,497.0
