Time,ForceReading
0.0,0.0
0.001,0.0
0.002,4.0
0.003,39.0
0.004,42.0
0.005,45.0
0.006,50.0
0.007,57.0
0.008,61.0
0.009,63.0
0.01,77.0
0.011,94.0
0.012,107.0
0.013,119.0
0.014,131.0
0.015,138.0
0.016,152.0
0.017,162.0
0.018,170.0
0.019,178.0
0.02,182.0
0.021,186.0
0.022,200.0
0.023,208.0
0.024,217.0
0.025,228.0
0.026,236.0
0.027,242.0
0.028,251.0
0.029,254.0
0.03,259.0
0.031,261.0
0.032,261.0
0.033,260.0
0.034,260.0
0.035,258.0
0.036,259.0
0.037,257.0
0.038,256.0
0.039,258.0
0.04,259.0
0.041,265.0
0.042,269.0
0.043,278.0
0.044,285.0
0.045,292.0
0.046,300.0
0.047,304.0
0.048,308.0
0.049,313.0
0.05,316.0
0.051,318.0
0.052,319.0
0.053,322.0
0.054,325.0
0.055,328.0
0.056,331.0
0.057,334.0
0.058,339.0
0.059,344.0
0.06,349.0
0.061,349.0
0.062,352.0
0.063,354.0
0.064,357.0
0.065,361.0
0.066,363.0
0.067,366.0
0.068,369.0
0.069,373.0
0.07,379.0
0.071,387.0
0.072,393.0
0.073,401.0
0.074,414.0
0.075,423.0
0.076,429.0
0.077,433.0
0.078,436.0
0.079,438.0
0.08,438.0
0.081,439.0
0.082,438.0
0.083,439.0
0.084,438.0
0.085,438.0
0.086,438.0
0.087,438.0
0.088,439.0
0.089,438.0
0.09,438.0
0.091,439.0
0.092,439.0
0.093,439.0
0.094,440.0
0.095,441.0
0.096,441.0
0.097,442.0
0.098,442.0
0.099,442.0
0.1,441.0
0.101,442.0
0.102,444.0
0.103,444.0
0.104,444.0
0.105,444.0
0.106,445.0
0.107,445.0
0.108,444.0
0.109,444.0
0.11,445.0
0.111,444.0
0.112,444.0
0.113,445.0
0.114,445.0
0.115,445.0
0.116,446.0
0.117,446.0
0.118,446.0
0.119,446.0
0.12,446.0
0.121,447.0
0.122,447.0
0.123,447.0
0.124,448.0
0.125,448.0
0.126,448.0
0.127,448.0
0.128,449.0
0.129,448.0
0.13,449.0
0.131,448.0
0.132,449.0
0.133,448.0
0.134,449.0
0.135,449.0
0.136,448.0
0.137,449.0
0.138,448.0
0.139,449.0
0.14,449.0
0.141,449.0
0.142,451.0
0.143,451.0
0.144,452.0
0.145,453.0
0.146,454.0
0.147,456.0
0.148,457.0
0.149,458.0
0.15,461.0
0.151,462.0
0.152,464.0
0.153,465.0
0.154,467.0
0.155,468.0
0.156,470.0
0.157,472.0
