Time,ForceReading
0.0,0.0
0.001,0.0
0.002,6.0
0.003,7.0
0.004,7.0
0.005,13.0
0.006,14.0
0.007,14.0
0.008,15.0
0.009,16.0
0.01,17.0
0.011,18.0
0.012,21.0
0.013,22.0
0.014,23.0
0.015,24.0
0.016,24.0
0.017,26.0
0.018,27.0
0.019,27.0
0.02,28.0
0.021,28.0
0.022,29.0
0.023,29.0
0.024,30.0
0.025,30.0
0.026,31.0
0.027,32.0
0.028,30.0
0.029,30.0
0.03,31.0
0.031,33.0
0.032,33.0
0.033,33.0
0.034,33.0
0.035,42.0
0.036,49.0
0.037,54.0
0.038,55.0
0.039,57.0
0.04,58.0
0.041,60.0
0.042,60.0
0.043,62.0
0.044,60.0
0.045,63.0
0.046,63.0
0.047,63.0
0.048,68.0
0.049,74.0
0.05,74.0
0.051,78.0
0.052,84.0
0.053,87.0
0.054,89.0
0.055,93.0
0.056,104.0
0.057,122.0
0.058,129.0
0.059,141.0
0.06,147.0
0.061,152.0
0.062,156.0
0.063,161.0
0.064,165.0
0.065,167.0
0.066,168.0
0.067,173.0
0.068,175.0
0.069,176.0
0.07,178.0
0.071,180.0
0.072,182.0
0.073,184.0
0.074,186.0
0.075,190.0
0.076,193.0
0.077,196.0
0.078,197.0
0.079,203.0
0.08,205.0
0.081,207.0
0.082,209.0
0.083,211.0
0.084,212.0
0.085,215.0
0.086,219.0
0.087,228.0
0.088,233.0
0.089,235.0
0.09,240.0
0.091,246.0
0.092,251.0
0.093,258.0
0.094,262.0
0.095,267.0
0.096,269.0
0.097,271.0
0.098,275.0
0.099,278.0
0.1,280.0
0.101,284.0
0.102,287.0
0.103,290.0
0.104,294.0
0.105,297.0
0.106,303.0
0.107,307.0
0.108,312.0
0.109,317.0
0.11,321.0
0.111,324.0
0.112,328.0
0.113,331.0
0.114,335.0
0.115,337.0
0.116,341.0
0.117,343.0
0.118,348.0
0.119,352.0
0.12,356.0
0.121,359.0
0.122,363.0
0.123,364.0
0.124,369.0
0.125,371.0
0.126,374.0
0.127,375.0
0.128,380.0
0.129,382.0
0.13,385.0
0.131,388.0
0.132,389.0
0.133,392.0
0.134,395.0
0.135,398.0
0.136,402.0
0.137,406.0
0.138,409.0
0.139,412.0
0.14,415.0
0.141,418.0
0.142,420.0
0.143,424.0
0.144,427.0
0.145,429.0
0.146,432.0
0.147,433.0
0.148,435.0
0.149,437.0
0.15,438.0
0.151,440.0
0.152,442.0
0.153,446.0
0.154,446.0
0.155,447.0
0.156,450.0
0.157,452.0
