Time,ForceReading
0.0,0.0
0.001,0.0
0.002,26.0
0.003,38.0
0.004,39.0
0.005,38.0
0.006,38.0
0.007,39.0
0.008,42.0
0.009,63.0
0.01,83.0
0.011,98.0
0.012,106.0
0.013,117.0
0.014,121.0
0.015,137.0
0.016,149.0
0.017,155.0
0.018,163.0
0.019,165.0
0.02,168.0
0.021,175.0
0.022,180.0
0.023,186.0
0.024,191.0
0.025,195.0
0.026,202.0
0.027,209.0
0.028,214.0
0.029,217.0
0.03,221.0
0.031,222.0
0.032,224.0
0.033,223.0
0.034,224.0
0.035,225.0
0.036,223.0
0.037,222.0
0.038,222.0
0.039,223.0
0.04,225.0
0.041,226.0
0.042,228.0
0.043,231.0
0.044,234.0
0.045,239.0
0.046,241.0
0.047,240.0
0.048,242.0
0.049,254.0
0.05,262.0
0.051,264.0
0.052,269.0
0.053,270.0
0.054,272.0
0.055,272.0
0.056,274.0
0.057,276.0
0.058,280.0
0.059,282.0
0.06,286.0
0.061,295.0
0.062,299.0
0.063,306.0
0.064,309.0
0.065,314.0
0.066,321.0
0.067,325.0
0.068,332.0
0.069,337.0
0.07,346.0
0.071,358.0
0.072,370.0
0.073,375.0
0.074,378.0
0.075,383.0
0.076,390.0
0.077,391.0
0.078,392.0
0.079,392.0
0.08,390.0
0.081,387.0
0.082,386.0
0.083,386.0
0.084,386.0
0.085,387.0
0.086,388.0
0.087,390.0
0.088,391.0
0.089,392.0
0.09,393.0
0.091,394.0
0.092,393.0
0.093,393.0
0.094,394.0
0.095,394.0
0.096,394.0
0.097,395.0
0.098,395.0
0.099,395.0
0.1,394.0
0.101,395.0
0.102,396.0
0.103,395.0
0.104,395.0
0.105,395.0
0.106,395.0
0.107,395.0
0.108,396.0
0.109,396.0
0.11,396.0
0.111,397.0
0.112,396.0
0.113,396.0
0.114,396.0
0.115,397.0
0.116,397.0
0.117,397.0
0.118,398.0
0.119,398.0
0.12,400.0
0.121,402.0
0.122,403.0
0.123,404.0
0.124,404.0
0.125,404.0
0.126,404.0
0.127,406.0
0.128,405.0
0.129,406.0
0.13,406.0
0.131,407.0
0.132,407.0
0.133,409.0
0.134,410.0
0.135,410.0
0.136,411.0
0.137,412.0
0.138,413.0
0.139,413.0
0.14,413.0
0.141,414.0
0.142,415.0
0.143,414.0
0.144,415.0
0.145,415.0
0.146,416.0
0.147,417.0
0.148,418.0
0.149,420.0
0.15,420.0
0.151,422.0
0.152,426.0
0.153,426.0
0.154,428.0
0.155,430.0
0.156,433.0
0.157,434.0
