Time,ForceReading
0.0,13.0
0.001,46.0
0.002,72.0
0.003,96.0
0.004,117.0
0.005,140.0
0.006,157.0
0.007,166.0
0.008,176.0
0.009,193.0
0.01,201.0
0.011,210.0
0.012,224.0
0.013,229.0
0.014,232.0
0.015,235.0
0.016,239.0
0.017,241.0
0.018,241.0
0.019,241.0
0.02,243.0
0.021,242.0
0.022,243.0
0.023,246.0
0.024,252.0
0.025,260.0
0.026,271.0
0.027,283.0
0.028,294.0
0.029,304.0
0.03,313.0
0.031,331.0
0.032,345.0
0.033,356.0
0.034,363.0
0.035,371.0
0.036,379.0
0.037,388.0
0.038,398.0
0.039,405.0
0.04,414.0
0.041,421.0
0.042,428.0
0.043,434.0
0.044,442.0
0.045,446.0
0.046,453.0
0.047,456.0
0.048,462.0
0.049,469.0
0.05,472.0
0.051,479.0
0.052,489.0
0.053,495.0
0.054,500.0
0.055,506.0
0.056,511.0
0.057,514.0
0.058,521.0
0.059,525.0
0.06,530.0
0.061,538.0
0.062,546.0
0.063,552.0
0.064,557.0
0.065,561.0
0.066,565.0
0.067,568.0
0.068,572.0
0.069,575.0
0.07,578.0
0.071,583.0
0.072,585.0
0.073,589.0
0.074,593.0
0.075,598.0
0.076,603.0
0.077,605.0
0.078,608.0
0.079,611.0
0.08,614.0
0.081,615.0
0.082,619.0
0.083,621.0
0.084,623.0
0.085,626.0
0.086,628.0
0.087,631.0
0.088,634.0
0.089,636.0
0.09,640.0
0.091,642.0
0.092,642.0
0.093,645.0
0.094,648.0
0.095,650.0
0.096,652.0
0.097,655.0
0.098,658.0
0.099,661.0
0.1,663.0
0.101,667.0
0.102,671.0
0.103,673.0
0.104,674.0
0.105,676.0
0.106,678.0
0.107,680.0
0.108,682.0
0.109,684.0
0.11,686.0
0.111,688.0
0.112,689.0
0.113,692.0
0.114,691.0
0.115,694.0
0.116,694.0
0.117,696.0
0.118,697.0
0.119,699.0
0.12,701.0
0.121,702.0
0.122,705.0
0.123,706.0
0.124,707.0
0.125,708.0
0.126,711.0
0.127,712.0
0.128,714.0
0.129,716.0
0.13,717.0
0.131,718.0
0.132,720.0
0.133,721.0
0.134,723.0
0.135,722.0
0.136,724.0
0.137,725.0
0.138,726.0
0.139,728.0
0.14,729.0
0.141,729.0
0.142,730.0
0.143,733.0
0.144,734.0
0.145,733.0
0.146,736.0
0.147,736.0
0.148,737.0
0.149,740.0
0.15,741.0
0.151,741.0
0.152,742.0
0.153,744.0
0.154,744.0
0.155,745.0
0.156,747.0
0.157,748.0
0.158,749.0
0.159,751.0
0.16,752.0
0.161,752.0
0.162,752.0
0.163,753.0
0.164,755.0
0.165,755.0
0.166,757.0
0.167,760.0
0.168,760.0
0.169,761.0
0.17,762.0
0.171,763.0
0.172,764.0
0.173,766.0
0.174,766.0
0.175,768.0
0.176,770.0
0.177,770.0
0.178,770.0
0.179,772.0
0.18,772.0
0.181,776.0
0.182,774.0
0.183,777.0
0.184,776.0
0.185,778.0
0.186,778.0
0.187,777.0
0.188,779.0
0.189,779.0
0.19,779.0
0.191,781.0
0.192,781.0
0.193,782.0
0.194,783.0
0.195,783.0
0.196,785.0
0.197,785.0
0.198,786.0
0.199,787.0
0.2,787.0
0.201,788.0
0.202,789.0
0.203,790.0
0.204,789.0
0.205,790.0
0.206,792.0
0.207,792.0
0.208,794.0
0.209,792.0
0.21,793.0
0.211,793.0
0.212,794.0
0.213,794.0
0.214,795.0
0.215,796.0
0.216,796.0
0.217,796.0
0.218,798.0
0.219,798.0
0.22,799.0
0.221,798.0
0.222,800.0
0.223,799.0
0.224,799.0
0.225,801.0
0.226,800.0
0.227,801.0
0.228,801.0
0.229,802.0
0.23,803.0
0.231,803.0
0.232,803.0
0.233,805.0
0.234,805.0
0.235,804.0
0.236,804.0
0.237,804.0
0.238,805.0
0.239,807.0
0.24,807.0
0.241,807.0
0.242,808.0
0.243,807.0
0.244,808.0
0.245,809.0
0.246,809.0
0.247,809.0
0.248,809.0
0.249,810.0
0.25,810.0
0.251,810.0
0.252,813.0
0.253,811.0
0.254,812.0
0.255,813.0
0.256,812.0
0.257,813.0
0.258,814.0
0.259,815.0
0.26,816.0
0.261,815.0
0.262,816.0
0.263,816.0
0.264,818.0
0.265,817.0
0.266,817.0
0.267,818.0
0.268,818.0
0.269,818.0
0.27,821.0
0.271,819.0
0.272,820.0
0.273,821.0
0.274,820.0
0.275,821.0
0.276,822.0
0.277,823.0
0.278,823.0
0.279,822.0
0.28,822.0
0.281,823.0
0.282,822.0
0.283,824.0
0.284,825.0
0.285,825.0
0.286,825.0
0.287,827.0
0.288,826.0
0.289,826.0
0.29,825.0
0.291,826.0
0.292,827.0
0.293,828.0
0.294,827.0
0.295,827.0
0.296,828.0
0.297,830.0
0.298,829.0
0.299,829.0
0.3,829.0
0.301,831.0
0.302,829.0
0.303,832.0
0.304,830.0
0.305,832.0
0.306,833.0
0.307,832.0
0.308,832.0
0.309,832.0
0.31,834.0
0.311,834.0
0.312,834.0
0.313,832.0
0.314,834.0
0.315,835.0
0.316,835.0
0.317,835.0
0.318,835.0
0.319,837.0
0.32,837.0
0.321,837.0
0.322,838.0
0.323,839.0
0.324,840.0
0.325,839.0
0.326,840.0
0.327,839.0
0.328,841.0
0.329,840.0
0.33,842.0
0.331,841.0
0.332,841.0
0.333,843.0
0.334,843.0
0.335,842.0
0.336,844.0
0.337,843.0
0.338,843.0
0.339,844.0
0.34,845.0
0.341,845.0
0.342,847.0
0.343,846.0
0.344,846.0
0.345,847.0
0.346,848.0
0.347,847.0
0.348,847.0
0.349,847.0
0.35,849.0
0.351,847.0
0.352,849.0
0.353,850.0
0.354,848.0
0.355,849.0
0.356,849.0
0.357,849.0
0.358,851.0
0.359,849.0
0.36,849.0
0.361,851.0
0.362,850.0
0.363,851.0
0.364,851.0
0.365,853.0
0.366,852.0
0.367,851.0
0.368,851.0
0.369,853.0
0.37,854.0
0.371,853.0
0.372,853.0
0.373,854.0
0.374,854.0
0.375,855.0
0.376,854.0
0.377,855.0
0.378,855.0
0.379,855.0
0.38,854.0
0.381,855.0
0.382,857.0
0.383,854.0
0.384,857.0
0.385,855.0
0.386,856.0
0.387,857.0
0.388,856.0
0.389,857.0
0.39,857.0
0.391,858.0
0.392,858.0
0.393,858.0
0.394,858.0
0.395,859.0
0.396,859.0
0.397,860.0
0.398,859.0
0.399,860.0
0.4,861.0
0.401,860.0
0.402,862.0
0.403,861.0
0.404,862.0
0.405,862.0
0.406,863.0
0.407,862.0
0.408,864.0
0.409,864.0
0.41,863.0
0.411,863.0
0.412,863.0
0.413,864.0
0.414,863.0
0.415,864.0
0.416,863.0
0.417,865.0
0.418,866.0
0.419,865.0
0.42,865.0
0.421,865.0
0.422,865.0
0.423,866.0
0.424,866.0
0.425,866.0
0.426,866.0
0.427,867.0
0.428,866.0
0.429,867.0
0.43,868.0
0.431,866.0
0.432,867.0
0.433,868.0
0.434,868.0
0.435,867.0
0.436,866.0
0.437,868.0
0.438,867.0
0.439,869.0
0.44,869.0
0.441,867.0
0.442,869.0
0.443,869.0
0.444,869.0
0.445,869.0
0.446,870.0
0.447,870.0
0.448,869.0
0.449,870.0
0.45,869.0
0.451,871.0
0.452,870.0
0.453,869.0
0.454,869.0
0.455,870.0
0.456,871.0
0.457,870.0
0.458,870.0
0.459,870.0
0.46,871.0
0.461,871.0
0.462,871.0
0.463,871.0
0.464,872.0
0.465,873.0
0.466,873.0
0.467,872.0
0.468,871.0
0.469,872.0
0.47,872.0
0.471,873.0
0.472,872.0
0.473,872.0
0.474,873.0
0.475,873.0
0.476,872.0
0.477,872.0
0.478,872.0
0.479,873.0
0.48,873.0
0.481,873.0
0.482,873.0
0.483,873.0
0.484,873.0
0.485,875.0
0.486,875.0
0.487,875.0
0.488,875.0
0.489,876.0
0.49,876.0
0.491,874.0
0.492,876.0
0.493,875.0
0.494,876.0
0.495,876.0
0.496,874.0
0.497,876.0
0.498,875.0
0.499,874.0
0.5,875.0
0.501,877.0
0.502,877.0
0.503,876.0
0.504,875.0
0.505,877.0
0.506,876.0
0.507,875.0
0.508,878.0
0.509,877.0
0.51,876.0
0.511,876.0
