Time,ForceReading
0.0,0.0
0.001,2.0
0.002,4.0
0.003,5.0
0.004,6.0
0.005,7.0
0.006,7.0
0.007,8.0
0.008,8.0
0.009,9.0
0.01,11.0
0.011,12.0
0.012,15.0
0.013,21.0
0.014,22.0
0.015,24.0
0.016,26.0
0.017,29.0
0.018,30.0
0.019,31.0
0.02,42.0
0.021,54.0
0.022,61.0
0.023,74.0
0.024,86.0
0.025,99.0
0.026,103.0
0.027,115.0
0.028,123.0
0.029,136.0
0.03,147.0
0.031,157.0
0.032,164.0
0.033,168.0
0.034,169.0
0.035,166.0
0.036,163.0
0.037,161.0
0.038,161.0
0.039,162.0
0.04,165.0
0.041,173.0
0.042,181.0
0.043,193.0
0.044,208.0
0.045,221.0
0.046,231.0
0.047,241.0
0.048,248.0
0.049,254.0
0.05,261.0
0.051,266.0
0.052,273.0
0.053,280.0
0.054,285.0
0.055,292.0
0.056,298.0
0.057,306.0
0.058,310.0
0.059,315.0
0.06,318.0
0.061,320.0
0.062,325.0
0.063,328.0
0.064,331.0
0.065,336.0
0.066,341.0
0.067,352.0
0.068,363.0
0.069,370.0
0.07,378.0
0.071,384.0
0.072,391.0
0.073,398.0
0.074,404.0
0.075,408.0
0.076,413.0
0.077,416.0
0.078,419.0
0.079,422.0
0.08,427.0
0.081,434.0
0.082,439.0
0.083,445.0
0.084,448.0
0.085,456.0
0.086,462.0
0.087,466.0
0.088,469.0
0.089,474.0
0.09,480.0
0.091,483.0
0.092,486.0
0.093,490.0
0.094,495.0
0.095,500.0
0.096,504.0
0.097,508.0
0.098,512.0
0.099,517.0
0.1,520.0
0.101,523.0
0.102,526.0
0.103,531.0
0.104,534.0
0.105,538.0
0.106,541.0
0.107,547.0
0.108,551.0
0.109,553.0
0.11,557.0
0.111,563.0
0.112,564.0
0.113,566.0
0.114,568.0
0.115,571.0
0.116,573.0
0.117,575.0
0.118,578.0
0.119,581.0
0.12,584.0
0.121,587.0
0.122,589.0
0.123,591.0
0.124,593.0
0.125,596.0
0.126,600.0
0.127,604.0
0.128,608.0
0.129,610.0
0.13,614.0
0.131,615.0
0.132,618.0
0.133,621.0
0.134,623.0
0.135,627.0
0.136,629.0
0.137,631.0
0.138,633.0
0.139,634.0
0.14,637.0
0.141,639.0
0.142,641.0
0.143,643.0
0.144,645.0
0.145,647.0
0.146,649.0
0.147,651.0
0.148,653.0
0.149,654.0
0.15,656.0
0.151,657.0
0.152,658.0
0.153,659.0
0.154,661.0
0.155,663.0
0.156,664.0
0.157,666.0
0.158,669.0
0.159,672.0
0.16,674.0
0.161,676.0
0.162,677.0
0.163,679.0
0.164,682.0
0.165,684.0
0.166,686.0
0.167,688.0
0.168,690.0
0.169,692.0
0.17,694.0
0.171,695.0
0.172,697.0
0.173,698.0
0.174,700.0
0.175,701.0
0.176,703.0
0.177,704.0
0.178,706.0
0.179,708.0
0.18,709.0
0.181,710.0
0.182,712.0
0.183,713.0
0.184,714.0
0.185,716.0
0.186,717.0
0.187,719.0
0.188,721.0
0.189,721.0
0.19,723.0
0.191,725.0
0.192,726.0
0.193,727.0
0.194,728.0
0.195,730.0
0.196,731.0
0.197,733.0
0.198,734.0
0.199,736.0
0.2,737.0
0.201,739.0
0.202,741.0
0.203,743.0
0.204,744.0
0.205,746.0
0.206,747.0
0.207,748.0
0.208,749.0
0.209,751.0
0.21,752.0
0.211,753.0
0.212,755.0
0.213,756.0
0.214,758.0
0.215,760.0
0.216,761.0
0.217,762.0
0.218,763.0
0.219,765.0
0.22,765.0
0.221,767.0
0.222,767.0
0.223,769.0
0.224,769.0
0.225,770.0
0.226,772.0
0.227,773.0
0.228,774.0
0.229,775.0
0.23,776.0
0.231,776.0
0.232,777.0
0.233,779.0
0.234,780.0
0.235,781.0
0.236,783.0
0.237,784.0
0.238,785.0
0.239,786.0
0.24,788.0
0.241,790.0
0.242,791.0
0.243,793.0
0.244,794.0
0.245,796.0
0.246,797.0
0.247,798.0
0.248,799.0
0.249,799.0
0.25,800.0
0.251,802.0
0.252,803.0
0.253,803.0
0.254,803.0
0.255,804.0
0.256,805.0
0.257,806.0
0.258,807.0
0.259,807.0
0.26,808.0
0.261,808.0
0.262,809.0
0.263,810.0
0.264,811.0
0.265,812.0
0.266,812.0
0.267,813.0
0.268,814.0
0.269,814.0
0.27,815.0
0.271,816.0
0.272,816.0
0.273,817.0
0.274,818.0
0.275,818.0
0.276,819.0
0.277,820.0
0.278,820.0
0.279,821.0
0.28,822.0
0.281,822.0
0.282,823.0
0.283,824.0
0.284,824.0
0.285,825.0
0.286,825.0
0.287,826.0
0.288,825.0
0.289,826.0
0.29,827.0
0.291,827.0
0.292,828.0
0.293,828.0
0.294,829.0
0.295,829.0
0.296,830.0
0.297,830.0
0.298,830.0
0.299,831.0
0.3,831.0
0.301,832.0
0.302,832.0
0.303,832.0
0.304,833.0
0.305,833.0
0.306,834.0
0.307,834.0
0.308,835.0
0.309,835.0
0.31,836.0
0.311,836.0
0.312,837.0
0.313,837.0
0.314,837.0
0.315,838.0
0.316,838.0
0.317,838.0
0.318,839.0
0.319,839.0
0.32,839.0
0.321,840.0
0.322,840.0
0.323,841.0
0.324,841.0
0.325,841.0
0.326,841.0
0.327,843.0
0.328,842.0
0.329,844.0
0.33,843.0
0.331,844.0
0.332,845.0
0.333,845.0
0.334,845.0
0.335,844.0
0.336,845.0
0.337,845.0
0.338,846.0
0.339,846.0
0.34,845.0
0.341,846.0
0.342,846.0
0.343,847.0
0.344,847.0
0.345,847.0
0.346,847.0
0.347,848.0
0.348,848.0
0.349,848.0
0.35,848.0
0.351,849.0
0.352,849.0
0.353,850.0
0.354,850.0
0.355,850.0
0.356,850.0
0.357,851.0
0.358,851.0
0.359,850.0
0.36,851.0
0.361,851.0
0.362,851.0
0.363,852.0
0.364,852.0
0.365,853.0
