Time,ForceReading
0.0,5.0
0.001,8.0
0.002,9.0
0.003,12.0
0.004,14.0
0.005,13.0
0.006,15.0
0.007,19.0
0.008,22.0
0.009,22.0
0.01,25.0
0.011,28.0
0.012,28.0
0.013,30.0
0.014,30.0
0.015,32.0
0.016,32.0
0.017,33.0
0.018,37.0
0.019,38.0
0.02,40.0
0.021,41.0
0.022,39.0
0.023,39.0
0.024,39.0
0.025,37.0
0.026,34.0
0.027,34.0
0.028,33.0
0.029,32.0
0.03,29.0
0.031,32.0
0.032,32.0
0.033,30.0
0.034,30.0
0.035,27.0
0.036,25.0
0.037,20.0
0.038,19.0
0.039,17.0
0.04,15.0
0.041,16.0
0.042,17.0
0.043,15.0
0.044,15.0
0.045,23.0
0.046,28.0
0.047,34.0
0.048,40.0
0.049,44.0
0.05,46.0
0.051,50.0
0.052,52.0
0.053,52.0
0.054,56.0
0.055,58.0
0.056,59.0
0.057,59.0
0.058,61.0
0.059,61.0
0.06,62.0
0.061,61.0
0.062,62.0
0.063,61.0
0.064,62.0
0.065,64.0
0.066,68.0
0.067,70.0
0.068,74.0
0.069,82.0
0.07,88.0
0.071,92.0
0.072,98.0
0.073,103.0
0.074,108.0
0.075,113.0
0.076,116.0
0.077,120.0
0.078,121.0
0.079,122.0
0.08,125.0
0.081,124.0
0.082,126.0
0.083,125.0
0.084,126.0
0.085,125.0
0.086,125.0
0.087,126.0
0.088,124.0
0.089,124.0
0.09,123.0
0.091,125.0
0.092,123.0
0.093,124.0
0.094,122.0
0.095,123.0
0.096,122.0
0.097,122.0
0.098,124.0
0.099,123.0
0.1,121.0
0.101,125.0
0.102,123.0
0.103,123.0
0.104,124.0
0.105,123.0
0.106,124.0
0.107,124.0
0.108,124.0
0.109,125.0
0.11,126.0
0.111,126.0
0.112,127.0
0.113,126.0
0.114,127.0
0.115,128.0
0.116,127.0
0.117,126.0
0.118,127.0
0.119,127.0
0.12,125.0
0.121,126.0
0.122,126.0
0.123,124.0
0.124,127.0
0.125,126.0
0.126,127.0
0.127,127.0
0.128,128.0
0.129,126.0
0.13,125.0
0.131,126.0
0.132,127.0
0.133,127.0
0.134,128.0
0.135,127.0
0.136,127.0
0.137,127.0
0.138,129.0
0.139,127.0
0.14,127.0
0.141,128.0
0.142,127.0
0.143,127.0
0.144,128.0
0.145,128.0
0.146,129.0
0.147,128.0
0.148,126.0
0.149,128.0
0.15,129.0
0.151,128.0
0.152,128.0
0.153,129.0
0.154,130.0
0.155,132.0
0.156,131.0
0.157,133.0
0.158,134.0
0.159,134.0
0.16,138.0
0.161,137.0
0.162,139.0
0.163,140.0
0.164,141.0
0.165,143.0
0.166,145.0
0.167,146.0
0.168,148.0
0.169,150.0
0.17,150.0
0.171,151.0
0.172,153.0
0.173,160.0
0.174,163.0
0.175,169.0
0.176,179.0
0.177,187.0
0.178,194.0
0.179,198.0
0.18,202.0
0.181,207.0
0.182,215.0
0.183,220.0
0.184,225.0
0.185,229.0
0.186,235.0
0.187,241.0
0.188,243.0
0.189,245.0
0.19,243.0
0.191,244.0
0.192,247.0
0.193,245.0
0.194,241.0
0.195,242.0
0.196,245.0
0.197,247.0
0.198,247.0
0.199,253.0
0.2,258.0
0.201,256.0
0.202,260.0
0.203,261.0
0.204,260.0
0.205,265.0
0.206,270.0
0.207,274.0
0.208,278.0
0.209,289.0
0.21,295.0
0.211,301.0
0.212,304.0
0.213,309.0
0.214,312.0
0.215,313.0
0.216,313.0
0.217,318.0
0.218,322.0
0.219,324.0
0.22,328.0
0.221,331.0
0.222,335.0
0.223,337.0
0.224,342.0
0.225,347.0
0.226,352.0
0.227,358.0
0.228,362.0
0.229,365.0
0.23,368.0
0.231,372.0
0.232,376.0
0.233,380.0
0.234,385.0
0.235,392.0
0.236,394.0
0.237,398.0
0.238,400.0
0.239,400.0
0.24,407.0
0.241,412.0
0.242,416.0
0.243,421.0
0.244,425.0
0.245,431.0
0.246,440.0
0.247,443.0
0.248,447.0
0.249,448.0
0.25,454.0
0.251,455.0
0.252,457.0
0.253,460.0
0.254,462.0
0.255,464.0
0.256,467.0
0.257,468.0
0.258,471.0
0.259,475.0
0.26,478.0
0.261,480.0
0.262,481.0
0.263,483.0
0.264,488.0
0.265,490.0
0.266,493.0
0.267,496.0
0.268,499.0
0.269,501.0
0.27,505.0
0.271,508.0
0.272,509.0
0.273,512.0
0.274,515.0
0.275,516.0
0.276,519.0
0.277,519.0
0.278,524.0
0.279,525.0
0.28,528.0
0.281,530.0
0.282,533.0
0.283,537.0
0.284,541.0
0.285,542.0
0.286,545.0
0.287,547.0
0.288,549.0
0.289,551.0
0.29,554.0
0.291,558.0
0.292,558.0
0.293,560.0
0.294,562.0
0.295,565.0
0.296,568.0
0.297,568.0
0.298,570.0
0.299,571.0
0.3,574.0
0.301,575.0
0.302,577.0
0.303,579.0
0.304,582.0
0.305,583.0
0.306,586.0
0.307,586.0
0.308,589.0
0.309,591.0
0.31,594.0
0.311,596.0
0.312,598.0
0.313,600.0
0.314,601.0
0.315,605.0
0.316,604.0
0.317,606.0
0.318,608.0
0.319,610.0
0.32,610.0
0.321,613.0
0.322,616.0
0.323,616.0
0.324,618.0
0.325,620.0
0.326,623.0
0.327,625.0
0.328,627.0
0.329,628.0
0.33,631.0
0.331,633.0
0.332,634.0
0.333,636.0
0.334,638.0
0.335,639.0
0.336,641.0
0.337,642.0
0.338,643.0
0.339,644.0
0.34,646.0
0.341,648.0
0.342,653.0
0.343,654.0
0.344,655.0
0.345,657.0
0.346,658.0
