Time,ForceReading
0.0,0.0
0.001,0.0
0.002,3.0
0.003,1.0
0.004,21.0
0.005,28.0
0.006,37.0
0.007,45.0
0.008,49.0
0.009,53.0
0.01,55.0
0.011,57.0
0.012,59.0
0.013,62.0
0.014,63.0
0.015,63.0
0.016,64.0
0.017,64.0
0.018,64.0
0.019,66.0
0.02,65.0
0.021,69.0
0.022,69.0
0.023,71.0
0.024,73.0
0.025,76.0
0.026,78.0
0.027,85.0
0.028,89.0
0.029,91.0
0.03,92.0
0.031,92.0
0.032,90.0
0.033,87.0
0.034,85.0
0.035,81.0
0.036,94.0
0.037,103.0
0.038,111.0
0.039,117.0
0.04,119.0
0.041,120.0
0.042,121.0
0.043,122.0
0.044,123.0
0.045,123.0
0.046,122.0
0.047,117.0
0.048,107.0
0.049,104.0
0.05,104.0
0.051,105.0
0.052,105.0
0.053,103.0
0.054,105.0
0.055,102.0
0.056,101.0
0.057,100.0
0.058,105.0
0.059,110.0
0.06,112.0
0.061,116.0
0.062,118.0
0.063,121.0
0.064,127.0
0.065,131.0
0.066,135.0
0.067,135.0
0.068,135.0
0.069,134.0
0.07,134.0
0.071,129.0
0.072,132.0
0.073,134.0
0.074,137.0
0.075,141.0
0.076,148.0
0.077,150.0
0.078,151.0
0.079,155.0
0.08,159.0
0.081,160.0
0.082,157.0
0.083,141.0
0.084,140.0
0.085,134.0
0.086,142.0
0.087,150.0
0.088,176.0
0.089,184.0
0.09,190.0
0.091,194.0
0.092,199.0
0.093,200.0
0.094,201.0
0.095,201.0
0.096,203.0
0.097,205.0
0.098,205.0
0.099,204.0
0.1,197.0
0.101,196.0
0.102,195.0
0.103,196.0
0.104,195.0
0.105,196.0
0.106,197.0
0.107,200.0
0.108,200.0
0.109,201.0
0.11,202.0
0.111,201.0
0.112,201.0
0.113,202.0
0.114,206.0
0.115,206.0
0.116,208.0
0.117,211.0
0.118,212.0
0.119,216.0
0.12,219.0
0.121,219.0
0.122,220.0
0.123,221.0
0.124,222.0
0.125,224.0
0.126,225.0
0.127,225.0
0.128,225.0
0.129,226.0
0.13,227.0
0.131,228.0
0.132,230.0
0.133,230.0
0.134,230.0
0.135,231.0
0.136,230.0
0.137,231.0
0.138,231.0
0.139,232.0
0.14,231.0
0.141,232.0
0.142,232.0
0.143,232.0
0.144,233.0
0.145,233.0
0.146,232.0
0.147,232.0
0.148,232.0
0.149,232.0
0.15,232.0
0.151,232.0
0.152,232.0
0.153,232.0
0.154,231.0
0.155,231.0
0.156,231.0
0.157,231.0
