Time,ForceReading
0.0,0.0
0.001,0.0
0.002,10.0
0.003,26.0
0.004,32.0
0.005,40.0
0.006,43.0
0.007,46.0
0.008,49.0
0.009,52.0
0.01,51.0
0.011,54.0
0.012,55.0
0.013,57.0
0.014,64.0
0.015,70.0
0.016,78.0
0.017,87.0
0.018,94.0
0.019,100.0
0.02,103.0
0.021,107.0
0.022,118.0
0.023,121.0
0.024,123.0
0.025,125.0
0.026,126.0
0.027,128.0
0.028,128.0
0.029,128.0
0.03,132.0
0.031,131.0
0.032,132.0
0.033,133.0
0.034,134.0
0.035,139.0
0.036,144.0
0.037,146.0
0.038,150.0
0.039,150.0
0.04,152.0
0.041,154.0
0.042,155.0
0.043,157.0
0.044,161.0
0.045,166.0
0.046,171.0
0.047,172.0
0.048,178.0
0.049,186.0
0.05,188.0
0.051,192.0
0.052,194.0
0.053,197.0
0.054,199.0
0.055,200.0
0.056,201.0
0.057,201.0
0.058,202.0
0.059,202.0
0.06,204.0
0.061,204.0
0.062,205.0
0.063,207.0
0.064,206.0
0.065,205.0
0.066,206.0
0.067,205.0
0.068,207.0
0.069,205.0
0.07,205.0
0.071,205.0
0.072,205.0
0.073,205.0
0.074,206.0
0.075,207.0
0.076,207.0
0.077,207.0
0.078,208.0
0.079,208.0
0.08,208.0
0.081,208.0
0.082,209.0
0.083,209.0
0.084,209.0
0.085,209.0
0.086,209.0
0.087,211.0
0.088,211.0
0.089,211.0
0.09,210.0
0.091,211.0
0.092,211.0
0.093,211.0
0.094,211.0
0.095,212.0
0.096,212.0
0.097,213.0
0.098,213.0
0.099,214.0
0.1,215.0
0.101,215.0
0.102,216.0
0.103,217.0
0.104,218.0
0.105,219.0
0.106,219.0
0.107,220.0
0.108,220.0
0.109,222.0
0.11,219.0
0.111,222.0
0.112,221.0
0.113,220.0
0.114,221.0
0.115,221.0
0.116,221.0
0.117,221.0
0.118,222.0
0.119,221.0
0.12,221.0
0.121,223.0
0.122,222.0
0.123,222.0
0.124,223.0
0.125,222.0
0.126,221.0
0.127,222.0
0.128,223.0
0.129,222.0
0.13,223.0
0.131,222.0
0.132,222.0
0.133,222.0
0.134,223.0
0.135,224.0
0.136,224.0
0.137,225.0
0.138,226.0
0.139,227.0
0.14,228.0
0.141,231.0
0.142,230.0
0.143,232.0
0.144,234.0
0.145,234.0
0.146,237.0
0.147,240.0
0.148,243.0
0.149,245.0
0.15,247.0
0.151,253.0
0.152,259.0
0.153,265.0
0.154,270.0
0.155,277.0
0.156,283.0
0.157,289.0
