Time,ForceReading
0.0,9.0
0.001,25.0
0.002,29.0
0.003,32.0
0.004,37.0
0.005,42.0
0.006,45.0
0.007,52.0
0.008,57.0
0.009,60.0
0.01,67.0
0.011,71.0
0.012,74.0
0.013,76.0
0.014,76.0
0.015,79.0
0.016,81.0
0.017,80.0
0.018,80.0
0.019,83.0
0.02,84.0
0.021,87.0
0.022,92.0
0.023,92.0
0.024,94.0
0.025,98.0
0.026,100.0
0.027,110.0
0.028,116.0
0.029,117.0
0.03,118.0
0.031,120.0
0.032,122.0
0.033,124.0
0.034,129.0
0.035,129.0
0.036,131.0
0.037,132.0
0.038,133.0
0.039,131.0
0.04,135.0
0.041,136.0
0.042,139.0
0.043,138.0
0.044,141.0
0.045,142.0
0.046,143.0
0.047,145.0
0.048,146.0
0.049,149.0
0.05,153.0
0.051,157.0
0.052,157.0
0.053,161.0
0.054,163.0
0.055,165.0
0.056,166.0
0.057,170.0
0.058,172.0
0.059,180.0
0.06,184.0
0.061,188.0
0.062,192.0
0.063,194.0
0.064,195.0
0.065,198.0
0.066,202.0
0.067,203.0
0.068,205.0
0.069,208.0
0.07,209.0
0.071,210.0
0.072,212.0
0.073,214.0
0.074,215.0
0.075,218.0
0.076,219.0
0.077,222.0
0.078,226.0
0.079,227.0
0.08,230.0
0.081,230.0
0.082,233.0
0.083,235.0
0.084,239.0
0.085,241.0
0.086,244.0
0.087,246.0
0.088,251.0
0.089,255.0
0.09,267.0
0.091,271.0
0.092,272.0
0.093,276.0
0.094,279.0
0.095,281.0
0.096,287.0
0.097,290.0
0.098,291.0
0.099,297.0
0.1,301.0
0.101,301.0
0.102,305.0
0.103,304.0
0.104,306.0
0.105,308.0
0.106,315.0
0.107,320.0
0.108,321.0
0.109,323.0
0.11,324.0
0.111,326.0
0.112,327.0
0.113,329.0
0.114,331.0
0.115,333.0
0.116,336.0
0.117,337.0
0.118,339.0
0.119,339.0
0.12,341.0
0.121,341.0
0.122,342.0
0.123,345.0
0.124,344.0
0.125,345.0
0.126,347.0
0.127,348.0
0.128,346.0
0.129,348.0
0.13,348.0
0.131,351.0
0.132,352.0
0.133,353.0
0.134,356.0
0.135,359.0
0.136,360.0
0.137,362.0
0.138,365.0
0.139,368.0
0.14,369.0
0.141,374.0
0.142,374.0
0.143,375.0
0.144,379.0
0.145,381.0
0.146,382.0
0.147,384.0
0.148,389.0
0.149,392.0
0.15,399.0
0.151,403.0
0.152,404.0
0.153,404.0
0.154,408.0
0.155,412.0
0.156,415.0
0.157,420.0
0.158,427.0
0.159,429.0
0.16,432.0
0.161,433.0
0.162,436.0
0.163,439.0
0.164,442.0
0.165,446.0
0.166,448.0
0.167,450.0
0.168,453.0
0.169,455.0
0.17,455.0
0.171,460.0
0.172,458.0
0.173,460.0
0.174,461.0
0.175,463.0
0.176,465.0
0.177,468.0
0.178,471.0
0.179,473.0
0.18,475.0
0.181,475.0
0.182,482.0
0.183,483.0
0.184,488.0
0.185,488.0
0.186,490.0
0.187,491.0
0.188,494.0
0.189,496.0
0.19,498.0
0.191,497.0
0.192,501.0
0.193,503.0
0.194,504.0
0.195,505.0
0.196,508.0
0.197,510.0
0.198,511.0
0.199,511.0
0.2,513.0
0.201,516.0
0.202,516.0
0.203,519.0
0.204,521.0
0.205,523.0
0.206,524.0
0.207,527.0
0.208,528.0
0.209,529.0
0.21,530.0
0.211,531.0
0.212,532.0
0.213,535.0
0.214,538.0
0.215,539.0
0.216,543.0
0.217,545.0
0.218,545.0
0.219,545.0
0.22,548.0
0.221,548.0
0.222,548.0
0.223,551.0
0.224,551.0
0.225,555.0
0.226,555.0
0.227,557.0
0.228,557.0
0.229,560.0
0.23,559.0
0.231,564.0
0.232,565.0
0.233,565.0
0.234,565.0
0.235,567.0
0.236,567.0
0.237,568.0
0.238,569.0
0.239,569.0
0.24,569.0
0.241,573.0
0.242,572.0
0.243,576.0
0.244,577.0
0.245,578.0
0.246,578.0
0.247,581.0
0.248,582.0
0.249,582.0
0.25,583.0
0.251,585.0
0.252,587.0
0.253,590.0
0.254,591.0
0.255,593.0
0.256,596.0
0.257,598.0
0.258,600.0
0.259,601.0
0.26,602.0
0.261,604.0
0.262,606.0
0.263,608.0
0.264,608.0
0.265,610.0
0.266,612.0
0.267,614.0
0.268,616.0
0.269,617.0
0.27,619.0
0.271,621.0
0.272,623.0
0.273,626.0
0.274,628.0
0.275,628.0
0.276,628.0
0.277,630.0
0.278,631.0
0.279,632.0
0.28,634.0
0.281,634.0
0.282,636.0
0.283,637.0
0.284,638.0
0.285,639.0
0.286,640.0
0.287,643.0
0.288,643.0
0.289,645.0
0.29,646.0
0.291,648.0
0.292,649.0
0.293,650.0
0.294,651.0
0.295,653.0
0.296,654.0
0.297,654.0
0.298,656.0
0.299,655.0
0.3,656.0
0.301,659.0
0.302,658.0
0.303,660.0
0.304,661.0
0.305,663.0
0.306,665.0
0.307,667.0
0.308,667.0
0.309,666.0
0.31,669.0
0.311,667.0
0.312,667.0
0.313,670.0
0.314,669.0
0.315,671.0
0.316,672.0
0.317,673.0
0.318,674.0
0.319,675.0
0.32,675.0
0.321,676.0
0.322,677.0
0.323,679.0
0.324,681.0
0.325,683.0
0.326,684.0
0.327,683.0
0.328,685.0
0.329,687.0
0.33,685.0
0.331,687.0
0.332,688.0
0.333,688.0
0.334,689.0
0.335,689.0
0.336,690.0
0.337,692.0
0.338,693.0
0.339,693.0
0.34,694.0
0.341,695.0
0.342,695.0
0.343,694.0
0.344,696.0
0.345,697.0
0.346,697.0
0.347,699.0
0.348,700.0
0.349,701.0
0.35,701.0
0.351,703.0
0.352,703.0
0.353,706.0
0.354,705.0
0.355,706.0
0.356,708.0
0.357,707.0
0.358,707.0
0.359,707.0
0.36,708.0
0.361,711.0
0.362,711.0
0.363,711.0
0.364,711.0
0.365,715.0
0.366,715.0
0.367,717.0
0.368,716.0
0.369,717.0
0.37,720.0
0.371,720.0
0.372,722.0
0.373,722.0
0.374,723.0
0.375,723.0
0.376,724.0
0.377,727.0
0.378,725.0
0.379,726.0
0.38,726.0
0.381,726.0
0.382,727.0
0.383,728.0
0.384,728.0
0.385,730.0
0.386,728.0
0.387,730.0
0.388,730.0
0.389,731.0
0.39,731.0
0.391,733.0
0.392,733.0
0.393,732.0
0.394,733.0
0.395,734.0
0.396,733.0
0.397,734.0
0.398,734.0
0.399,735.0
0.4,734.0
0.401,735.0
0.402,736.0
0.403,738.0
0.404,737.0
0.405,736.0
0.406,737.0
0.407,738.0
0.408,739.0
0.409,738.0
0.41,740.0
0.411,740.0
0.412,739.0
0.413,741.0
0.414,742.0
0.415,741.0
0.416,742.0
0.417,742.0
0.418,742.0
0.419,743.0
0.42,742.0
0.421,742.0
0.422,743.0
0.423,743.0
0.424,744.0
0.425,744.0
0.426,744.0
0.427,744.0
0.428,746.0
0.429,745.0
0.43,743.0
0.431,744.0
0.432,745.0
0.433,746.0
0.434,744.0
0.435,744.0
0.436,745.0
0.437,745.0
0.438,745.0
0.439,745.0
0.44,745.0
0.441,746.0
0.442,747.0
0.443,747.0
0.444,748.0
0.445,747.0
0.446,747.0
0.447,747.0
0.448,746.0
0.449,747.0
0.45,748.0
0.451,748.0
0.452,748.0
0.453,746.0
0.454,748.0
0.455,749.0
0.456,747.0
0.457,748.0
0.458,748.0
0.459,747.0
0.46,748.0
0.461,748.0
0.462,750.0
0.463,748.0
0.464,748.0
0.465,749.0
0.466,747.0
0.467,748.0
0.468,749.0
0.469,749.0
0.47,748.0
0.471,749.0
0.472,750.0
0.473,750.0
0.474,750.0
0.475,750.0
0.476,750.0
0.477,751.0
0.478,749.0
0.479,750.0
0.48,751.0
0.481,750.0
0.482,751.0
0.483,750.0
0.484,750.0
0.485,751.0
0.486,751.0
0.487,750.0
0.488,751.0
