Time,ForceReading
0.0,0.0
0.001,0.0
0.002,5.0
0.003,25.0
0.004,31.0
0.005,29.0
0.006,31.0
0.007,30.0
0.008,31.0
0.009,34.0
0.01,38.0
0.011,51.0
0.012,57.0
0.013,70.0
0.014,75.0
0.015,80.0
0.016,85.0
0.017,88.0
0.018,92.0
0.019,94.0
0.02,96.0
0.021,98.0
0.022,98.0
0.023,98.0
0.024,96.0
0.025,98.0
0.026,98.0
0.027,99.0
0.028,98.0
0.029,102.0
0.03,103.0
0.031,106.0
0.032,107.0
0.033,108.0
0.034,111.0
0.035,112.0
0.036,118.0
0.037,119.0
0.038,122.0
0.039,124.0
0.04,127.0
0.041,128.0
0.042,130.0
0.043,130.0
0.044,133.0
0.045,138.0
0.046,141.0
0.047,149.0
0.048,153.0
0.049,157.0
0.05,162.0
0.051,167.0
0.052,174.0
0.053,179.0
0.054,186.0
0.055,188.0
0.056,188.0
0.057,186.0
0.058,182.0
0.059,176.0
0.06,159.0
0.061,155.0
0.062,153.0
0.063,153.0
0.064,156.0
0.065,165.0
0.066,173.0
0.067,175.0
0.068,177.0
0.069,180.0
0.07,184.0
0.071,189.0
0.072,191.0
0.073,193.0
0.074,193.0
0.075,192.0
0.076,192.0
0.077,193.0
0.078,192.0
0.079,192.0
0.08,194.0
0.081,194.0
0.082,195.0
0.083,197.0
0.084,199.0
0.085,201.0
0.086,202.0
0.087,203.0
0.088,203.0
0.089,204.0
0.09,204.0
0.091,204.0
0.092,204.0
0.093,204.0
0.094,202.0
0.095,203.0
0.096,202.0
0.097,203.0
0.098,204.0
0.099,205.0
0.1,205.0
0.101,210.0
0.102,210.0
0.103,212.0
0.104,211.0
0.105,211.0
0.106,212.0
0.107,212.0
0.108,212.0
0.109,212.0
0.11,213.0
0.111,212.0
0.112,212.0
0.113,212.0
0.114,211.0
0.115,211.0
0.116,211.0
0.117,211.0
0.118,211.0
0.119,212.0
0.12,212.0
0.121,212.0
0.122,214.0
0.123,214.0
0.124,213.0
0.125,214.0
0.126,214.0
0.127,215.0
0.128,216.0
0.129,217.0
0.13,218.0
0.131,218.0
0.132,219.0
0.133,218.0
0.134,221.0
0.135,224.0
0.136,223.0
0.137,231.0
0.138,233.0
0.139,235.0
0.14,238.0
0.141,243.0
0.142,247.0
0.143,249.0
0.144,250.0
0.145,252.0
0.146,252.0
0.147,251.0
0.148,251.0
0.149,250.0
0.15,245.0
0.151,243.0
0.152,241.0
0.153,242.0
0.154,241.0
0.155,243.0
0.156,244.0
0.157,248.0
