Time,ForceReading
0.0,0.0
0.001,1.0
0.002,8.0
0.003,13.0
0.004,13.0
0.005,16.0
0.006,20.0
0.007,23.0
0.008,27.0
0.009,32.0
0.01,34.0
0.011,36.0
0.012,38.0
0.013,46.0
0.014,47.0
0.015,50.0
0.016,54.0
0.017,58.0
0.018,57.0
0.019,59.0
0.02,60.0
0.021,58.0
0.022,59.0
0.023,59.0
0.024,59.0
0.025,59.0
0.026,59.0
0.027,59.0
0.028,59.0
0.029,61.0
0.03,61.0
0.031,62.0
0.032,63.0
0.033,63.0
0.034,64.0
0.035,62.0
0.036,63.0
0.037,63.0
0.038,64.0
0.039,63.0
0.04,64.0
0.041,64.0
0.042,65.0
0.043,63.0
0.044,65.0
0.045,66.0
0.046,65.0
0.047,65.0
0.048,66.0
0.049,65.0
0.05,66.0
0.051,67.0
0.052,67.0
0.053,68.0
0.054,66.0
0.055,69.0
0.056,68.0
0.057,68.0
0.058,67.0
0.059,68.0
0.06,67.0
0.061,67.0
0.062,67.0
0.063,68.0
0.064,67.0
0.065,68.0
0.066,67.0
0.067,67.0
0.068,68.0
0.069,69.0
0.07,68.0
0.071,69.0
0.072,69.0
0.073,70.0
0.074,69.0
0.075,68.0
0.076,68.0
0.077,69.0
0.078,69.0
0.079,68.0
0.08,68.0
0.081,69.0
0.082,69.0
0.083,70.0
0.084,69.0
0.085,69.0
0.086,69.0
0.087,69.0
0.088,69.0
0.089,71.0
0.09,70.0
0.091,70.0
0.092,71.0
0.093,71.0
0.094,71.0
0.095,70.0
0.096,72.0
0.097,73.0
0.098,72.0
0.099,72.0
0.1,72.0
0.101,73.0
0.102,72.0
0.103,72.0
0.104,73.0
0.105,72.0
0.106,73.0
0.107,74.0
0.108,73.0
0.109,73.0
0.11,74.0
0.111,75.0
0.112,74.0
0.113,76.0
0.114,75.0
0.115,78.0
0.116,80.0
0.117,80.0
0.118,80.0
0.119,80.0
0.12,80.0
0.121,82.0
0.122,84.0
0.123,85.0
0.124,88.0
0.125,104.0
0.126,111.0
0.127,115.0
0.128,122.0
0.129,127.0
0.13,132.0
0.131,134.0
0.132,137.0
0.133,139.0
0.134,145.0
0.135,147.0
0.136,147.0
0.137,146.0
0.138,143.0
0.139,138.0
0.14,136.0
0.141,135.0
0.142,136.0
0.143,136.0
0.144,144.0
0.145,148.0
0.146,153.0
0.147,157.0
0.148,160.0
0.149,163.0
0.15,168.0
0.151,174.0
0.152,179.0
0.153,182.0
0.154,188.0
0.155,194.0
0.156,203.0
0.157,211.0
0.158,217.0
0.159,225.0
0.16,231.0
0.161,236.0
0.162,242.0
0.163,247.0
0.164,248.0
0.165,251.0
0.166,257.0
0.167,260.0
0.168,264.0
0.169,267.0
0.17,275.0
0.171,279.0
0.172,279.0
0.173,286.0
0.174,287.0
0.175,291.0
0.176,294.0
0.177,295.0
0.178,297.0
0.179,299.0
0.18,301.0
0.181,304.0
0.182,307.0
0.183,311.0
0.184,314.0
0.185,318.0
0.186,321.0
0.187,323.0
0.188,325.0
0.189,330.0
0.19,334.0
0.191,337.0
0.192,339.0
0.193,339.0
0.194,343.0
0.195,346.0
0.196,349.0
0.197,351.0
0.198,353.0
0.199,355.0
0.2,357.0
0.201,357.0
0.202,359.0
0.203,361.0
0.204,365.0
0.205,366.0
0.206,365.0
0.207,364.0
0.208,364.0
0.209,364.0
0.21,367.0
0.211,367.0
0.212,367.0
0.213,369.0
0.214,366.0
0.215,368.0
0.216,370.0
0.217,371.0
0.218,374.0
0.219,374.0
0.22,375.0
0.221,380.0
0.222,384.0
0.223,389.0
0.224,391.0
0.225,392.0
0.226,397.0
0.227,400.0
0.228,404.0
0.229,408.0
0.23,410.0
0.231,413.0
0.232,416.0
0.233,419.0
0.234,421.0
0.235,422.0
0.236,424.0
0.237,425.0
0.238,425.0
0.239,425.0
0.24,429.0
0.241,430.0
0.242,430.0
0.243,433.0
0.244,437.0
0.245,441.0
0.246,446.0
0.247,453.0
0.248,455.0
0.249,458.0
0.25,463.0
0.251,466.0
0.252,470.0
0.253,475.0
0.254,477.0
0.255,482.0
0.256,483.0
0.257,485.0
0.258,486.0
0.259,487.0
0.26,487.0
0.261,488.0
0.262,489.0
0.263,492.0
0.264,493.0
0.265,495.0
0.266,496.0
0.267,498.0
0.268,496.0
0.269,501.0
0.27,502.0
0.271,506.0
0.272,510.0
0.273,512.0
0.274,516.0
0.275,520.0
0.276,521.0
0.277,525.0
0.278,527.0
0.279,529.0
0.28,530.0
0.281,532.0
0.282,534.0
0.283,533.0
0.284,535.0
0.285,537.0
0.286,538.0
0.287,538.0
0.288,539.0
0.289,543.0
0.29,544.0
0.291,545.0
0.292,546.0
0.293,547.0
0.294,549.0
0.295,550.0
0.296,552.0
0.297,554.0
0.298,555.0
0.299,555.0
0.3,556.0
0.301,556.0
0.302,557.0
0.303,558.0
0.304,558.0
0.305,559.0
0.306,559.0
0.307,561.0
0.308,563.0
0.309,564.0
0.31,567.0
0.311,567.0
0.312,569.0
0.313,570.0
0.314,571.0
0.315,571.0
0.316,572.0
0.317,572.0
0.318,573.0
0.319,575.0
0.32,576.0
0.321,577.0
0.322,577.0
0.323,579.0
0.324,581.0
0.325,581.0
0.326,583.0
0.327,584.0
0.328,585.0
0.329,587.0
0.33,589.0
0.331,591.0
0.332,594.0
0.333,598.0
0.334,601.0
0.335,604.0
0.336,608.0
0.337,611.0
0.338,613.0
0.339,615.0
0.34,616.0
0.341,618.0
0.342,618.0
0.343,619.0
0.344,621.0
0.345,622.0
0.346,622.0
0.347,624.0
0.348,626.0
0.349,627.0
0.35,628.0
0.351,629.0
0.352,630.0
0.353,630.0
0.354,632.0
0.355,633.0
0.356,634.0
0.357,633.0
0.358,635.0
0.359,635.0
0.36,636.0
0.361,637.0
0.362,637.0
0.363,638.0
0.364,638.0
0.365,640.0
0.366,639.0
0.367,641.0
0.368,642.0
0.369,643.0
0.37,645.0
0.371,647.0
0.372,648.0
0.373,648.0
0.374,650.0
0.375,649.0
0.376,649.0
0.377,650.0
0.378,651.0
0.379,650.0
0.38,652.0
0.381,652.0
0.382,653.0
0.383,654.0
0.384,652.0
0.385,654.0
0.386,655.0
0.387,655.0
0.388,657.0
0.389,659.0
0.39,660.0
0.391,660.0
0.392,661.0
0.393,663.0
0.394,663.0
0.395,664.0
0.396,665.0
0.397,667.0
0.398,666.0
0.399,667.0
0.4,668.0
0.401,668.0
0.402,668.0
0.403,669.0
0.404,669.0
0.405,669.0
0.406,669.0
0.407,670.0
0.408,670.0
0.409,670.0
0.41,671.0
0.411,672.0
0.412,673.0
0.413,674.0
0.414,676.0
0.415,678.0
0.416,679.0
0.417,679.0
0.418,679.0
0.419,680.0
0.42,682.0
0.421,683.0
0.422,683.0
0.423,684.0
0.424,686.0
0.425,686.0
0.426,685.0
0.427,686.0
0.428,687.0
0.429,688.0
0.43,689.0
0.431,690.0
0.432,691.0
0.433,691.0
