Time,ForceReading
0.0,4.0
0.001,5.0
0.002,7.0
0.003,11.0
0.004,12.0
0.005,17.0
0.006,17.0
0.007,17.0
0.008,21.0
0.009,22.0
0.01,27.0
0.011,37.0
0.012,44.0
0.013,48.0
0.014,52.0
0.015,55.0
0.016,53.0
0.017,56.0
0.018,56.0
0.019,56.0
0.02,55.0
0.021,54.0
0.022,53.0
0.023,54.0
0.024,57.0
0.025,60.0
0.026,65.0
0.027,83.0
0.028,108.0
0.029,130.0
0.03,141.0
0.031,150.0
0.032,155.0
0.033,165.0
0.034,172.0
0.035,175.0
0.036,182.0
0.037,188.0
0.038,194.0
0.039,201.0
0.04,207.0
0.041,211.0
0.042,215.0
0.043,220.0
0.044,224.0
0.045,232.0
0.046,249.0
0.047,260.0
0.048,269.0
0.049,281.0
0.05,287.0
0.051,294.0
0.052,303.0
0.053,311.0
0.054,318.0
0.055,324.0
0.056,330.0
0.057,335.0
0.058,340.0
0.059,346.0
0.06,350.0
0.061,356.0
0.062,360.0
0.063,367.0
0.064,369.0
0.065,374.0
0.066,379.0
0.067,381.0
0.068,385.0
0.069,388.0
0.07,393.0
0.071,397.0
0.072,405.0
0.073,413.0
0.074,420.0
0.075,430.0
0.076,438.0
0.077,445.0
0.078,449.0
0.079,455.0
0.08,460.0
0.081,463.0
0.082,467.0
0.083,472.0
0.084,476.0
0.085,478.0
0.086,484.0
0.087,484.0
0.088,490.0
0.089,495.0
0.09,497.0
0.091,501.0
0.092,505.0
0.093,508.0
0.094,512.0
0.095,514.0
0.096,516.0
0.097,516.0
0.098,519.0
0.099,521.0
0.1,524.0
0.101,525.0
0.102,528.0
0.103,529.0
0.104,532.0
0.105,538.0
0.106,541.0
0.107,544.0
0.108,545.0
0.109,547.0
0.11,551.0
0.111,556.0
0.112,558.0
0.113,563.0
0.114,566.0
0.115,567.0
0.116,569.0
0.117,571.0
0.118,575.0
0.119,579.0
0.12,583.0
0.121,587.0
0.122,592.0
0.123,594.0
0.124,599.0
0.125,602.0
0.126,606.0
0.127,607.0
0.128,611.0
0.129,614.0
0.13,618.0
0.131,621.0
0.132,623.0
0.133,626.0
0.134,628.0
0.135,632.0
0.136,635.0
0.137,636.0
0.138,639.0
0.139,640.0
0.14,642.0
0.141,645.0
0.142,647.0
0.143,648.0
0.144,651.0
0.145,652.0
0.146,655.0
0.147,657.0
0.148,659.0
0.149,660.0
0.15,662.0
0.151,665.0
0.152,666.0
0.153,667.0
0.154,668.0
0.155,670.0
0.156,670.0
0.157,672.0
0.158,674.0
0.159,676.0
0.16,679.0
0.161,681.0
0.162,684.0
0.163,685.0
0.164,688.0
0.165,690.0
0.166,691.0
0.167,692.0
0.168,695.0
0.169,696.0
0.17,698.0
0.171,700.0
0.172,701.0
0.173,703.0
0.174,706.0
0.175,709.0
0.176,709.0
0.177,711.0
0.178,713.0
0.179,714.0
0.18,715.0
0.181,718.0
0.182,719.0
0.183,721.0
0.184,723.0
0.185,725.0
0.186,727.0
0.187,728.0
0.188,730.0
0.189,731.0
0.19,731.0
0.191,733.0
0.192,734.0
0.193,735.0
0.194,735.0
0.195,737.0
0.196,738.0
0.197,738.0
0.198,740.0
0.199,743.0
0.2,744.0
0.201,745.0
0.202,746.0
0.203,749.0
0.204,749.0
0.205,751.0
0.206,752.0
0.207,753.0
0.208,754.0
0.209,755.0
0.21,756.0
0.211,757.0
0.212,758.0
0.213,759.0
0.214,759.0
0.215,760.0
0.216,761.0
0.217,761.0
0.218,762.0
0.219,764.0
0.22,764.0
0.221,765.0
0.222,766.0
0.223,765.0
0.224,767.0
0.225,767.0
0.226,767.0
0.227,770.0
0.228,770.0
0.229,771.0
0.23,772.0
0.231,773.0
0.232,774.0
0.233,775.0
0.234,775.0
0.235,776.0
0.236,776.0
0.237,777.0
0.238,777.0
0.239,778.0
0.24,778.0
0.241,778.0
0.242,779.0
0.243,779.0
0.244,780.0
0.245,781.0
0.246,782.0
0.247,783.0
0.248,783.0
0.249,784.0
0.25,785.0
0.251,786.0
0.252,787.0
0.253,788.0
0.254,789.0
0.255,791.0
0.256,791.0
0.257,792.0
0.258,793.0
0.259,794.0
0.26,795.0
0.261,795.0
0.262,797.0
0.263,798.0
0.264,798.0
0.265,798.0
0.266,799.0
0.267,801.0
0.268,800.0
0.269,802.0
0.27,802.0
0.271,802.0
0.272,803.0
0.273,803.0
0.274,805.0
0.275,805.0
0.276,807.0
0.277,807.0
0.278,806.0
0.279,808.0
0.28,808.0
0.281,809.0
0.282,810.0
0.283,810.0
0.284,812.0
0.285,812.0
0.286,812.0
0.287,813.0
0.288,813.0
0.289,814.0
0.29,815.0
0.291,815.0
0.292,815.0
0.293,816.0
0.294,817.0
0.295,817.0
0.296,817.0
0.297,818.0
0.298,818.0
0.299,819.0
0.3,819.0
0.301,819.0
0.302,820.0
0.303,820.0
0.304,822.0
0.305,822.0
0.306,823.0
0.307,823.0
0.308,824.0
0.309,824.0
0.31,825.0
0.311,825.0
0.312,826.0
0.313,826.0
0.314,828.0
0.315,827.0
0.316,827.0
0.317,829.0
0.318,830.0
0.319,830.0
0.32,831.0
0.321,831.0
0.322,832.0
0.323,833.0
0.324,834.0
0.325,834.0
0.326,836.0
0.327,836.0
0.328,837.0
0.329,837.0
0.33,838.0
0.331,838.0
0.332,837.0
0.333,838.0
0.334,838.0
0.335,838.0
0.336,839.0
0.337,839.0
0.338,839.0
0.339,839.0
0.34,841.0
0.341,840.0
0.342,840.0
0.343,842.0
0.344,841.0
0.345,842.0
0.346,841.0
0.347,842.0
0.348,842.0
0.349,843.0
0.35,844.0
0.351,844.0
0.352,844.0
0.353,845.0
0.354,845.0
0.355,844.0
0.356,846.0
0.357,846.0
0.358,845.0
0.359,845.0
0.36,846.0
0.361,847.0
0.362,847.0
0.363,848.0
0.364,849.0
0.365,849.0
0.366,850.0
0.367,850.0
0.368,850.0
0.369,850.0
0.37,851.0
0.371,852.0
0.372,852.0
0.373,852.0
0.374,853.0
0.375,852.0
0.376,853.0
0.377,852.0
0.378,853.0
0.379,853.0
0.38,854.0
0.381,853.0
0.382,854.0
0.383,856.0
0.384,856.0
0.385,857.0
0.386,856.0
0.387,856.0
0.388,857.0
0.389,857.0
0.39,858.0
0.391,857.0
0.392,858.0
0.393,859.0
0.394,858.0
0.395,859.0
0.396,858.0
0.397,860.0
0.398,860.0
0.399,859.0
0.4,859.0
0.401,860.0
0.402,860.0
0.403,860.0
0.404,860.0
0.405,860.0
0.406,860.0
0.407,861.0
0.408,862.0
0.409,862.0
0.41,861.0
0.411,862.0
0.412,862.0
0.413,863.0
0.414,862.0
0.415,863.0
0.416,863.0
0.417,863.0
0.418,864.0
0.419,864.0
0.42,865.0
0.421,866.0
0.422,866.0
0.423,865.0
0.424,865.0
0.425,865.0
0.426,866.0
0.427,866.0
0.428,867.0
0.429,866.0
0.43,866.0
0.431,866.0
0.432,866.0
0.433,867.0
0.434,867.0
0.435,867.0
0.436,867.0
0.437,868.0
0.438,868.0
0.439,867.0
0.44,868.0
0.441,870.0
0.442,869.0
0.443,869.0
0.444,869.0
0.445,870.0
0.446,870.0
0.447,870.0
0.448,871.0
0.449,870.0
0.45,871.0
0.451,870.0
0.452,871.0
0.453,871.0
0.454,871.0
0.455,870.0
0.456,871.0
0.457,872.0
0.458,871.0
0.459,871.0
0.46,871.0
0.461,872.0
0.462,872.0
0.463,873.0
0.464,873.0
0.465,873.0
0.466,873.0
0.467,874.0
0.468,874.0
0.469,875.0
0.47,875.0
0.471,875.0
0.472,875.0
0.473,875.0
0.474,876.0
0.475,877.0
0.476,876.0
0.477,877.0
0.478,877.0
0.479,877.0
0.48,878.0
0.481,877.0
0.482,878.0
0.483,877.0
0.484,878.0
0.485,879.0
0.486,878.0
0.487,879.0
0.488,880.0
0.489,880.0
0.49,880.0
0.491,880.0
0.492,881.0
0.493,881.0
0.494,880.0
0.495,881.0
0.496,881.0
0.497,882.0
0.498,881.0
0.499,882.0
0.5,881.0
0.501,883.0
0.502,882.0
0.503,882.0
0.504,884.0
0.505,884.0
0.506,883.0
0.507,883.0
0.508,885.0
0.509,884.0
0.51,885.0
0.511,884.0
0.512,884.0
0.513,885.0
0.514,884.0
0.515,884.0
0.516,885.0
0.517,886.0
0.518,884.0
0.519,885.0
0.52,885.0
0.521,886.0
0.522,885.0
0.523,886.0
0.524,887.0
0.525,886.0
0.526,886.0
0.527,886.0
0.528,886.0
0.529,887.0
0.53,887.0
0.531,886.0
0.532,887.0
0.533,887.0
0.534,889.0
0.535,887.0
0.536,887.0
0.537,889.0
0.538,888.0
0.539,888.0
0.54,889.0
0.541,889.0
0.542,889.0
0.543,889.0
0.544,889.0
0.545,889.0
0.546,889.0
0.547,889.0
0.548,890.0
0.549,891.0
0.55,890.0
0.551,891.0
0.552,891.0
0.553,890.0
0.554,891.0
0.555,892.0
0.556,891.0
0.557,891.0
0.558,892.0
0.559,891.0
0.56,892.0
0.561,892.0
0.562,892.0
0.563,892.0
0.564,891.0
0.565,892.0
0.566,892.0
0.567,892.0
0.568,892.0
0.569,892.0
0.57,892.0
0.571,892.0
0.572,893.0
0.573,892.0
0.574,892.0
0.575,893.0
0.576,892.0
0.577,892.0
0.578,893.0
0.579,892.0
0.58,892.0
0.581,893.0
0.582,893.0
0.583,893.0
0.584,894.0
0.585,894.0
0.586,894.0
0.587,893.0
0.588,893.0
0.589,894.0
0.59,894.0
0.591,894.0
0.592,894.0
0.593,894.0
0.594,894.0
0.595,893.0
0.596,893.0
0.597,893.0
0.598,894.0
0.599,894.0
0.6,893.0
0.601,894.0
0.602,894.0
0.603,894.0
0.604,894.0
0.605,894.0
0.606,894.0
0.607,896.0
0.608,894.0
0.609,895.0
0.61,895.0
0.611,896.0
0.612,895.0
0.613,895.0
0.614,896.0
0.615,896.0
0.616,895.0
0.617,895.0
0.618,895.0
0.619,895.0
0.62,895.0
0.621,896.0
0.622,896.0
0.623,895.0
0.624,895.0
0.625,896.0
0.626,895.0
0.627,896.0
0.628,896.0
0.629,896.0
0.63,896.0
0.631,897.0
0.632,897.0
0.633,896.0
0.634,897.0
0.635,897.0
0.636,897.0
0.637,897.0
0.638,898.0
