Time,ForceReading
0.0,4.0
0.001,4.0
0.002,9.0
0.003,13.0
0.004,15.0
0.005,20.0
0.006,20.0
0.007,21.0
0.008,20.0
0.009,22.0
0.01,23.0
0.011,24.0
0.012,23.0
0.013,23.0
0.014,24.0
0.015,25.0
0.016,24.0
0.017,24.0
0.018,24.0
0.019,22.0
0.02,21.0
0.021,21.0
0.022,23.0
0.023,23.0
0.024,24.0
0.025,24.0
0.026,25.0
0.027,25.0
0.028,30.0
0.029,29.0
0.03,32.0
0.031,30.0
0.032,32.0
0.033,33.0
0.034,34.0
0.035,35.0
0.036,34.0
0.037,36.0
0.038,37.0
0.039,36.0
0.04,39.0
0.041,41.0
0.042,42.0
0.043,45.0
0.044,52.0
0.045,54.0
0.046,56.0
0.047,61.0
0.048,63.0
0.049,69.0
0.05,69.0
0.051,74.0
0.052,78.0
0.053,80.0
0.054,81.0
0.055,81.0
0.056,83.0
0.057,87.0
0.058,89.0
0.059,91.0
0.06,90.0
0.061,91.0
0.062,90.0
0.063,95.0
0.064,98.0
0.065,101.0
0.066,104.0
0.067,108.0
0.068,110.0
0.069,113.0
0.07,112.0
0.071,114.0
0.072,116.0
0.073,116.0
0.074,117.0
0.075,117.0
0.076,118.0
0.077,117.0
0.078,117.0
0.079,118.0
0.08,119.0
0.081,124.0
0.082,124.0
0.083,127.0
0.084,126.0
0.085,125.0
0.086,127.0
0.087,128.0
0.088,127.0
0.089,127.0
0.09,128.0
0.091,126.0
0.092,127.0
0.093,127.0
0.094,128.0
0.095,127.0
0.096,129.0
0.097,130.0
0.098,129.0
0.099,129.0
0.1,127.0
0.101,128.0
0.102,129.0
0.103,128.0
0.104,129.0
0.105,128.0
0.106,127.0
0.107,127.0
0.108,127.0
0.109,129.0
0.11,128.0
0.111,128.0
0.112,128.0
0.113,128.0
0.114,128.0
0.115,129.0
0.116,128.0
0.117,128.0
0.118,128.0
0.119,127.0
0.12,126.0
0.121,126.0
0.122,127.0
0.123,127.0
0.124,127.0
0.125,127.0
0.126,128.0
0.127,127.0
0.128,129.0
0.129,129.0
0.13,128.0
0.131,129.0
0.132,128.0
0.133,129.0
0.134,130.0
0.135,128.0
0.136,129.0
0.137,129.0
0.138,128.0
0.139,128.0
0.14,127.0
0.141,127.0
0.142,129.0
0.143,130.0
0.144,129.0
0.145,129.0
0.146,129.0
0.147,130.0
0.148,131.0
0.149,130.0
0.15,131.0
0.151,130.0
0.152,131.0
0.153,131.0
0.154,131.0
0.155,130.0
0.156,131.0
0.157,130.0
0.158,130.0
0.159,131.0
0.16,130.0
0.161,130.0
0.162,129.0
0.163,128.0
0.164,129.0
0.165,131.0
0.166,131.0
0.167,131.0
0.168,130.0
