Time,ForceReading
0.0,0.0
0.001,0.0
0.002,42.0
0.003,62.0
0.004,94.0
0.005,131.0
0.006,147.0
0.007,158.0
0.008,166.0
0.009,174.0
0.01,175.0
0.011,179.0
0.012,183.0
0.013,186.0
0.014,188.0
0.015,191.0
0.016,191.0
0.017,195.0
0.018,197.0
0.019,200.0
0.02,208.0
0.021,218.0
0.022,238.0
0.023,265.0
0.024,283.0
0.025,295.0
0.026,306.0
0.027,314.0
0.028,319.0
0.029,325.0
0.03,329.0
0.031,333.0
0.032,340.0
0.033,345.0
0.034,347.0
0.035,345.0
0.036,349.0
0.037,348.0
0.038,351.0
0.039,352.0
0.04,355.0
0.041,357.0
0.042,361.0
0.043,365.0
0.044,365.0
0.045,368.0
0.046,371.0
0.047,374.0
0.048,376.0
0.049,379.0
0.05,383.0
0.051,387.0
0.052,391.0
0.053,393.0
0.054,397.0
0.055,400.0
0.056,404.0
0.057,407.0
0.058,411.0
0.059,417.0
0.06,419.0
0.061,424.0
0.062,430.0
0.063,435.0
0.064,441.0
0.065,446.0
0.066,450.0
0.067,455.0
0.068,461.0
0.069,465.0
0.07,469.0
0.071,475.0
0.072,477.0
0.073,479.0
0.074,480.0
0.075,482.0
0.076,482.0
0.077,481.0
0.078,480.0
0.079,479.0
0.08,478.0
0.081,477.0
0.082,478.0
0.083,478.0
0.084,480.0
0.085,479.0
0.086,481.0
0.087,482.0
0.088,482.0
0.089,483.0
0.09,483.0
0.091,483.0
0.092,484.0
0.093,482.0
0.094,481.0
0.095,482.0
0.096,484.0
0.097,484.0
0.098,483.0
0.099,483.0
0.1,484.0
0.101,484.0
0.102,484.0
0.103,485.0
0.104,484.0
0.105,485.0
0.106,485.0
0.107,485.0
0.108,484.0
0.109,486.0
0.11,486.0
0.111,486.0
0.112,487.0
0.113,487.0
0.114,487.0
0.115,488.0
0.116,488.0
0.117,489.0
0.118,489.0
0.119,490.0
0.12,490.0
0.121,490.0
0.122,491.0
0.123,490.0
0.124,490.0
0.125,490.0
0.126,491.0
0.127,491.0
0.128,490.0
0.129,490.0
0.13,491.0
0.131,492.0
0.132,491.0
0.133,492.0
0.134,492.0
0.135,493.0
0.136,492.0
0.137,492.0
0.138,493.0
0.139,493.0
0.14,493.0
0.141,493.0
0.142,493.0
0.143,494.0
0.144,494.0
0.145,494.0
0.146,494.0
0.147,493.0
0.148,494.0
0.149,494.0
0.15,495.0
0.151,495.0
0.152,496.0
0.153,496.0
0.154,496.0
0.155,497.0
0.156,497.0
0.157,498.0
