Time,ForceReading
0.0,0.0
0.001,0.0
0.002,12.0
0.003,12.0
0.004,12.0
0.005,13.0
0.006,15.0
0.007,16.0
0.008,17.0
0.009,17.0
0.01,17.0
0.011,19.0
0.012,18.0
0.013,21.0
0.014,21.0
0.015,24.0
0.016,25.0
0.017,26.0
0.018,27.0
0.019,28.0
0.02,26.0
0.021,28.0
0.022,26.0
0.023,29.0
0.024,31.0
0.025,33.0
0.026,34.0
0.027,35.0
0.028,44.0
0.029,57.0
0.03,64.0
0.031,77.0
0.032,91.0
0.033,104.0
0.034,111.0
0.035,115.0
0.036,120.0
0.037,121.0
0.038,124.0
0.039,126.0
0.04,125.0
0.041,126.0
0.042,126.0
0.043,125.0
0.044,124.0
0.045,124.0
0.046,124.0
0.047,123.0
0.048,123.0
0.049,123.0
0.05,123.0
0.051,123.0
0.052,125.0
0.053,124.0
0.054,124.0
0.055,124.0
0.056,125.0
0.057,125.0
0.058,126.0
0.059,127.0
0.06,128.0
0.061,125.0
0.062,124.0
0.063,126.0
0.064,125.0
0.065,125.0
0.066,125.0
0.067,126.0
0.068,125.0
0.069,126.0
0.07,126.0
0.071,125.0
0.072,126.0
0.073,128.0
0.074,128.0
0.075,129.0
0.076,128.0
0.077,128.0
0.078,129.0
0.079,131.0
0.08,131.0
0.081,130.0
0.082,131.0
0.083,130.0
0.084,132.0
0.085,130.0
0.086,130.0
0.087,130.0
0.088,129.0
0.089,130.0
0.09,129.0
0.091,129.0
0.092,129.0
0.093,130.0
0.094,129.0
0.095,130.0
0.096,131.0
0.097,131.0
0.098,131.0
0.099,131.0
0.1,130.0
0.101,131.0
0.102,130.0
0.103,132.0
0.104,130.0
0.105,131.0
0.106,131.0
0.107,132.0
0.108,133.0
0.109,132.0
0.11,134.0
0.111,135.0
0.112,134.0
0.113,135.0
0.114,136.0
0.115,137.0
0.116,137.0
0.117,137.0
0.118,138.0
0.119,139.0
0.12,138.0
0.121,138.0
0.122,140.0
0.123,139.0
0.124,140.0
0.125,140.0
0.126,145.0
0.127,149.0
0.128,153.0
0.129,153.0
0.13,159.0
0.131,172.0
0.132,182.0
0.133,190.0
0.134,196.0
0.135,197.0
0.136,199.0
0.137,197.0
0.138,188.0
0.139,180.0
0.14,184.0
0.141,187.0
0.142,191.0
0.143,193.0
0.144,199.0
0.145,203.0
0.146,206.0
0.147,207.0
0.148,210.0
0.149,213.0
0.15,220.0
0.151,224.0
0.152,230.0
0.153,234.0
0.154,240.0
0.155,246.0
0.156,251.0
0.157,261.0
