Time,ForceReading
0.0,0.0
0.001,0.0
0.002,5.0
0.003,12.0
0.004,15.0
0.005,17.0
0.006,17.0
0.007,19.0
0.008,21.0
0.009,21.0
0.01,24.0
0.011,24.0
0.012,25.0
0.013,26.0
0.014,26.0
0.015,26.0
0.016,26.0
0.017,27.0
0.018,28.0
0.019,29.0
0.02,30.0
0.021,32.0
0.022,32.0
0.023,31.0
0.024,33.0
0.025,33.0
0.026,33.0
0.027,34.0
0.028,35.0
0.029,33.0
0.03,35.0
0.031,37.0
0.032,37.0
0.033,39.0
0.034,40.0
0.035,42.0
0.036,43.0
0.037,44.0
0.038,48.0
0.039,55.0
0.04,59.0
0.041,62.0
0.042,66.0
0.043,72.0
0.044,75.0
0.045,79.0
0.046,82.0
0.047,91.0
0.048,90.0
0.049,92.0
0.05,93.0
0.051,95.0
0.052,95.0
0.053,98.0
0.054,97.0
0.055,98.0
0.056,99.0
0.057,98.0
0.058,100.0
0.059,102.0
0.06,105.0
0.061,105.0
0.062,106.0
0.063,110.0
0.064,111.0
0.065,111.0
0.066,110.0
0.067,111.0
0.068,118.0
0.069,120.0
0.07,120.0
0.071,124.0
0.072,122.0
0.073,123.0
0.074,124.0
0.075,124.0
0.076,123.0
0.077,126.0
0.078,127.0
0.079,126.0
0.08,126.0
0.081,127.0
0.082,127.0
0.083,127.0
0.084,127.0
0.085,127.0
0.086,125.0
0.087,126.0
0.088,127.0
0.089,126.0
0.09,128.0
0.091,127.0
0.092,128.0
0.093,127.0
0.094,128.0
0.095,128.0
0.096,126.0
0.097,126.0
0.098,128.0
0.099,129.0
0.1,128.0
0.101,128.0
0.102,128.0
0.103,128.0
0.104,128.0
0.105,128.0
0.106,130.0
0.107,129.0
0.108,128.0
0.109,127.0
0.11,128.0
0.111,127.0
0.112,127.0
0.113,128.0
0.114,127.0
0.115,128.0
0.116,127.0
0.117,129.0
0.118,130.0
0.119,130.0
0.12,128.0
0.121,129.0
0.122,130.0
0.123,129.0
0.124,129.0
0.125,129.0
0.126,128.0
0.127,128.0
0.128,128.0
0.129,127.0
0.13,128.0
0.131,128.0
0.132,127.0
0.133,126.0
0.134,125.0
0.135,125.0
0.136,125.0
0.137,125.0
0.138,126.0
0.139,126.0
0.14,127.0
0.141,125.0
0.142,127.0
0.143,128.0
0.144,129.0
0.145,130.0
0.146,131.0
0.147,131.0
0.148,130.0
0.149,132.0
0.15,129.0
0.151,129.0
0.152,131.0
0.153,130.0
0.154,131.0
0.155,130.0
0.156,128.0
0.157,128.0
