epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.585611,1.14982,4.18368,1.27229,0.01536,0.77778,0.44453,0.43301,0.34767,3.78252,0.89496,6.25e-06,6.25e-06,6.25e-06
2,1.29444,1.08618,4.16769,1.18894,0.01903,0.77778,0.44549,0.43378,0.34717,3.78201,0.89385,1.87129e-05,1.87129e-05,1.87129e-05
3,1.85024,1.08987,4.13857,1.25215,0.02446,0.77778,0.44573,0.43397,0.36285,3.76784,0.89966,3.11263e-05,3.11263e-05,3.11263e-05
4,2.37612,1.15922,4.18762,1.32072,0.02609,0.77778,0.44547,0.44482,0.37365,3.71651,0.88845,4.34901e-05,4.34901e-05,4.34901e-05
5,2.93489,1.15642,4.08337,1.26978,0.03164,0.77778,0.44765,0.44657,0.43798,3.55066,0.91249,5.58045e-05,5.58045e-05,5.58045e-05
6,3.50821,1.06892,4.04416,1.21638,0.03794,0.77778,0.50897,0.47466,0.51668,3.49624,0.91868,6.80694e-05,6.80694e-05,6.80694e-05
7,4.06062,1.09413,3.8954,1.21076,0.06591,1,0.58437,0.5299,0.55378,3.47815,0.91894,8.02848e-05,8.02848e-05,8.02848e-05
8,4.6363,1.06954,3.73211,1.15721,0.12132,1,0.86233,0.7594,0.65026,3.47378,0.92053,9.24506e-05,9.24506e-05,9.24506e-05
9,5.19447,1.11584,3.47141,1.1838,0.10907,1,0.86233,0.69268,0.72957,3.48299,0.93118,0.000104567,0.000104567,0.000104567
10,5.70253,1.09249,3.43744,1.21254,0.10408,1,0.951,0.71232,0.76652,3.52351,0.9556,0.000116634,0.000116634,0.000116634
11,6.32926,1.0834,3.00736,1.18247,0.11487,1,0.951,0.7382,0.80008,3.49641,0.98372,0.000128651,0.000128651,0.000128651
12,6.98958,1.09828,2.82439,1.21535,0.10568,1,0.7485,0.56328,0.83298,3.44741,0.97565,0.000140619,0.000140619,0.000140619
13,7.57677,1.04963,2.68578,1.18041,0.08922,1,0.71128,0.58853,0.83328,3.43651,0.96316,0.000152538,0.000152538,0.000152538
14,8.09562,1.11319,2.61892,1.21157,0.07278,1,0.71128,0.57751,0.83172,3.41218,0.96281,0.000164406,0.000164406,0.000164406
15,8.62961,1.05758,2.30121,1.16721,0.05325,1,0.94,0.74445,0.78822,3.42695,0.94487,0.000176226,0.000176226,0.000176226
16,9.2924,1.07561,2.23448,1.1712,0.03915,1,0.9675,0.7966,0.77659,3.42306,0.94922,0.000187996,0.000187996,0.000187996
17,9.84722,1.00391,1.97079,1.12522,0.0328,1,0.9675,0.76335,0.80942,3.41867,0.95333,0.000199716,0.000199716,0.000199716
18,10.4024,1.0009,1.9639,1.15404,0.04069,1,0.77417,0.54488,0.93513,3.50422,0.99782,0.000211387,0.000211387,0.000211387
19,11.056,0.99467,1.86624,1.10257,0.03763,1,0.77417,0.54192,0.9581,3.50494,1.00072,0.000223008,0.000223008,0.000223008
20,11.6276,1.06375,1.86422,1.23795,0.04052,1,0.71128,0.49789,0.95293,3.46528,1.00999,0.00023458,0.00023458,0.00023458
21,12.1295,1.03085,1.75242,1.13796,0.05258,1,0.71128,0.57484,0.74261,3.29693,0.92039,0.000246103,0.000246103,0.000246103
22,12.6677,0.96372,1.62901,1.1084,0.06548,1,0.74625,0.57888,0.67997,3.24227,0.92374,0.000257575,0.000257575,0.000257575
23,13.3473,0.92988,1.53092,1.0961,0.07129,1,0.74625,0.59774,0.65425,3.20156,0.90853,0.000268999,0.000268999,0.000268999
24,13.9448,0.95094,1.68315,1.15216,0.0853,1,0.74625,0.64447,0.55209,3.19232,0.89909,0.000280373,0.000280373,0.000280373
25,14.6214,0.87797,1.51104,1.10543,0.07994,1,0.91208,0.76065,0.60975,3.17327,0.91001,0.000291697,0.000291697,0.000291697
26,15.2884,0.97017,1.5145,1.13264,0.09722,1,0.91208,0.78443,0.54294,3.22319,0.89019,0.000302972,0.000302972,0.000302972
27,15.9024,0.86137,1.45333,1.11039,0.13056,1,0.74625,0.67163,0.5397,3.23734,0.92681,0.000314197,0.000314197,0.000314197
28,16.4517,0.89265,1.54802,1.08569,0.1359,1,0.9675,0.83758,0.5521,3.20621,0.93003,0.000325373,0.000325373,0.000325373
29,17.1506,0.9177,1.40194,1.07587,0.0951,1,0.91208,0.7359,0.6516,3.19673,0.95416,0.0003365,0.0003365,0.0003365
30,17.8224,0.93208,1.45757,1.13205,0.0769,1,0.91433,0.76949,0.55494,3.21759,0.90605,0.000347576,0.000347576,0.000347576
31,18.4909,0.95919,1.41028,1.11666,0.07217,1,0.6965,0.5771,0.52672,3.23432,0.9045,0.000358604,0.000358604,0.000358604
32,19.1328,0.95879,1.50955,1.14132,0.0694,1,0.7485,0.57415,0.6105,3.17602,0.8974,0.000369582,0.000369582,0.000369582
33,19.8205,0.88184,1.31347,1.07658,0.07919,1,0.74639,0.62753,0.6516,3.11248,0.97017,0.00038051,0.00038051,0.00038051
34,20.509,0.9008,1.32445,1.06165,0.07764,1,0.80167,0.64133,0.71311,3.12743,0.99785,0.000391389,0.000391389,0.000391389
35,21.1857,0.8312,1.32448,1.04174,0.07865,1,0.9675,0.74837,0.60364,3.16731,0.97628,0.000402218,0.000402218,0.000402218
36,21.8689,0.78868,1.28482,1.01836,0.06944,1,0.995,0.76283,0.62599,3.19125,1.03984,0.000412998,0.000412998,0.000412998
37,22.5413,0.76914,1.11843,1.00879,0.07473,1,0.995,0.83525,0.80446,2.90344,1.0976,0.000423729,0.000423729,0.000423729
38,23.2211,0.80908,1.24481,1.0788,0.04902,1,0.995,0.48316,1.89586,3.09365,1.92842,0.000434409,0.000434409,0.000434409
39,23.9006,0.82542,1.21194,1.02754,0.04467,1,0.951,0.36755,2.02837,3.3201,2.23394,0.000445041,0.000445041,0.000445041
40,24.441,0.83991,1.39137,1.06417,0.90162,0.33333,0.995,0.51653,1.87772,2.86682,2.00493,0.000455623,0.000455623,0.000455623
41,25.0731,0.80203,1.27232,1.04956,0.89815,0.33333,0.995,0.76283,1.10236,2.52908,1.30948,0.000466155,0.000466155,0.000466155
42,25.6393,0.8224,1.25711,1.06603,0.9024,0.45589,0.77389,0.61911,0.86042,2.48327,1.13917,0.000476638,0.000476638,0.000476638
43,26.2878,0.74761,1.16679,1.01112,0.9598,0.33333,0.77389,0.53454,1.25174,2.67257,1.37169,0.000487071,0.000487071,0.000487071
44,26.8044,0.74874,1.22173,1.01313,0.98462,0.33333,0.74625,0.42678,1.60614,2.77499,1.73161,0.000497455,0.000497455,0.000497455
45,27.3236,0.84221,1.15175,1.0416,0.98408,0.33333,0.82917,0.5827,1.28217,2.81571,1.41513,0.00050779,0.00050779,0.00050779
46,27.9468,0.80035,1.23832,1.06492,0.98923,0.33333,0.82917,0.50583,1.61206,2.71025,1.7692,0.000518074,0.000518074,0.000518074
47,28.5116,0.7975,1.09879,1.04435,0.98974,0.33333,0.72967,0.31381,1.97696,2.76425,2.11668,0.00052831,0.00052831,0.00052831
48,29.0061,0.79951,1.14497,1.02333,0.99015,0.33333,0.995,0.57605,1.37563,2.82151,1.41794,0.000538496,0.000538496,0.000538496
49,29.5324,0.73801,1.03809,1.00426,0.99076,0.33333,0.995,0.48672,1.83344,2.94569,1.80092,0.000548632,0.000548632,0.000548632
50,30.0657,0.75939,1.13084,1.01366,0.98954,0.33333,0.995,0.64635,1.67253,3.18877,1.66274,0.000558719,0.000558719,0.000558719
51,30.705,0.71067,1.11074,1.00813,0.85048,0.33333,0.71071,0.36102,1.55415,2.93801,1.50548,0.000563125,0.000563125,0.000563125
52,31.2373,0.73795,1.13198,1.02346,0.84184,0.62249,0.72967,0.30023,1.92327,2.42001,1.93509,0.000561888,0.000561888,0.000561888
53,31.7993,0.7507,1.12021,0.98453,0.83489,0.65337,0.995,0.71557,1.3633,1.79406,1.4165,0.00056065,0.00056065,0.00056065
54,32.2992,0.73882,1.08313,1.01157,0.82473,0.66667,0.995,0.69369,1.35553,1.63432,1.41966,0.000559412,0.000559412,0.000559412
55,32.8375,0.76389,1.08444,1.04061,0.85777,0.65866,0.995,0.47026,2.15847,1.62786,2.66067,0.000558175,0.000558175,0.000558175
56,33.5216,0.72905,1.06924,1.01546,0.8394,0.66667,0.995,0.56972,1.82598,1.7507,2.13926,0.000556938,0.000556938,0.000556938
57,34.0892,0.73691,1.05203,1.01898,0.82084,0.66667,0.995,0.66913,1.44152,1.73343,1.47612,0.0005557,0.0005557,0.0005557
58,34.6651,0.69417,1.00679,0.97364,0.81333,0.66667,0.995,0.6965,1.4345,1.61374,1.48365,0.000554462,0.000554462,0.000554462
59,35.3233,0.68892,0.94847,0.99566,0.92148,0.66667,0.995,0.63017,1.72344,1.33196,1.92874,0.000553225,0.000553225,0.000553225
60,35.9632,0.67967,0.94888,0.99045,0.93242,0.66667,0.995,0.58251,1.83541,1.27454,2.04568,0.000551987,0.000551987,0.000551987
61,36.4657,0.72331,0.95147,0.95181,0.88756,0.66667,0.995,0.66725,1.40984,1.30135,1.51456,0.00055075,0.00055075,0.00055075
62,36.9354,0.70918,0.96586,0.98251,0.88209,0.65821,0.995,0.71539,1.11165,1.23459,1.26944,0.000549513,0.000549513,0.000549513
63,37.415,0.69438,1.02097,0.9853,0.86175,0.6535,0.995,0.81097,0.91043,1.25562,1.16999,0.000548275,0.000548275,0.000548275
64,37.8904,0.74669,1.026,1.00683,0.86559,0.65503,0.82917,0.76862,0.54312,1.30229,0.96156,0.000547038,0.000547038,0.000547038
65,38.3699,0.74671,0.99061,1.00598,0.89111,0.66667,0.74625,0.63846,0.6245,1.46477,0.9581,0.0005458,0.0005458,0.0005458
66,38.8368,0.7417,0.99045,0.99275,0.94825,0.66667,0.74625,0.70479,0.52209,1.41507,0.93359,0.000544563,0.000544563,0.000544563
67,39.3076,0.64177,0.89712,0.96304,0.96347,0.66667,0.77389,0.6965,0.54371,1.21044,0.94605,0.000543325,0.000543325,0.000543325
68,39.8117,0.75873,0.92669,0.99701,0.927,0.66667,0.82917,0.74625,0.60064,1.29158,0.99436,0.000542087,0.000542087,0.000542087
69,40.3812,0.64693,0.95083,0.93968,0.90413,0.66667,0.995,0.88132,0.42225,1.13983,0.94644,0.00054085,0.00054085,0.00054085
70,40.8544,0.67372,0.89467,0.98222,0.91738,0.66667,0.82917,0.71146,0.59636,1.06662,0.9633,0.000539613,0.000539613,0.000539613
71,41.328,0.71468,0.92545,0.97424,0.90821,0.66667,0.77389,0.64517,0.61459,1.28743,0.95967,0.000538375,0.000538375,0.000538375
72,41.8012,0.69859,0.95522,1.01287,0.92335,0.65932,0.67715,0.58209,0.56547,1.4362,0.9609,0.000537137,0.000537137,0.000537137
73,42.3782,0.7311,1.0048,1.01457,0.91873,0.65646,0.71071,0.55044,0.76194,1.20996,1.0134,0.0005359,0.0005359,0.0005359
74,43.005,0.68297,0.97596,1.0008,0.93876,0.65568,0.995,0.81099,0.75246,1.10114,1.02477,0.000534663,0.000534663,0.000534663
75,43.4708,0.67005,0.8898,0.97729,0.96435,0.66667,0.77389,0.70756,0.48705,1.17268,0.96725,0.000533425,0.000533425,0.000533425
76,43.957,0.70211,0.90334,1.00132,0.96656,0.66667,0.67715,0.60005,0.48621,1.35742,0.96896,0.000532187,0.000532187,0.000532187
77,44.4298,0.67655,0.87502,0.99167,0.87017,0.65003,0.66782,0.56321,0.67764,1.5527,1.03207,0.00053095,0.00053095,0.00053095
78,44.9023,0.72645,0.90565,0.97511,0.85375,0.6553,0.68544,0.59966,0.6496,1.71038,1.01616,0.000529712,0.000529712,0.000529712
79,45.373,0.67074,0.9126,0.96677,0.85999,0.66232,0.66926,0.55482,0.65576,1.39449,0.98326,0.000528475,0.000528475,0.000528475
